Unnamed: 0,Year,Industry Name,Number of Firms,Average Beta,Market D/E Ratio,Tax Rate,Unlevered Beta,Cash/Firm Value,Unlevered Beta corrected for cash,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),Unlevered beta corrected for cash - Over time (year minus 3),Unlevered beta corrected for cash - Over time (year minus 2),Unlevered beta corrected for cash - Over time (year minus 1),Unlevered beta corrected for cash - Over time (last 3 years),Unlevered beta corrected for cash - Over time (year minus 4),Unlevered beta corrected for cash - Over time (last 4 years),Unlevered beta corrected for cash - Over time (year minus 5),Unlevered beta corrected for cash - Over time (last 5 years)
97,1998,Water Utility,17,0.6146618380043687,0.7054850280669493,0.3656,0.424619335035125,,,,,,,,,,,,,
70,1998,Paper & Forest Products,63,0.9382798794421526,0.595716284307357,0.4742333333333334,0.714494617221115,,,,,,,,,,,,,
69,1998,Packaging & Container,33,0.9159369753513378,0.542723855172823,0.328188,0.6712086605188903,,,,,,,,,,,,,
68,1998,Oilfield Services/Equip.,93,1.1494420284109477,0.1708954779672631,0.5,1.0589565827344556,,,,,,,,,,,,,
67,1998,Office Equip & Supplies,31,1.0610234108408745,0.2544964562426237,0.3488285714285714,0.9101865487405684,,,,,,,,,,,,,
66,1998,Newspaper,20,0.9243035157960432,0.2316346074846265,0.3881,0.8095588919973608,,,,,,,,,,,,,
65,1998,Natural Gas (Diversified),41,0.9343074105554208,0.4760866402502667,0.3641575757575758,0.7171995666585678,,,,,,,,,,,,,
64,1998,Natural Gas (Distrib.),54,0.6417660954382348,0.6192876699872245,0.3716770833333334,0.4619971622456341,,,,,,,,,,,,,
63,1998,Metals & Mining (Div.),29,0.8800483586223266,0.4761629122727213,0.3066066666666667,0.6616068298225427,,,,,,,,,,,,,
62,1998,Metal Fabricating,42,0.9811566360130708,0.1984421057949951,0.3887815789473684,0.875023721985933,,,,,,,,,,,,,
71,1998,Petroleum (Integrated),41,0.8954190309274168,0.1457492417890228,0.367991891891892,0.8198946766557066,,,,,,,,,,,,,
61,1998,Medical Supplies,210,1.0936294545544043,0.0563558630701851,0.2366910803571429,1.0485251197747458,,,,,,,,,,,,,
59,1998,Maritime,22,0.9905934085695406,1.054393592621768,0.0,0.4821828748528022,,,,,,,,,,,,,
58,1998,Manuf. Housing/Rec Veh,21,0.9146753541731676,0.1519238886983181,0.3640578947368421,0.8340899248847372,,,,,,,,,,,,,
57,1998,Machinery,140,0.959161837307954,0.332697465114061,0.334864,0.7853684011547477,,,,,,,,,,,,,
56,1998,Investment Co. (Income),13,0.5572483696193453,,,,,,,,,,,,,,,,
55,1998,Investment Co. (Foreign),24,1.1090438669349656,,,,,,,,,,,,,,,,
54,1998,Investment Co. (Domestic),18,0.8293056544503385,0.0183928326865906,0.3893999999999999,0.8200954384299195,,,,,,,,,,,,,
53,1998,Internet,28,1.8192892794504305,0.0041835468018942,0.3410428571428571,1.8142876909719543,,,,,,,,,,,,,
52,1998,Insurance (Prop/Casualty),66,0.9084837056218418,0.0678163350863041,0.250345,0.8645318942829249,,,,,,,,,,,,,
51,1998,Insurance (Life),32,0.9805319796736356,0.0871417056109349,0.2980290322580645,0.9240094464130092,,,,,,,,,,,,,
60,1998,Medical Services,191,1.1539742035892833,0.3245724326482364,0.4398547075471699,0.9764483543789222,,,,,,,,,,,,,
72,1998,Petroleum (Producing),104,0.9043852564387188,0.5115434352294974,0.4114347826086956,0.6951052732668939,,,,,,,,,,,,,
73,1998,Precision Instrument,101,1.1009164805048122,0.104436605094239,0.4687051948051948,1.0430416204595712,,,,,,,,,,,,,
74,1998,Publishing,57,0.9787026289652894,0.1608749018088401,0.3533589743589743,0.8864832710953118,,,,,,,,,,,,,
95,1998,Trucking/Transp. Leasing,51,0.960409121881826,1.0016045088807393,0.3967208333333334,0.5986665656793998,,,,,,,,,,,,,
94,1998,Toiletries/Cosmetics,25,1.0295585786573174,0.0634750720320137,0.5,0.9978880700928034,,,,,,,,,,,,,
93,1998,Tobacco,16,0.8122317145057729,0.1969624001274456,0.3511933333333333,0.7201973250676519,,,,,,,,,,,,,
92,1998,Tire & Rubber,10,0.9756537111180454,0.191819915017396,0.3399666666666667,0.8660102815654662,,,,,,,,,,,,,
91,1998,Thrift,120,0.9378689077968448,1.4456991720237402,0.3101316666666667,0.4695584787321757,,,,,,,,,,,,,
90,1998,Textile,27,0.9421156147983628,0.693633480201074,0.374,0.6568861047639524,,,,,,,,,,,,,
89,1998,Telecom. Services,131,1.22096092991344,0.1576321695183179,0.5,1.131760035062894,,,,,,,,,,,,,
88,1998,Telecom. Equipment,100,1.4090254758239682,0.0468148728782381,0.3257524590163934,1.3659107582741588,,,,,,,,,,,,,
87,1998,Steel (Integrated),20,0.9502995521778068,0.6115128236806915,0.35154,0.68046633794315,,,,,,,,,,,,,
86,1998,Steel (General),31,0.9170358067000662,0.495180266699859,0.2947103448275863,0.6796656304677926,,,,,,,,,,,,,
85,1998,Shoe,26,0.965897174006865,0.2560476283230978,0.5,0.8562737434092282,,,,,,,,,,,,,
84,1998,Semiconductor Cap Equip,8,1.6258354420428056,0.0335437838499834,0.0302714285714285,1.5746157647773844,,,,,,,,,,,,,
83,1998,Semiconductor,69,1.538343226434011,0.0312267831177492,0.3240096153846153,1.5065416314079587,,,,,,,,,,,,,
82,1998,Securities Brokerage,35,1.2693333463396668,1.6428408870433948,0.3892774193548387,0.6336148642187857,,,,,,,,,,,,,
81,1998,Retail Store,49,1.1549300805359863,0.2024985095957072,0.3790225,1.025923286333975,,,,,,,,,,,,,
