Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2023;20.136.566;52.610;15.992.571;256.875;249.625;202.682;112.984;93.655;90.263;481.761;2.603.540
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO BERNARDO DO CAMPO;SP;12/2023;19.296.133;1.000.806;10.246.304;6.553.940;547.839;301.586;186.189;125.985;172.859;160.625;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2023;18.779.299;0;14.106.838;318.486;345.822;540.787;494.374;377.223;312.455;2.283.314;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;C;1;S3;5;PORTO ALEGRE;RS;12/2023;17.824.654;7.146.699;7.649.907;1.976.515;519.125;195.886;24.109;19.308;23.531;269.574;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;12/2023;17.435.533;1.070.637;5.876.669;5.052.308;4.703.402;372.872;153.091;43.227;11.354;151.975;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;12/2023;16.883.311;461.902;13.095.479;280.290;810.942;504.292;343.374;238.627;169.226;979.179;0
MASTER;50.201;b1;C;2;S3;199;RIO DE JANEIRO;RJ;12/2023;16.105.291;7.478.434;2.816.535;491.264;4.402.407;398.236;266.688;31.469;39.206;181.053;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2023;15.206.224;3.883.265;4.841.644;4.797.260;1.195.087;198.264;86.667;43.636;32.776;127.625;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;C;3;S3;8;CURITIBA;PR;12/2023;14.447.215;2.906.096;6.632.218;3.628.700;899.576;218.827;25.633;37.537;17.684;80.943;0
PAGBANK-PAGSEGURO;52.182;b1;C;2;S4;199;SAO PAULO;SP;12/2023;14.338.703;12.983.576;1.302.695;3.061;5.919;3.781;16.734;4.220;10.065;8.653;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;12/2023;13.660.048;5.552.620;4.554.759;1.068.915;356.520;120.769;27.210;8.635;233;7.410;1.962.978
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;12/2023;13.457.240;0;12.177.378;192.338;137.285;95.551;86.802;71.687;61.654;634.544;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;C;1;S2;8;FORTALEZA;CE;12/2023;13.200.116;5.260.602;3.662.394;2.935.674;330.726;247.942;131.178;109.966;78.749;442.886;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2023;12.940.912;7.730.965;4.390.045;265.526;62.034;141.505;33.845;32.509;63.009;221.474;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2023;12.802.856;3.224.287;8.669.704;166.184;54.147;186.444;48.927;80.047;50.314;322.803;0
SCANIA BANCO S.A.;11.417.016;b2;C;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2023;12.528.731;150.390;6.092.675;5.737.179;373.314;72.379;20.155;19.330;19.618;43.691;0
BANCO BNP PARIBAS BRASIL S.A.;1.522.368;b1;C;3;S3;8;SAO PAULO;SP;12/2023;10.505.597;4.988.412;3.965.526;934.607;138.150;38.644;139.314;26.182;1.953;272.810;0
BANCO GM S.A.;59.274.605;b2;C;3;S3;8;SAO PAULO;SP;12/2023;10.316.087;46.783;8.523.699;606.192;732.561;140.733;147.531;18.753;12.845;86.990;0
STELLANTIS;52.508;b2;C;3;S4;198;SAO PAULO;SP;12/2023;10.287.261;0;7.023.589;2.628.603;492.481;89.389;20.779;5.624;4.696;22.100;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;C;3;S3;8;SAO PAULO;SP;12/2023;10.225.751;2.314.275;4.165.524;1.955.615;1.200.414;408.361;46.346;29.232;21.077;84.907;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2023;9.792.811;3.420.539;3.867.618;1.118.530;89.116;5.373;8.230;3.561;65.529;69.413;1.144.901
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2023;9.523.291;3.961.085;3.038.174;1.380.632;628.021;164.670;90.160;34.920;42.312;183.317;0
SOFISA;31.873;b1;C;2;S3;199;SAO PAULO;SP;12/2023;8.463.505;8.575;6.022.356;1.347.786;441.884;142.046;94.977;35.963;18.265;155.851;195.803
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S3;9;BLUMENAU;SC;12/2023;8.224.527;110.059;5.446.050;824.060;454.135;306.197;198.460;155.001;137.514;593.052;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2023;6.969.417;0;6.377.012;105.004;352.050;27.501;17.826;14.584;13.155;62.285;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2023;6.582.875;1.424.264;3.677.756;582.248;604.295;67.086;138.839;33.395;4.442;33.743;16.806
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;12/2023;6.219.828;0;4.116.690;207.057;208.177;216.871;188.925;173.348;149.668;959.091;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2023;6.094.674;2.008.542;1.300.618;1.489.297;559.255;166.295;43.438;20.784;56.208;450.236;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S3;9;BEBEDOURO;SP;12/2023;5.986.928;1.461.418;2.465.334;1.244.777;409.651;90.546;62.824;38.353;23.633;190.391;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;12/2023;5.756.997;189.215;3.002.908;1.773.601;398.374;122.940;48.683;32.234;65.229;123.813;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;12/2023;5.752.426;17;805.476;2.088.546;1.558.449;413.381;153.802;115.883;91.993;524.878;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;12/2023;5.674.742;215.389;2.524.768;1.822.342;545.298;238.847;106.431;73.764;41.010;106.893;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2023;5.540.772;0;1.740.311;230.359;2.823.392;243.245;135.435;87.913;64.427;215.691;0
