Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2022;452.679.958;336.045;13.028.611;28.312.054;35.733.216;5.845.552;1.765.552;119.910;85.140.941;51.083;2.186.436;5.797.758;9.040.712;2.099.504;8.876;0;19.184.369;771.073;12.771.667;70.379;0;0;0;0;13.613.119;102.062;23.576.168;5.769.086;829.339;101.032;8;0;30.377.695;12.191;6.604.493;9.527.054;6.584.709;3.257.350;7.284.646;0;33.270.442;1.393.725;5.056.427;8.122.779;4.746.711;992.656;676.368;24.301;21.012.967;59.959;1.074.146;3.092.115;3.697.175;1.522.792;1.793.301;99.582;11.339.071;2.623;1.114.418;2.849.663;1.108.752;351.271;173.096;0;5.599.823;17.799;609.403;1.235.203;1.075.351;78.813;29.757;0;3.046.326;230.095.204
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2022;327.922.247;1.039.738;14.220.682;31.495.995;39.206.172;7.150.235;2.652.533;604.839;96.370.194;157.492;3.743.958;8.865.300;12.299.584;3.089.229;187.187;1;28.342.751;486.453;6.261.137;614.374;0;0;0;0;7.361.964;352.042;29.058.913;5.857.609;104.564;4.804;0;0;35.377.931;53.325;14.455.198;17.772.407;6.820.031;5.636.799;1.160.157;0;45.897.918;858.068;5.205.374;2.737.710;1.710.971;301.481;12.051;2;10.825.657;21.711;1.464.943;4.121.019;6.460.683;3.232.280;5.027.943;179.622;20.508.202;105;1.086.327;2.686.982;366.753;186.346;104.204;0;4.430.716;64.545;189.885;644.526;2.715.574;143.395;85.185;2.197;3.845.307;74.961.608
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2022;284.862.417;627.983;10.474.179;27.709.030;34.612.553;5.754.248;817.333;328.284;80.323.610;35.885;2.173.470;4.899.219;12.464.040;9.627.737;24.311.247;609.646;54.121.244;180.494;1.849.572;478.103;17.196;0;0;10.295;2.535.660;173.093;6.799.796;2.480.812;281.755;0;0;12;9.735.468;109.182;9.065.126;18.483.467;9.626.593;3.779.028;1.371.828;0;42.435.224;726.256;9.253.221;6.139.994;2.979.712;2.037.626;3.778.117;770.995;25.685.921;62.451;1.744.790;3.893.368;6.849.425;3.372.876;13.606.319;3.511.614;33.040.842;6.349;1.771.938;3.594.052;1.829.146;896.123;1.094.876;501;9.192.985;0;10.048;97.208;323.716;21.964;0;0;452.936;27.338.526
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2022;267.437.769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;904.323;6.470.769;18.276.743;44.189.614;38.150.012;125.226.582;32.976.240;266.194.283;0;23.254;92.660;178.893;168.627;780.052;0;1.243.487;0;0;0;0;0;0;0;0;0
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2022;193.801.501;694.927;5.770.679;18.618.529;35.589.912;5.747.262;2.057.703;406;68.479.417;6.314;105.604;287.824;740.611;414.011;65.000;0;1.619.364;183.069;371.212;1.378.424;8.593;0;0;0;1.941.299;2.201;38.795;4.298;0;0;0;0;45.295;4.990;809.226;2.176.829;981.662;164.515;0;0;4.137.223;229.663;947.817;2.223.642;1.843.726;524.380;393.632;2.047;6.164.907;49.758;5.081.025;8.700.006;19.449.652;16.135.459;40.318.026;5.706.617;95.440.542;331;1.588.101;3.663.968;211.087;91.075;310.242;0;5.864.804;103.959;1.443.019;3.967.822;3.787.749;758.122;47.978;0;10.108.650;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2022;186.613.572;531.558;7.496.970;11.854.183;14.122.315;2.546.303;1.074.000;18.583;37.643.913;155.771;1.575.292;3.951.973;6.074.252;1.709.760;2.328.161;809.479;16.604.688;409.160;4.849.165;1.132.422;205.106;89.849;98.272;7.573;6.791.547;107.053;22.499.859;7.401.298;248.437;48.964;16.324;8.808;30.330.743;43.086;4.558.154;6.587.363;2.314.666;1.779.440;117.847;2.494;15.403.048;1.209.171;2.955.562;2.813.443;3.168.200;1.119.470;2.794.017;22.455;14.082.318;168.262;557.278;1.374.843;1.503.234;515.949;185.300;243;4.305.110;6.982;909.336;2.509.363;302.084;102.029;89.791;464;3.920.049;3.148;46.264;205.565;408.277;2.836;23.755;0;689.845;56.842.311
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2022;78.212.984;130.689;5.358.314;9.895.851;11.572.081;2.114.316;503.645;0;29.574.897;7.392;805.400;1.589.330;1.691.553;376.308;2.062;0;4.472.045;59.681;1.069.034;84.731;0;0;0;0;1.213.446;25.110;8.647.869;3.023.602;46.503;0;0;0;11.743.084;3.637;3.623.408;3.954.553;3.206.536;1.807.844;419.705;0;13.015.683;40.522;213.535;2.070.084;1.074.750;325.660;24.754;0;3.749.304;24.858;203.591;575.892;974.512;449.423;221.355;0;2.449.631;0;324.482;457.636;317.656;169.623;172.408;0;1.441.806;0;9.066;33.005;208.141;54.916;0;0;305.127;10.247.960
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2022;67.148.039;113.005;2.209.135;3.720.289;4.570.517;781.902;587.405;20.000;12.002.251;40.471;9.359;20.304;26.323;7.720;42;0;104.218;4.156;41.679;38.270;663.023;519.831;233.926;0;1.500.884;1.173;12.438.595;6.189.992;93.954;1.515;1.650;0;18.726.879;0;659.011;4.197.822;2.562.454;156.300;0;0;7.575.586;192.497;225.747;863.305;2.928.359;190.268;1.875;0;4.402.051;0;71.573;234.515;564.558;326.484;1.845.217;1.248.748;4.291.095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.545.074
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2022;28.796.303;1.118;1.598.905;1.890.331;1.439.992;166.691;5.771;0;5.102.809;0;2.602;7.733;8.403;632;0;0;19.370;0;161.038;164.513;110.339;0;0;0;435.890;0;8.877.604;1.571.653;1.021;140;0;0;10.450.418;371;3.335.259;3.972.182;3.033.760;618.339;430.766;0;11.390.677;2.949;735.705;281.891;0;0;0;0;1.020.545;0;0;0;0;0;0;0;0;0;206.558;170.034;0;0;0;0;376.592;0;0;0;0;0;0;0;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2022;26.120.354;78.152;1.768.785;4.011.098;4.606.418;212.682;5.952;2;10.683.088;3.267;259.928;630.411;974.731;267.055;18.964;55.914;2.210.270;15.143;1.026.803;1.082.532;9.076;0;0;0;2.133.554;28.157;6.211.477;934.418;61.480;194;0;0;7.235.726;2.103;1.099.731;969.453;271.766;10.793;0;0;2.353.846;7.120;31.286;10.831;9.070;2.612;0;0;60.919;534;18.172;67.514;82.598;26.621;537;0;195.976;0;60.336;117.111;156.121;0;0;0;333.568;0;0;0;0;0;0;0;0;913.407
