Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2005;4.918.469;101.341;3.075.631;-84.799;597.007;451.022;9.058.671;-3.839.812;-412.225;-66.110;0;-1.166.219;-5.484.366;3.574.304;1.952.148;0;-1.936.650;-1.339.099;-419.003;-65.439;2.203.258;-1.499.675;-1.104.460;2.469.844;63.519;2.533.364;-979.112;-116.298;1.437.953;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2005;4.462.745;381.441;1.793.659;740.281;144.599;392.141;7.914.866;-3.421.753;-369.421;-249.285;0;-539.660;-4.580.119;3.334.747;1.390.618;0;-1.281.968;-1.172.315;-320.565;319.933;286.349;-681.492;-1.459.440;1.875.306;5.871;1.881.177;-450.714;0;1.430.463;-611.887
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2005;3.800.682;1.074.269;1.362.128;774.246;0;251.407;7.262.731;-2.145.065;-239.644;-853.550;-32.647;-1.074.346;-4.345.253;2.917.478;1.761.571;0;-836.806;-1.371.213;-336.300;216.452;644.279;-1.267.308;-1.189.325;1.728.154;123.816;1.851.969;-245.993;-139.195;1.466.781;-620.730
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2005;1.996.215;0;4.061.168;-8.557;2.620;1.029.305;7.080.751;-3.807.823;-346.440;0;0;-613.398;-4.767.661;2.313.090;1.342.769;0;-1.436.470;-956.606;-196.934;49.073;251.054;-736.543;-1.683.657;629.433;21.209;650.642;-266.754;-86.052;297.836;-149.725
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;09/2005;2.679.043;131.479;925.550;210.253;0;152.737;4.099.062;-1.797.460;-178.609;-95.428;-27.237;-529.116;-2.627.850;1.471.213;583.558;0;-434.211;-818.226;-152.082;80.867;681.549;-728.739;-787.283;683.930;-7.766;676.164;-128.726;-60.533;486.904;-185.263
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;09/2005;2.420.411;157.095;661.060;199.468;41.185;166.626;3.645.845;-1.624.042;-51.493;-107.878;0;-400.121;-2.183.535;1.462.310;598.566;0;-616.129;-773.173;-324.041;-145.908;471.357;-294.509;-1.083.836;378.474;-4.545;373.928;-109.622;-60.633;203.673;0
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;09/2005;1.544.641;68.728;1.103.416;295.021;16.111;106.297;3.134.213;-1.645.443;-129.532;-45.415;0;-200.113;-2.020.505;1.113.709;595.916;0;-528.967;-638.880;-161.961;19.924;704.058;-644.169;-654.078;459.630;-27.394;432.236;9.492;-20.485;421.243;0
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2005;1.641.805;72.621;690.297;157.064;10.397;106.867;2.679.050;-1.348.951;-70.956;-52.306;0;-431.942;-1.904.155;774.894;490.240;0;-373.270;-615.969;-102.197;49.697;131.803;-173.525;-593.222;181.673;-1.998;179.675;-32.534;-33.699;113.441;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2005;790.763;4.449;815.108;409.019;0;43.198;2.062.537;-1.189.324;-124.072;-3.297;-108.056;-49.426;-1.474.176;588.361;16.513;0;-42.265;-77.644;-20.361;0;64.131;-151.499;-211.125;377.236;-117;377.119;-158.503;-921;217.695;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2005;1.440.545;0;442.990;-35.572;12.839;0;1.860.801;-443.355;-1.081.843;0;0;-43.262;-1.568.459;292.341;0;0;-91.734;-66.435;-47.458;219.020;1.054.024;-493.629;573.790;866.131;-9.118;857.013;-220.249;0;636.764;0
