Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Adicional de Capital Principal;Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2023;150.873.300;18.914.130;169.787.430;18.965.040;188.752.470;1.132.376.859;6.265.080;1.059.990;14.833.254;4.596.089;26.754.413;101.301.760;1.260.433.032;2.351.498.495;11,97%;13,47%;14,98%;44.115.156;7,22%;20,42%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2023;133.016.594;28.639.670;161.656.264;17.602.139;179.258.403;936.203.330;15.176.915;2.154.298;8.767.567;0;26.098.781;144.910.497;1.107.212.608;2.144.148.076;12,01%;14,60%;16,19%;38.752.441;7,54%;16,91%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2023;104.600.242;14.013.652;118.613.894;24.034.212;142.648.106;850.495.307;5.008.521;197.417;4.812.360;1.624.839;11.643.138;82.977.742;945.116.186;1.644.823.821;11,07%;12,55%;15,09%;33.079.067;7,21%;23,31%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2023;107.049.896;1.713.241;108.763.137;19.531.974;128.295.111;650.750.543;232.724;0;3.620.756;25.604;3.879.084;73.124.037;727.753.664;1.706.706.349;14,71%;14,95%;17,63%;25.471.378;6,37%;9,27%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2023;71.675.690;6.643.151;78.318.841;13.254.047;91.572.887;582.238.211;11.109.219;1.456.408;8.244.282;3.333.023;24.142.932;56.759.720;663.140.863;1.115.483.197;10,81%;11,81%;13,81%;23.209.930;7,02%;19,64%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2023;139.389.863;0;139.389.863;31.607.390;170.997.253;415.681.529;13.966.287;0;3.519.037;0;17.485.323;83.983.358;517.150.211;788.132.142;26,95%;26,95%;33,07%;12.929.699;17,69%;1,17%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2023;39.785.440;423.627;40.209.067;7.132.235;47.341.302;234.534.153;1.195.497;14.082.121;23.586.467;6.094.054;44.958.139;25.615.023;305.107.314;543.740.526;13,04%;13,18%;15,52%;7.627.683;7,39%;29,79%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2023;23.305.524;2.828.756;26.134.280;3.743.374;29.877.654;138.925.215;1.495.750;0;7.746.654;658.517;9.900.922;13.447.431;162.273.568;269.441.897;14,36%;16,11%;18,41%;4.056.839;9,70%;25,27%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2023;12.106.081;0;12.106.081;0;12.106.081;56.550.022;4.493.312;0;12.802.293;105.192;17.400.797;12.036.231;85.987.050;150.224.053;14,08%;14,08%;14,08%;2.149.676;8,06%;2,63%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;03/2023;9.167.190;790.489;9.957.679;1.369.563;11.327.242;69.352.833;279.808;4.955;0;94.575;379.338;14.995.376;84.727.547;120.940.836;10,82%;11,75%;13,37%;2.118.189;8,23%;2,52%
