Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
BANRISUL - PRUDENCIAL;1000080154;b1;S2;1;C;1;PORTO ALEGRE;RS;12/2023;7.790.848;0;7.790.848;1.818.423;9.609.271;47.262.606;1.956.820;0;25.722;17.235;29.647;2.029.424;8.037.902;0;57.329.933;125.629.016;13,59%;13,59%;16,76%;1.433.248;6,20%;10,10%
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;1;C;2;RIO DE JANEIRO;RJ;12/2023;7.822.611;0;7.822.611;830.505;8.653.115;32.756.229;121.353;78.242;3.097.859;38.564;1.868.088;5.204.106;15.993.746;0;53.954.081;193.606.630;14,50%;14,50%;16,04%;1.348.852;4,04%;20,56%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;;C;2;SAO PAULO;SP;12/2023;6.110.214;1.042.763;7.152.977;0;7.152.977;47.711.342;275.573;0;442.673;0;243.838;962.085;2.912.290;0;51.585.716;85.597.169;11,84%;13,87%;13,87%;1.289.643;8,36%;15,95%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;;C;3;SAO PAULO;SP;12/2023;5.643.236;502.457;6.145.692;1.079.608;7.225.300;40.051.360;275.820;1.457.660;2.729.525;902;455.375;4.919.282;3.375.428;0;48.346.069;67.613.587;11,67%;12,71%;14,94%;1.208.652;9,09%;0,51%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;;I;1;BELEM;PA;12/2023;5.781.613;0;5.781.613;0;5.781.613;38.224.829;1.347;0;959;0;0;2.306;6.137.073;0;44.364.208;58.258.335;13,03%;13,03%;13,03%;1.109.105;9,92%;3,70%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;;I;3;SAO PAULO;SP;12/2023;5.291.192;1.599.788;6.890.980;0;6.890.980;32.673.400;283.214;354.908;2.720.563;0;2.289.954;5.648.639;2.778.295;0;41.100.333;54.405.760;12,87%;16,77%;16,77%;1.027.508;12,67%;0,49%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;;C;3;SAO PAULO;SP;12/2023;3.243.770;0;3.243.770;474.143;3.717.913;33.320.093;0;0;0;0;60.285;60.285;1.758.999;0;35.139.378;43.420.003;9,23%;9,23%;10,58%;878.484;7,47%;0,14%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;;C;2;RIO DE JANEIRO;RJ;12/2023;15.145.726;0;15.145.726;0;15.145.726;813.339;0;0;67;32.115.909;0;32.115.975;99.804;0;33.029.119;7.447.481;45,86%;45,86%;45,86%;825.728;203,37%;2,22%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;;C;3;SAO PAULO;SP;12/2023;3.716.536;1.038.948;4.755.484;901.210;5.656.694;22.570.349;460.513;13.861;4.626.560;4.067;1.504.076;6.609.078;3.733.617;0;32.913.044;48.680.076;11,29%;14,45%;17,19%;822.826;9,77%;1,23%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;1;C;2;SAO PAULO;SP;12/2023;2.775.610;60.885;2.836.496;1.042.987;3.879.483;29.322.865;8.701;0;78.157;0;911;87.768;2.573.437;0;31.984.071;75.590.359;8,68%;8,87%;12,13%;799.602;3,75%;16,62%
