Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2023;25.520.932;24.696;698.155;688.392;953.924;5.743.466;3.300.295;0;11.408.928;88.303;1.580.448;1.101.027;1.458.176;518.164;174.199;311.129;5.231.446;249;4.310;10.833;14.428;3.117;29;0;32.966;1.903;98.795;206.927;549.104;532.930;2.350.748;2.218.757;5.959.162;275.099;88.974;77.969;40.761;15.074;9.734;0;507.611;698;127.303;86.006;91.208;81.655;91.519;0;478.390;40.247;125.796;238.530;335.944;304.874;832.954;24.084;1.902.429;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;03/2023;24.296.695;0;396;1.500;2.400;1.116;796;0;6.208;1.292.313;5.012.187;5.837.046;1.121.720;9.292;8;0;13.272.566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.628.829;6.063.267;1.254.751;66.344;31;2;0;11.013.224;0;0;0;0;0;0;0;0;47;853;1.895;1.889;14;0;0;4.697;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2023;18.809.427;0;104.327;275.279;465.162;211.352;68.136;0;1.124.257;0;47;63;82;52;16;0;259;0;1.067;2.068;1.511;706;1.056;0;6.408;0;25.216;56.099;145.796;142.074;643.121;625.260;1.637.566;0;0;0;0;0;0;0;0;0;634.204;2.460.168;5.226.592;4.016.337;3.617.133;0;15.954.435;538;11.458;26.845;40.786;5.840;1.035;0;86.502;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2023;18.534.640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46.818;375.433;914.739;842.335;494.976;372.733;323;3.047.357;73.646;2.220.121;4.703.746;5.114.359;2.458.858;915.660;893;15.487.283;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2023;18.138.167;31.161;290.503;825.470;1.685.401;1.156.059;654.481;35;4.643.110;77.043;190.831;398.823;437.733;136.370;70.704;0;1.311.505;0;0;0;0;0;0;0;0;9.639;79.436;172.465;438.997;410.291;1.640.610;1.278.122;4.029.559;951.617;4.525.448;1.266.442;81.391;3.478;6;1;6.828.384;0;29.273;146.530;28.160;0;0;0;203.963;16.909;59.924;139.633;213.574;152.578;488.397;50.632;1.121.647;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2023;17.887.276;43.430;349.437;939.958;1.817.208;1.067.458;457.940;13;4.675.444;296.867;504.909;821.759;809.614;302.279;188.814;0;2.924.242;15;6;14;21;1;0;0;57;0;0;0;0;0;0;0;0;707.976;3.984.886;1.145.224;1.413.114;694.269;129.977;0;8.075.447;0;0;0;0;0;0;0;0;1.166;8.540;884;48.350;1.141;794;0;60.875;2.151.210
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;03/2023;17.258.166;0;0;0;0;0;0;0;0;5.927;760.380;1.342.915;1.965.764;7.090.735;261.124;0;11.426.845;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.074;4.109.105;1.494.388;15.824;0;410;0;5.667.802;0;0;0;0;0;0;0;0;475;6.137;17.642;38.305;32.641;68.318;0;163.518;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2023;16.326.019;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.879.317;8.381.374;4.064.071;1.001.068;190;0;0;16.326.019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2023;15.935.842;6.777;170.215;442.474;993.290;645.176;362.595;0;2.620.527;2.673;34.778;87.788;155.253;71.716;23.176;0;375.384;0;0;2;0;0;0;0;2;1.338;13.101;27.647;73.576;72.434;340.964;360.323;889.383;84.438;1.291.583;6.347.098;206.210;30.890;0;0;7.960.218;0;115.868;583.604;1.246.609;1.096.777;1.020.729;0;4.063.586;93;1.300;3.194;6.379;5.963;9.813;0;26.741;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;03/2023;14.597.556;3.381;13.995;39.994;47.708;8.949;45;0;114.071;20.590;30.832;73.886;30.578;1.102;2;0;156.991;45.446;232.462;581.835;759.376;106.890;230;0;1.726.238;0;0;0;0;0;0;0;0;1.226.707;6.802.928;3.799.876;351.531;104.037;3.868;0;12.288.947;0;0;0;0;0;0;0;0;3.279;45.904;110.645;139.968;11.513;0;0;311.309;0
