Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2021;809.272.256;422.377.042;124.842.633;107.212.661;90.331.587;28.587.472;7.291.776;6.949.830;9.013.441;12.665.814;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2021;799.641.194;238.799.575;157.713.684;30.297.319;26.109.218;8.754.154;4.651.397;5.368.856;5.076.892;10.498.405;312.371.694
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2021;692.777.387;299.665.964;67.414.156;155.605.633;85.627.186;13.786.011;7.478.579;2.573.900;3.504.832;26.903.354;30.217.771
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2021;588.277.104;155.602.932;111.670.333;115.553.733;64.933.774;20.076.316;7.622.120;5.077.474;4.228.246;16.766.669;86.745.507
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2021;438.639.284;149.838.242;122.143.064;41.209.217;29.387.683;12.224.009;4.753.655;3.780.834;3.305.464;10.304.481;61.692.636
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2021;267.063.554;40.052.667;100.674.084;71.958.365;20.388.649;12.325.710;5.873.608;4.175.911;5.460;11.609.100;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2021;94.321.895;52.655.683;4.329.177;23.219.464;2.587.435;709.392;231.476;1.054.653;101.386;837.082;8.596.148
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2021;90.581.505;12.347.979;38.570.449;14.229.363;2.166.046;1.245.993;570.443;634.077;561.332;1.530.297;18.725.525
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2021;60.664.232;3.349.054;25.698.004;11.668.699;11.106.149;1.579.615;1.973.043;399.699;2.169.554;1.760.431;959.984
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2021;36.553.595;3.985.587;19.057.067;8.351.167;1.442.086;750.617;294.406;378.733;491.028;1.754.322;48.582
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2021;35.715.741;4.151.904;11.727.478;15.644.005;1.974.889;505.380;178.755;144.694;78.659;521.840;788.136
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2021;25.882.496;5.272.944;5.516.940;11.088.799;965.878;1.294.808;435.312;630.641;196.082;481.092;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2021;24.976.214;10.737.505;10.295.082;3.203.355;396.948;159.561;89.393;25.697;264;68.409;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2021;20.726.762;3.951.414;12.703.917;2.038.650;946.194;340.879;147.374;221.671;61.738;314.924;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2021;20.667.087;3.046.792;7.010.824;6.894.832;1.307.894;164.203;164.892;243.548;88.843;165.802;1.579.456
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2021;17.806.648;10.444.153;3.421.211;2.202.106;1.075.746;218.915;99.935;62.087;52.126;230.370;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;06/2021;16.627.091;0;16.390.909;6.870;5.838;2.837;1.667;3.247;22.040;193.684;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2021;15.176.134;11.992.327;2.998.830;106.738;76.741;226;148;54;96;974;0
