Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2019;672.887.156;319.901.328;84.676.169;110.456.126;27.410.263;129.868.481;574.789;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2019;615.308.167;259.072.318;93.059.175;79.109.650;33.439.696;114.207.197;277.432;36.142.699
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2019;612.910.624;217.728.528;28.304.701;44.462.967;10.815.927;50.397.343;553.839;260.647.317
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2019;487.080.387;218.763.866;32.734.512;57.294.975;19.358.286;59.947.734;323.214;98.657.798
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2019;316.674.755;180.904.809;21.359.462;32.745.805;10.029.662;45.057.630;241.904;26.335.483
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2019;276.741.323;156.797.437;32.669.547;40.845.595;5.147.347;26.986.333;14.295.063;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2019;70.262.836;35.910.590;4.439.352;7.312.071;1.634.280;11.887.217;8.121;9.071.205
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2019;52.143.807;28.289.943;4.097.723;6.227.152;1.980.445;10.165.388;11.966;1.371.190
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2019;33.724.355;3.779.716;479.521;1.124.516;509.412;27.706.357;9.613;115.221
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2019;22.844.141;6.576.775;3.197.823;669.427;377.293;1.185.183;126.750;10.710.889
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2019;22.229.751;10.367.512;2.250.681;4.604.583;1.515.835;3.478.988;12.151;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2019;21.524.332;9.132.303;8.733.475;1.677.219;320.319;1.661.016;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2019;19.659.129;10.355.982;1.915.650;2.772.567;981.796;2.676.995;7.299;948.840
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2019;16.785.605;10.426.597;688.656;2.650.438;505.133;2.500.355;14.425;0
