Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;685.397.931;323.423.852;86.244.767;113.026.151;28.212.665;133.962.482;528.015;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;663.487.114;234.359.372;31.125.269;48.285.052;11.599.703;53.895.045;504.173;283.718.500
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;613.721.337;253.228.421;97.011.864;82.951.524;35.416.446;111.921.867;275.838;32.915.378
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;517.688.975;230.479.611;36.721.752;62.095.967;21.064.081;66.727.310;304.623;100.295.631
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;351.523.077;194.310.640;23.197.121;36.588.719;11.428.494;50.358.847;221.280;35.417.977
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.078.772;147.934.130;32.627.774;39.864.375;4.461.392;27.474.202;8.716.899;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;76.442.089;39.132.194;5.272.445;8.043.883;2.026.497;13.662.580;9.933;8.294.558
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2019;54.997.791;29.474.949;4.406.627;6.664.799;2.193.906;10.980.120;13.396;1.263.994
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2019;35.755.075;4.016.250;489.720;1.183.225;521.198;29.418.554;8.216;117.912
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2019;28.942.855;10.920.473;3.414.264;836.757;392.819;1.338.703;126.750;11.913.089
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2019;24.596.323;13.159.501;2.358.284;3.418.187;1.224.975;3.406.900;6.193;1.022.284
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2019;23.471.031;11.050.665;2.274.828;4.788.040;1.665.979;3.679.283;12.236;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2019;22.062.929;9.099.823;9.395.424;1.742.994;348.391;1.476.296;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.654.563;11.112.720;659.715;2.334.611;988.186;2.546.018;13.313;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2019;17.551.442;8.043.622;1.930.248;2.969.879;1.161.381;3.443.751;2.562;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2019;17.199.619;9.104.265;1.427.632;1.421.916;68.730;2.884.670;2;2.292.405
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2019;13.654.913;10.727.464;581.528;523.354;153.232;1.669.334;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2019;13.529.648;545.314;325.077;8.509;3.567;12.645.955;1.226;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2019;12.571.319;7.019.879;820.023;1.618.949;264.210;2.847.995;263;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2019;11.913.943;187.195;3.099.581;60.136;125.284;8.437.330;4.417;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2019;10.938.682;2.048.756;40.634;8.343.127;96.097;407.858;2.210;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2019;10.709.353;5.440.322;897.452;1.957.454;666.385;1.148.522;3.912;595.306
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;12/2019;10.570.007;5.045.864;865.582;2.253.463;330.650;1.914.149;160.299;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2019;10.478.803;4.336.943;617.742;617.233;268.249;1.189.037;603;3.448.996
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2019;10.376.763;341.861;9.855.452;97.518;37.973;41.583;2.375;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.291.401;4.122.642;1.085.976;2.205.101;902.142;1.973.999;1.540;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2019;10.101.945;2.501.493;2.825.885;755.983;365.824;3.645.090;7.670;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2019;10.098.284;6.362.950;919.463;1.519.573;364.648;922.002;9.648;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2019;9.600.758;3.994.748;1.257.764;290.975;883.266;3.171.207;2.798;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2019;8.172.572;4.751.470;1.246.576;573.044;91.282;1.508.500;1.699;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2019;8.028.625;6.016.668;451.433;799.423;105.797;650.698;4.605;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2019;7.353.536;2.688.795;1.028.913;1.685.108;672.163;1.276.655;1.902;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2019;7.209.762;3.345.374;1.903.329;890.756;311.097;649.020;1.828;108.359
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2019;5.990.171;3.094.853;633.593;841.337;288.107;1.132.280;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2019;5.915.097;2.085.445;1.236.473;288.320;151.895;2.151.379;1.584;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2019;5.383.481;14.711;9.939;28.306;5.319.798;10.442;286;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2019;4.940.422;1.764.055;555.836;528.232;184.946;1.907.353;0;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2019;4.869.218;4.106.569;83.548;401.635;90.203;164.724;3.883;18.656
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2019;4.853.537;1.838.208;452.933;1.554.066;456.756;505.115;46.459;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;12/2019;4.756.329;3.039.493;475.277;630.809;98.116;506.008;6.626;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2019;4.552.636;3.823.772;99.137;118.163;0;120.994;0;390.571
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2019;4.504.660;4.334.702;22.099;82.181;667;65.010;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2019;4.240.125;4.094.348;19.677;60.888;52.103;12.623;486;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2019;4.166.459;1.889.286;543.243;188.361;35.549;216.395;72.184;1.221.442
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2019;4.150.342;1.161.785;623.847;1.376.594;611.387;375.853;876;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2019;4.027.418;2.665.708;228.255;363.340;110.595;596.483;21;63.017
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2019;3.985.061;3.862.482;0;122.579;0;0;0;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2019;3.917.255;1.442.495;416.960;266.902;189.168;1.601.731;0;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2019;3.603.394;873.353;1.096.766;661.936;883.607;87.673;59;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;12/2019;3.551.762;2.358.374;306.325;244.726;52.541;536.668;24;53.105
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2019;3.537.890;1.019.264;105.003;103.514;36.929;2.271.963;1.217;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;12/2019;3.442.723;1.633.770;248.294;601.365;175.436;759.242;24.616;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;12/2019;3.434.072;1.939.438;568.528;326.384;59.052;340.154;10;200.507
