Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2019;115.498.449;10.874.641;126.373.090;11.894.009;138.267.098;724.300.393;9.836.048;972.210;18.194.889;12.356.339;41.359.486;81.341.095;847.000.974;1.478.263.873;13,64%;14,92%;16,32%;8,55%;27,70%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2019;95.843.071;9.605.051;105.448.122;25.359.445;130.807.567;632.614.591;4.229.468;1.624.924;5.193.926;619.283;11.667.602;57.494.077;701.776.270;1.201.736.350;13,66%;15,03%;18,64%;8,77%;34,39%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2019;70.176.532;23.855.445;94.031.977;36.141.215;130.173.191;610.315.136;16.055.696;399.092;4.248.914;0;20.703.702;70.105.346;701.124.185;1.364.061.257;10,01%;13,41%;18,57%;6,89%;14,19%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2019;132.446.110;0;132.446.110;52.678.983;185.125.094;468.299.340;32.096.001;0;2.607.548;0;34.703.549;39.989.984;542.992.872;875.676.951;24,39%;24,39%;34,09%;15,12%;4,30%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2019;71.508.324;0;71.508.324;32.733.485;104.241.809;424.120.158;5.091.956;1.899.249;3.554.572;166.069;10.711.845;78.899.760;513.731.763;1.407.344.668;13,92%;13,92%;20,29%;5,08%;10,23%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2019;62.737.928;4.840.415;67.578.342;4.832.630;72.410.973;370.990.437;5.801.558;24.201;20.944.139;2.693.778;29.463.676;46.526.950;446.981.063;759.046.461;14,04%;15,12%;16,20%;8,90%;10,61%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2019;12.124.198;3.514.850;15.639.048;3.504.162;19.143.210;59.671.750;2.166.375;6.088.788;45.626.575;9.270.950;63.152.688;6.958.234;129.782.672;161.040.962;9,34%;12,05%;14,75%;9,71%;37,75%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2019;12.260.515;1.160.087;13.420.603;3.330.306;16.750.909;96.348.258;1.978.750;0;1.852.288;652.700;4.483.738;8.376.129;109.208.124;193.099.780;11,23%;12,29%;15,34%;6,95%;31,97%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2019;7.544.073;1.151.162;8.695.235;1.113.130;9.808.365;53.414.256;230.155;0;1.767.127;65.838;2.063.120;6.401.132;61.878.508;112.659.012;12,19%;14,05%;15,85%;7,72%;20,53%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2019;8.927.036;0;8.927.036;0;8.927.036;28.810.889;916.257;160.444;16.542.867;130.741;17.750.310;5.267.325;51.828.524;82.701.243;17,22%;17,22%;17,22%;10,79%;1,44%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2019;5.212.323;801.040;6.013.363;2.282.604;8.295.967;40.957.229;67.805;4.138;63.638;0;135.580;10.343.721;51.436.529;94.605.169;10,13%;11,69%;16,13%;6,36%;2,74%
