Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2023;866.093.116;742.544;5.797.942;14.720.666;28.107.353;23.922.481;29.701.628;16;102.992.630;163.182;2.066.070;4.287.731;4.170.129;934.140;5.109;0;11.626.360;1.873;9.625;22.794;39.898;14.179;103;0;88.472;1.778.970;18.621.546;49.968.467;117.115.001;96.865.901;283.124.021;117.072.755;684.546.660;2.046.170;8.776.908;2.865.638;224.653;42.753;40.900;0;13.997.023;624.840;3.348.462;12.182.852;10.916.918;8.304.818;5.684.700;0;41.062.591;1.435.497;4.777.292;1.222.977;1.758.934;1.080.156;1.496.280;8.243;11.779.380;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2023;593.793.236;323.884;6.660.145;18.725.010;42.637.124;31.255.432;23.412.413;354.748;123.368.755;1.403.014;4.090.071;11.676.382;16.958.479;8.475.052;4.183.062;521.365;47.307.424;54.481;456.823;1.189.372;1.880.120;529.615;15.156;153.812;4.279.379;58.495;473.933;1.367.475;3.690.988;3.692.926;19.053.762;18.384.501;46.722.080;4.925.390;38.798.702;9.426.142;637.736;7;0;485.611;54.273.589;2.731.258;33.568.111;106.265.994;79.981.683;43.210.027;31.061.089;396.786;297.214.948;1.025.273;1.681.759;4.197.170;2.819.649;2.208.773;3.403.303;151.882;15.487.808;5.139.253
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2023;494.244.807;481.392;6.883.971;17.903.376;30.117.493;14.231.915;4.230.693;0;73.848.839;502.450;4.259.343;7.937.053;8.729.087;1.845.732;216.603;0;23.490.267;677.706;4.344.222;10.597.089;14.665.518;2.464.119;12.814;0;32.761.468;91.728;3.628.588;9.982.528;22.803.572;17.943.249;45.202.643;13.139.285;112.791.593;11.360.998;79.334.989;35.192.146;1.806.299;47.419;117;0;127.741.968;7.488;882.965;3.781.051;1.104.650;162.581;34.374;0;5.973.110;3.537.398;11.790.636;8.744.361;9.899.957;3.312.490;986.632;15.394;38.286.869;79.350.694
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2023;356.301.368;388.850;7.637.424;19.396.402;35.038.772;18.605.873;9.473.662;3.529;90.544.512;1.618.475;6.721.492;10.490.965;11.214.876;2.154.255;411.744;1.537;32.613.343;656.665;4.497.799;10.891.992;14.788.270;2.192.391;11.507;24;33.038.648;112.400;2.604.750;7.049.955;16.215.406;12.857.075;37.748.317;6.960.774;83.548.678;11.500.870;38.842.319;14.595.021;3.049.969;545.080;72.055;0;68.605.313;345.964;1.972.734;6.380.414;7.211.914;1.552.867;425.689;0;17.889.582;1.982.546;6.738.564;4.764.855;7.010.298;2.498.100;739.219;741;23.734.323;6.326.969
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2023;290.364.540;1.305.430;5.008.569;13.210.257;23.575.789;12.765.085;7.544.525;1.404;63.411.058;891.541;2.106.921;3.980.794;5.463.071;2.203.103;869.253;22.128;15.536.810;984.064;7.643.191;18.969.005;27.277.542;5.036.666;46.934;5.672;59.963.076;96.047;1.870.678;5.102.371;11.720.937;9.218.686;23.300.831;7.345.201;58.654.751;2.612.435;29.968.495;11.866.742;1.682.249;557.580;673.414;58;47.360.973;139.404;834.108;3.564.915;3.862.437;1.661.743;712.715;0;10.775.322;2.221.432;6.633.109;6.046.601;7.350.984;4.132.406;4.306.880;155.009;30.846.421;3.816.130
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2023;54.426.166;28.430;95.788;209.280;181.380;13.237;27;0;528.141;198.077;994.916;2.370.136;2.978.116;619.515;27.643;0;7.188.404;847.880;5.381.606;12.930.459;18.945.743;3.403.427;29.475;0;41.538.590;0;0;0;0;0;0;0;0;1.194.344;2.509.226;1.224.448;171.500;390;0;0;5.099.908;0;9;1.719;0;0;0;0;1.728;869;48.069;5.016;8.296;4.225;2.916;5;69.394;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2023;41.289.736;122.516;831.131;2.222.750;3.340.127;1.747.685;848.809;0;9.113.019;295.178;693.225;1.424.467;1.112.137;442.777;62.328;0;4.030.112;699.479;2.790.799;6.475.375;8.415.401;1.226.790;1.042;0;19.608.885;463;2.292;5.761;12.222;8.970;17.016;1.867;48.591;862.760;2.250.489;1.471.855;583.895;916.063;1.508.263;0;7.593.324;56;31.572;35.244;38.528;0;5.586;0;110.986;21.276;135.383;122.148;156.843;27.357;27.258;364;490.629;294.189
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2023;41.285.479;53.684;1.297.702;3.628.039;7.239.356;4.736.495;3.208.255;768;20.164.299;116.644;619.849;573.573;488.483;167.586;75.445;1.613;2.043.192;81;963;2.667;4.006;1.187;1;0;8.905;4.185;93.777;211.071;559.364;530.602;2.149.340;1.829.146;5.377.484;202.004;1.465.465;444.868;11.060;0;0;0;2.123.397;185.678;1.337.324;5.177.021;1.702.359;786.099;740.046;9.049;9.937.576;100.443;999.970;192.636;177.009;84.765;75.446;356;1.630.625;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;C;2;S3;41;SAO PAULO;SP;09/2023;41.065.118;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.960.676;9.079.918;4.057;0;0;0;41.044.651;0;0;0;0;0;0;0;0;10.954;4.213;4.569;732;0;0;0;20.468;0
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;09/2023;37.218.884;28.644;1.141.981;3.137.746;6.085.480;3.495.465;1.425.108;0;15.314.425;40.125;672.574;1.580.015;2.200.231;807.204;360.947;776;5.661.871;33.302;663.141;1.728.984;3.073.969;734.625;2.856;0;6.236.876;0;0;0;0;0;0;0;0;1.387.742;5.640.368;2.407.667;132.903;23.550;579;0;9.592.809;0;0;0;0;0;0;0;0;51.074;22.710;158.584;67.266;35.902;68.926;8.440;412.903;0
