Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;03/2005;28.152.463;31.417.670;6.488.592;42.876.733;11.161.035;120.096.492;43.085.835;0;0;0;851.765;0;851.765;27.830.679;191.864.771;673.825;38.085.626;230.624.222;128.240;14.932.898;245.685.360
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2005;315.057;0;0;0;17.089.928;17.404.985;0;0;0;0;0;0;0;45.595.717;63.000.701;51.291;89.442.974;152.494.966;0;15.529.162;168.024.128
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2005;5.807.044;49.736.475;0;35.016.177;6.628.341;97.188.037;15.636.388;0;0;0;0;11.349.916;11.349.916;12.333.625;136.507.967;94.122;12.933.914;149.536.002;0;6.977.476;156.513.478
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2005;14.966.536;24.447.649;17.054;31.857.063;176.234;71.464.536;21.927.991;0;0;0;4.310.058;714.000;5.024.058;15.633.366;114.049.952;1.485.418;22.682.078;138.217.448;38.677;16.545.054;154.801.179
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2005;10.622.155;19.023.655;1.055.399;13.334.308;196.330;44.231.847;17.281.740;0;0;0;3.749.837;1.125.172;4.875.008;10.052.204;76.440.801;2.235.407;44.701.199;123.377.407;33.883;16.769.814;140.181.104
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2005;3.446.289;5.800.555;193.315;26.427.460;2.486;35.870.106;5.557.989;0;0;0;1.329.722;223.598;1.553.319;7.902.263;50.883.677;301.615;15.599.308;66.784.600;37.702;8.609.778;75.432.080
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2005;3.583.598;4.576.636;19.501;15.388.964;52.132;23.620.830;14.692.640;0;0;0;1.592.728;0;1.592.728;7.087.075;46.993.274;527.570;16.079.680;63.600.523;39.188;8.288.473;71.928.184
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2005;4.408.225;6.817.088;344.364;21.975.335;121.978;33.666.989;1.389.798;0;0;0;1.772.981;251.730;2.024.711;5.200.589;42.282.088;663.938;12.983.946;55.929.973;22.496;9.132.592;65.085.061
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2005;3.640.357;1.602.049;38.700;20.585.332;49.001;25.915.439;2.539.898;0;0;0;26.782;0;26.782;2.470.679;30.952.797;1.719.373;6.381.403;39.053.574;14.176;2.815.350;41.883.100
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2005;1.110.188;483.214;2.271.058;5.737.599;11.530;9.613.589;6.334.411;0;0;0;1.586.905;18.839;1.605.744;4.441.992;21.995.736;5.565.729;7.271.410;34.832.875;12.860;3.701.192;38.546.927
