Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;686.515.696;325.281.302;80.549.972;77.145.449;29.524.899;118.422.211;2.099.525;53.492.338
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;678.460.889;338.168.693;79.938.456;105.482.483;27.571.033;125.201.572;2.098.653;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;497.074.666;209.848.894;19.906.188;39.663.104;10.550.680;44.159.966;7.273.887;165.671.946
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;409.647.308;170.494.304;24.524.217;43.252.880;14.151.465;43.021.306;6.581.721;107.621.414
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2016;378.373.565;232.193.194;34.756.853;44.752.376;6.345.055;27.397.357;32.928.732;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;245.604.677;141.596.377;14.283.100;21.314.402;5.307.159;31.051.195;2.058.899;29.993.545
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;67.258.551;31.652.095;5.304.254;4.906.451;1.878.602;13.455.162;1.308.536;8.753.450
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2016;58.999.956;4.912.493;2.848.343;309.061;30.573;386.379;22.918;50.490.190
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;48.811.593;24.140.612;3.688.897;7.306.189;1.671.917;9.317.284;330.371;2.356.323
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2016;45.268.716;22.746.420;2.739.551;3.375.269;905.002;5.826.446;705.476;8.970.552
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2016;30.571.569;3.727.981;447.567;1.036.423;365.659;24.548.767;221.282;223.890
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2016;21.219.073;15.343.895;835.560;1.084.434;510.443;3.326.388;118.354;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2016;17.251.932;7.703.598;1.618.264;3.194.590;1.084.434;3.637.543;13.503;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2016;17.168.098;8.249.596;2.232.667;3.040.081;1.187.289;2.204.294;254.171;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2016;15.555.665;5.659.659;6.757.392;1.285.536;102.153;1.750.925;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2016;14.595.140;52.835;3.772.195;4.193;43.578;10.715.311;7.028;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2016;13.326.366;2.345.175;616.957;10.077.527;123.528;111.850;51.329;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;03/2016;12.743.673;6.570.308;1.252.589;2.320.722;611.847;1.756.377;73.889;157.940
