Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2010;11.506.697;6.793.671;4.256.055;-199.475;505.863;178.287;23.041.097;-7.098.343;-1.060.538;-5.350.001;0;-3.812.693;-17.321.575;5.719.522;2.313.155;746.785;-2.285.115;-3.095.716;-623.253;806.794;3.256.865;-2.917.322;-1.797.807;3.921.716;387.215;4.308.931;-610.301;-437.296;3.261.333;-1.741.019
BB;49906;b1;;C;1;BRASILIA;DF;03/2010;10.991.104;475.477;5.130.860;-4.882;0;272.242;16.864.800;-7.766.248;-837.884;-345.148;-48.862;-2.756.842;-11.754.985;5.109.816;2.297.263;809.989;-2.857.601;-2.633.304;-693.185;539.978;2.357.049;-1.402.399;-1.582.210;3.527.606;225.704;3.753.310;-1.039.850;-307.667;2.405.792;-518.155
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2010;8.396.675;3.872.539;3.788.814;-14.841;368.692;184.754;16.596.632;-5.625.164;-508.445;-3.232.426;0;-2.162.107;-11.528.143;5.068.490;1.529.142;596.615;-1.692.190;-2.406.051;-497.026;1.249.036;667.815;-2.286.416;-2.839.076;2.229.414;-91.459;2.137.955;-30.118;0;2.107.837;-608.025
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2010;6.706.797;1.951.161;2.713.569;54.787;1.116.566;106.726;12.649.606;-3.562.188;-421.516;-1.800.812;0;-2.326.088;-8.110.605;4.539.001;1.255.331;512.957;-1.183.076;-2.518.738;-375.283;76.827;1.187.585;-2.629.364;-3.673.763;865.238;560.693;1.425.930;-157.135;-240.188;1.028.608;-400.000
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2010;4.182.361;0;4.106.212;-42.106;811;777.195;9.024.474;-4.174.810;-814.807;0;0;-718.883;-5.708.500;3.315.974;2.204.497;219.321;-2.333.958;-1.218.177;-327.389;108.643;793.506;-2.001.112;-2.554.667;761.307;-37.408;723.899;105.304;-51.652;777.550;-188.966
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2010;6.383.647;0;1.238.788;-56.474;10.170;0;7.576.132;-711.542;-5.630.688;0;0;-91.594;-6.433.824;1.142.308;19.257;0;-133.642;-38.187;-62.868;415.706;114.586;-103.220;211.632;1.353.940;-3.136;1.350.804;-434.855;0;915.949;0
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2010;1.939.494;682.706;983.417;46.056;0;21.440;3.673.113;-1.349.359;-40.893;-517.334;-29.842;-525.086;-2.462.515;1.210.598;389.024;150.923;-453.337;-840.971;-129.704;90.327;289.832;-274.566;-778.472;432.126;-19.157;412.969;-97.820;-71.647;243.502;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2010;2.115.894;688.611;974.033;-454.553;61.680;3.799;3.389.463;-1.444.006;-131.695;-468.396;0;-404.856;-2.448.954;940.509;116.536;153.571;-164.298;63.937;-102.383;0;65.182;-565.584;-433.039;507.470;-20.198;487.272;-147.605;-80.538;259.129;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2010;741.811;1.189.615;590.604;-137.718;152.571;2.918;2.539.800;-842.882;-209.636;-996.201;0;-39.424;-2.088.143;451.657;104.501;25.958;-189.574;-132.232;-14.862;47.174;118.352;-91.345;-132.028;319.629;-263;319.366;-114.340;0;205.026;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2010;794.735;9.746;476.985;1.636;56.220;1.428;1.340.751;-268.710;-75.509;-7.017;0;-304.419;-655.655;685.095;319.330;30.388;-248.496;-421.404;-89.612;3.176;92.920;-135.983;-449.681;235.415;-14.267;221.148;-90.922;-6.725;123.501;0
