Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2016;690.511.571;344.025.330;82.185.110;107.903.285;28.101.386;127.560.198;736.262;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2016;656.652.912;312.767.955;79.323.234;76.832.689;29.202.497;115.156.204;380.878;42.989.455
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2016;552.920.628;202.337.254;19.874.869;40.001.291;10.081.920;43.298.821;2.497.760;234.828.712
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2016;446.495.583;200.147.909;28.715.147;48.518.297;16.178.182;54.852.469;907.146;97.176.435
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2016;362.389.719;222.899.970;35.061.316;44.296.099;6.316.570;25.616.517;28.199.247;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2016;244.716.840;145.304.364;14.013.787;22.015.423;5.608.717;33.042.047;326.649;24.405.852
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2016;46.657.661;23.601.828;3.642.787;7.322.672;1.608.087;8.827.713;24.353;1.630.222
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2016;46.598.416;25.390.485;2.657.076;3.128.054;870.384;5.991.558;8.080;8.552.781
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2016;44.414.080;3.968.130;2.831.633;299.724;32.953;235.421;27.495;37.018.724
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2016;28.914.399;3.348.870;467.673;968.247;353.547;23.578.342;21.152;176.568
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2016;20.545.842;14.775.900;804.018;1.104.770;458.230;3.309.109;93.815;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2016;18.443.812;8.518.207;2.276.532;3.647.510;1.340.636;2.651.678;9.248;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2016;15.292.670;6.916.768;1.401.074;2.826.876;975.786;3.167.945;4.220;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2016;14.975.066;5.658.485;6.307.673;1.194.909;93.007;1.720.991;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2016;14.777.412;57.420;3.422.717;4.727;56.158;11.233.804;2.586;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2016;13.010.381;768.082;320.737;18.067;5.059;11.897.343;1.093;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2016;12.992.825;2.254.934;647.717;9.843.333;126.817;117.757;2.268;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;09/2016;12.958.285;6.654.856;1.282.830;2.414.190;637.765;1.841.242;4.440;122.962
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2016;11.645.796;6.518.124;779.016;1.662.679;458.558;2.201.797;25.623;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2016;11.217.962;5.551.008;776.094;651.371;124.112;1.940.571;202;2.174.603
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2016;10.974.673;6.507.696;915.310;167.021;667.278;2.708.467;8.901;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2016;9.503.794;465.127;8.890.716;88.293;31.320;25.076;3.259;4
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2016;8.898.505;3.782.946;962.378;1.822.709;702.788;1.624.102;3.582;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2016;8.589.333;4.598.862;1.008.990;1.295.075;649.650;1.028.667;8.089;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2016;8.541.097;4.853.111;611.117;1.150.097;223.701;1.702.844;228;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;09/2016;7.172.161;2.909.714;140.300;115.312;0;271.157;0;3.735.678
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2016;7.071.757;4.335.674;872.454;547.187;160.707;1.152.419;3.317;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2016;7.014.400;5.362.701;322.321;817.638;102.494;394.960;14.285;0
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;09/2016;6.704.787;2.389.263;516.013;962.207;111.852;1.064.893;961;1.659.598
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;09/2016;6.524.982;1.523.126;1.741.303;509.446;228.558;2.521.778;770;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;09/2016;6.316.126;1.010.336;2.927.847;546.530;323.824;1.501.882;5.708;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;09/2016;5.810.207;5.588.230;64.531;114.937;5.388;37.121;0;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2016;5.046.681;3.405.492;435.065;561.282;156.363;463.746;24.734;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2016;4.572.107;3.614.804;229.871;353.629;55.471;305.284;13.048;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2016;4.483.258;1.290.286;934.295;336.278;126.559;1.794.444;1.398;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;09/2016;4.478.045;2.765.058;859.829;426.717;99.284;326.380;776;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;09/2016;3.975.974;1.654.615;493.961;464.092;63.264;323.246;64.514;912.284
PARANÁ BANCO;30.881;b1;C;2;;199;CURITIBA;PR;09/2016;3.869.962;902.007;134.895;102.179;25.824;2.699.618;5.438;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;09/2016;3.856.432;1.546.578;549.706;778.709;329.317;650.762;1.361;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;09/2016;3.789.368;3.673.010;9.483;36.472;65.835;2.296;2.271;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;09/2016;3.730.690;1.393.240;414.956;458.948;210.016;1.253.530;0;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2016;3.716.447;2.064.550;377.915;458.882;20.986;448.296;4;345.814
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;09/2016;3.647.646;1.319.238;938.540;492.965;808.133;88.677;94;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;09/2016;3.646.321;11.241;6.786;17.319;3.604.775;5.528;671;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;09/2016;3.591.290;2.792.160;0;368.124;0;431.006;0;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2016;3.473.211;1.520.419;444.639;607.999;203.079;697.074;1;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;09/2016;3.349.359;1.135.779;548.790;973.209;413.155;276.493;1.933;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;09/2016;3.317.228;2.455.499;0;45.367;0;202.515;0;613.847
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;09/2016;3.282.320;115.411;10.732;148;554;3.155.475;0;0
BANCO CARGILL S.A.;3.609.817;b1;I;3;;8;SAO PAULO;SP;09/2016;2.960.642;1.176.621;838.944;667.167;48.419;229.491;0;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;09/2016;2.761.703;1.163.092;244.221;305.203;269.553;779.635;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;09/2016;2.663.408;938.355;266.796;843.849;253.500;222.635;138.272;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;09/2016;2.538.707;2.091.432;40.822;130.432;55.142;220.878;0;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;;9;BEBEDOURO;SP;09/2016;2.466.586;2.422.555;40.246;523;1.208;1.064;990;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;;8;SAO PAULO;SP;09/2016;2.325.477;968.737;0;240.744;72.455;36.097;0;1.007.444
INTERMEDIUM;51.884;b1;C;2;;199;BELO HORIZONTE;MG;09/2016;2.279.266;1.479.153;257.728;270.067;25.510;238.789;8.019;0
OMNI;50.940;n1;C;2;;197;SAO PAULO;SP;09/2016;2.162.516;1.050.299;177.741;286.864;100.844;533.884;12.885;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;;8;ARACAJU;SE;09/2016;2.115.931;5.863;1.360;2.100.916;465;854;6.472;0
SOFISA;31.873;b1;C;2;;199;SAO PAULO;SP;09/2016;2.110.722;1.510.047;119.835;132.089;113.457;235.288;5;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;;14;SAO PAULO;SP;09/2016;2.106.514;1.493.619;123.641;36.565;3.987;396.024;52.678;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;09/2016;2.102.273;1.036.288;149.795;470.816;165.346;277.570;2.458;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;;9;BLUMENAU;SC;09/2016;2.074.608;12.008;2.312;6.095;1.963;2.051.084;1.146;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;09/2016;1.940.630;1.788.292;10.740;32.254;779;108.475;90;0
