Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2023;474.170.977;485.310;12.855.612;26.574.456;32.609.733;6.115.788;1.794.769;83.415;80.519.083;108.683;2.762.411;6.742.574;9.267.301;1.624.064;9.879;0;20.514.912;980.052;12.157.221;98.427;4.031;0;0;0;13.239.730;115.378;26.015.085;5.529.099;485.883;110.102;25.526;0;32.281.073;16.678;7.453.368;9.966.479;5.894.107;4.893.751;3.955.567;0;32.179.950;1.195.660;5.997.919;7.044.250;8.058.720;1.081.060;183.198;65.087;23.625.895;23.734;1.662.527;3.707.370;5.956.633;2.171.883;2.038.283;12.989;15.573.418;3.220;710.740;2.328.594;2.954.457;443.152;122.862;0;6.563.025;530;1.290.499;3.097.809;2.452.996;85.473;108.656;0;7.035.963;242.637.928
BANCO VOLKSWAGEN S.A.;59.109.165;b2;C;3;S3;8;SAO PAULO;SP;12/2023;23.387.523;1.700;44.788;77.026;49.738;9.233;0;0;182.484;104.689;2.031.853;5.283.187;8.650.980;2.219.586;13.475;0;18.303.771;0;0;0;0;0;0;0;0;2.702;2.270.679;1.813.916;4.454;0;0;0;4.091.752;0;0;0;0;0;0;0;0;0;51.678;0;0;0;0;0;51.678;836;68.856;173.707;373.074;139.413;1.952;0;757.839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO BERNARDO DO CAMPO;SP;12/2023;18.775.986;4.807;41.541;93.375;74.465;0;0;0;214.188;58.864;873.220;2.242.015;4.102.787;1.450.815;4.393;0;8.732.095;0;0;0;0;0;0;0;0;3.472;1.792.516;1.669.905;0;0;0;0;3.465.893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.587;548.248;1.598.814;2.959.106;1.172.383;79.672;0;6.363.810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;C;1;S3;5;PORTO ALEGRE;RS;12/2023;14.550.915;1.885;57.987;148.325;218.118;71.710;84.191;0;582.216;9.094;58.581;162.470;420.353;319.824;390.011;14.532;1.374.864;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3.765;35.366;21.135;14.454;14.340;0;89.066;10.809;352.349;908.362;2.208.270;1.442.670;2.513.471;193.638;7.629.569;3.519;224.036;628.080;1.564.448;1.113.953;1.341.163;0;4.875.199;0;0;0;0;0;0;0;0;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2023;14.178.173;37.171;413.293;853.190;867.189;85.137;11;0;2.255.992;29.359;285.286;720.316;970.349;171.150;4.065;0;2.180.527;1;10.610;10.286;0;0;0;0;20.897;12.348;1.139.538;747.493;166.745;22.222;0;0;2.088.346;0;789.820;1.452.887;928.320;125.949;497;0;3.297.473;67.922;277.971;782.582;581.274;267.634;46.329;536.844;2.560.555;0;112.055;273.078;250.588;43.784;1.008;0;680.513;0;93.802;199.897;109.877;8.030;4.326;0;415.932;0;0;0;0;0;0;0;0;677.940
BANCO VOLVO BRASIL S.A.;58.017.179;b2;C;3;S3;8;CURITIBA;PR;12/2023;14.011.442;0;2.008;5.478;10.736;14.798;5.554;0;38.574;23.902;908.068;2.272.017;3.640.359;892.113;3.044;0;7.739.503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;268;9.631;20.499;9.170;0;0;0;39.568;8.183;462.492;1.402.141;3.119.995;1.180.604;20.382;0;6.193.797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2023;13.323.711;0;0;0;0;0;0;0;0;82.298;543.360;1.347.589;2.257.659;540.883;462;0;4.772.252;0;0;0;0;0;0;0;0;9.734;4.368.719;2.104.345;24;0;0;0;6.482.823;0;0;0;0;0;0;0;0;1.555;13.603;120.231;264.510;104.293;3.939;0;508.129;5.139;79.115;218.794;461.449;225.595;4.273;0;994.365;0;4.949;114.372;197.351;156.254;93.216;0;566.142;0;0;0;0;0;0;0;0;0
PAGBANK-PAGSEGURO;52.182;b1;C;2;S4;199;SAO PAULO;SP;12/2023;12.996.684;0;13.054;0;0;0;0;0;13.054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;525.394;12.458.181;0;0;0;0;12.983.630;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASTER;50.201;b1;C;2;S3;199;RIO DE JANEIRO;RJ;12/2023;12.703.829;87;77.885;209.627;2.167.508;1.909.825;228.496;0;4.593.428;0;0;0;0;0;0;0;0;8.826;261.285;193.388;0;0;0;0;463.499;0;0;0;0;0;0;7.627.132;7.627.132;0;0;0;0;0;0;0;0;625;1.728;3.790;9.264;0;0;0;15.406;4;207;452;636;269;35;0;1.603;0;0;0;0;0;0;0;0;157;205;522;1.069;509;300;0;2.761;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;12/2023;12.639.385;13.322;1.109.613;1.132.139;1.727.038;184.591;6.930;0;4.173.634;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.753;18.992;0;0;0;0;43.746;0;338.365;1.283.593;725.207;59.528;0;0;2.406.694;5.574;702.278;1.440.706;1.619.254;220.682;63.840;0;4.052.334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.962.978
SCANIA BANCO S.A.;11.417.016;b2;C;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2023;12.220.696;799;8.009;11.860;10.466;201;0;0;31.335;41.513;840.371;2.300.201;4.441.972;1.588.278;5.523;0;9.217.859;0;0;0;0;0;0;0;0;1.041;47.617;0;0;0;0;0;48.658;0;0;0;0;0;0;0;0;0;231.497;0;0;0;0;0;231.497;4.343;225.049;652.326;1.309.498;495.109;5.021;0;2.691.348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
