Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;03/2013;13.088.701;6.638.435;12.002.464;9.472.404;1.086.237;30.746;1.627.341;15,97%;0,89%;16;0
BANESTES;30159;b1;;C;1;VITORIA;ES;03/2013;12.927.010;3.854.790;12.174.600;11.311.428;752.410;30.567;749.380;13,28%;26,31%;136;27
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;03/2013;12.851.531;7.331.548;10.404.338;9.134.659;2.447.192;65.714;2.447.192;19,61%;7,70%;35;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;03/2013;10.700.934;2.145.549;8.692.651;3.295.126;2.008.283;-16.100;2.008.283;16,08%;6,50%;123;4
FIBRA;49951;b1;;C;2;SAO PAULO;SP;03/2013;10.318.894;7.516.276;9.299.587;8.359.123;1.019.308;-23.305;1.218.334;13,44%;13,14%;19;0
PINE;50304;b1;;C;2;SAO PAULO;SP;03/2013;10.239.267;4.992.119;8.978.797;8.212.545;1.260.469;45.555;1.453.710;17,11%;10,85%;14;0
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;03/2013;10.206.714;415.626;8.882.273;3.007.169;1.324.441;8.561;1.369.455;17,20%;3,54%;2;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;03/2013;10.125.125;9.447.097;8.857.884;7.944.349;1.267.241;14.907;1.412.494;13,47%;0,27%;2;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;03/2013;9.709.200;8.209.177;8.364.420;8.048.110;1.344.780;9.101;1.344.780;15,12%;1,79%;3;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;03/2013;9.557.630;6.780.668;8.179.765;3.758.202;1.377.865;42.676;1.270.093;13,41%;14,54%;1;0
BRB;31976;b1;;C;1;BRASILIA;DF;03/2013;9.419.147;6.640.402;8.414.493;7.211.542;1.004.655;59.056;1.193.248;14,30%;14,00%;107;5
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;03/2013;9.259.307;0;7.612.111;5.429.582;1.647.197;24.986;1.641.877;17,96%;0,77%;2;0
BES;51482;b2;;C;3;SAO PAULO;SP;03/2013;7.902.224;1.663.386;7.257.747;6.655.475;644.478;3.671;662.461;14,55%;22,25%;6;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;03/2013;7.666.392;251.623;6.877.386;2.383.873;789.006;14;789.006;19,30%;7,50%;1;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;03/2013;7.199.294;928.637;6.093.659;3.322.397;1.105.635;8.745;1.105.488;57,98%;2,82%;2;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;03/2013;6.843.228;0;6.082.150;1.441.602;761.079;-69.233;719.259;26,17%;4,14%;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;03/2013;5.816.186;5.223.358;5.235.032;4.815.436;581.153;13.634;585.125;12,45%;0,72%;2;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;03/2013;5.734.010;0;1.302.502;1;4.431.508;59.112;4.431.508;42,94%;0,00%;1;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;03/2013;5.506.058;5.017.131;5.002.557;4.821.346;503.500;9.581;499.159;14,21%;1,07%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;03/2013;5.453.160;178.857;5.146.671;1.043;306.489;1;158.592;21,11%;3,29%;0;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;03/2013;4.860.887;4.286.399;3.843.162;3.526.635;1.017.725;26.831;1.014.898;21,43%;0,46%;1;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;03/2013;4.622.012;1.093.603;704.816;593.286;3.917.196;8.767;3.917.196;252,97%;0,69%;53;0
