Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2014;71.035.684;18.502.534;89.538.218;37.050.267;126.588.485;734.716.021;8.330.427;26.883;3.188.186;0;11.545.497;39.712.004;785.973.521;NA;9,04%;11,39%;16,11%;NA%;22,18%
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2014;96.211.766;20.000;96.231.766;33.558.690;129.790.456;706.081.487;13.402.760;952.355;10.347.436;473.527;25.176.078;36.817.027;768.074.592;NA;12,53%;12,53%;16,90%;NA%;49,11%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2014;66.062.391;0;66.062.391;33.031.195;99.093.586;581.759.741;13.789.499;0;11.056.906;0;24.846.405;11.790.262;618.396.408;NA;10,68%;10,68%;16,02%;NA%;45,94%
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2014;77.198.803;0;77.198.803;21.405.720;98.604.523;544.797.829;6.399.249;331.257;13.959.126;746.024;21.435.655;30.979.716;597.213.200;NA;12,93%;12,93%;16,51%;NA%;47,25%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2014;59.237.193;0;59.237.193;20.165.020;79.402.212;470.702.401;1.000.888;0;1.985.813;0;2.986.701;20.267.239;493.956.341;NA;11,99%;11,99%;16,07%;NA%;14,43%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2014;55.219.158;3.363.697;58.582.855;4.970.999;63.553.854;323.024.144;2.539.353;0;22.920.400;65.682;25.525.435;15.221.781;363.771.359;NA;15,18%;16,10%;17,47%;NA%;29,39%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2014;13.239.075;3.497.836;16.736.911;4.545.445;21.282.355;69.670.635;2.933.798;19.090.010;20.948.984;3.385.702;46.358.494;5.862.094;121.891.223;NA;10,86%;13,73%;17,46%;NA%;39,27%
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2014;8.603.804;0;8.603.804;5.447.608;14.051.412;90.529.844;238.535;0;5.900.806;434.256;6.573.597;10.131.588;107.235.029;NA;8,02%;8,02%;13,10%;NA%;24,98%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2014;8.722.874;794.664;9.517.538;2.092.237;11.609.774;76.445.093;1.239.320;0;151.473;191;1.390.984;5.124.609;82.960.685;NA;10,51%;11,47%;13,99%;NA%;21,83%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2014;7.159.444;0;7.159.444;4.116.805;11.276.250;67.931.827;859.116;9.855;2.269.927;116.145;3.255.044;4.187.983;75.374.854;NA;9,50%;9,50%;14,96%;NA%;4,01%
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2014;6.544.522;0;6.544.522;0;6.544.522;33.974.103;533.101;29.274;5.805.079;69.351;6.436.805;4.242.451;44.653.358;NA;14,66%;14,66%;14,66%;NA%;12,23%
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2014;5.641.052;0;5.641.052;1.421.260;7.062.312;34.146.039;656.212;0;110;16.040;672.362;4.914.218;39.732.619;NA;14,20%;14,20%;17,77%;NA%;10,17%
