Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2013;324.917.380;1.169.073;11.676.394;23.854.677;26.084.294;7.287.282;1.548.676;1;71.620.396;32.314;1.821.627;2.367.183;6.889.607;7.970.421;19.432.878;3.029.572;41.543.602;114.648;2.576.808;1.053.669;647.935;0;0;0;4.393.060;568.012;12.119.558;3.840.873;1.193.066;11.428;0;3;17.732.938;67.658;4.943.272;8.223.631;363.911;60.108;824;0;13.659.405;347.739;1.984.902;1.125.051;1.685.563;939.890;2.273.234;53.691;8.410.071;348.969;6.099.729;14.718.743;28.616.542;11.089.653;12.159.231;3.962.619;76.995.487;53.252;4.415.961;17.338.184;13.250.102;1.975.845;4.907.782;46.443;41.987.571;421;74.184;717.467;1.734.384;293.384;13.528;67;2.833.436;45.741.413
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2013;12.035.486;25.542;1.132.332;1.057.496;1.143.251;169.574;0;0;3.528.195;0;0;0;0;0;0;0;0;0;11.870;50.747;0;0;0;0;62.617;669;393.413;285.822;291.664;119.749;97.974;242;1.189.533;0;291.432;867.162;1.209.820;295.042;6.667;0;2.670.122;0;8.929;0;0;0;0;0;8.929;192;1.851;4.925;11.783;23.948;206.496;583.089;832.285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.743.805
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2013;10.068.307;27.859;1.449.979;1.030.215;296.661;21.392;0;0;2.826.107;901;35.873;81.776;61.844;445;0;0;180.839;13.404;367.886;198.837;0;0;0;0;580.127;1.993;1.245.425;497.772;55.110;145;0;0;1.800.445;91.749;701.983;1.645.159;697.107;171.661;4.661;0;3.312.320;7.269;167.705;5.640;1.907;71;0;0;182.592;740;16.926;84.259;137.210;8.274;415;0;247.822;684;342.985;556.501;37.886;0;0;0;938.055;0;0;0;0;0;0;0;0;0
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;09/2013;9.780.653;128.082;1.831.596;1.990.981;1.492.773;133.001;18.369;0;5.594.802;5.058;126.816;224.853;211.648;25.865;727;0;594.965;28.655;708.566;178.018;162;0;0;0;915.400;10;18.592;4.246;1.930;355;0;0;25.133;9.165;779.300;703.559;104.311;4.193;0;0;1.600.527;19.342;49.252;154.564;113.662;54.138;22.797;0;413.756;0;0;0;0;0;0;0;0;0;40.380;88.910;420;0;0;0;129.709;0;0;0;0;0;0;0;0;506.360
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2013;9.436.424;3.248;40.666;44.713;80.193;31.282;847;0;200.949;8.853;117.508;259.174;425.437;52.119;88;0;863.178;0;0;0;0;0;0;0;0;17.186;1.398.939;51.354;2.181;662;0;0;1.470.322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.098;738.739;1.945.947;3.007.089;1.057.264;127.838;0;6.901.975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2013;9.019.336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.133;153.666;46.554;0;0;0;0;204.353;58;206.502;45.491;2.138;0;0;0;254.189;1.716;414.414;657.741;272.422;38.811;803;0;1.385.908;55.982;856.093;1.409.233;948.078;116.421;12.121;85;3.398.012;317;160.146;371.891;769.594;288.638;161.157;0;1.751.744;0;6.509;92.115;69.432;3.073;0;0;171.129;0;0;0;0;0;0;0;0;1.854.001
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2013;8.090.072;57.657;255.753;589.006;615.966;119.839;14.496;74.033;1.726.750;19.003;73.234;192.491;183.134;98.201;230.756;1.407;798.225;140.390;77.100;249.519;936;0;0;0;467.945;5.440;36.334;2.739;7;1;0;0;44.519;0;0;0;0;0;0;0;0;113.400;26.661;133.026;130.541;95.864;131.437;81.156;712.085;9.041;377.702;687.771;615.084;585.521;1.560.600;220.040;4.055.758;63.466;37.600;28.592;15.297;12.363;126.994;478;284.790;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2013;6.827.979;8.312;112.937;16.864;1.525;0;0;0;139.637;64;2.691;6.968;11.133;1.977;0;0;22.833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34.505;47.056;0;0;0;0;81.561;0;84.719;531.661;189.930;31.183;102.236;7;939.736;20;15.779;50.303;123.276;106.588;108.649;0;404.615;0;646.107;4.279.362;294.554;16.843;2.731;0;5.239.597;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2013;6.523.360;0;59;3.690;8.221;28;0;0;11.997;4.573;5.270;16.469;31.928;25.835;21.183;0;105.257;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.580;4.858;8.733;34.743;36.753;53.719;0;143.386;5.300;147.686;521.734;1.243.303;828.449;921.389;231;3.668.092;4.377;67.181;312.738;754.884;589.072;866.376;0;2.594.628;0;0;0;0;0;0;0;0;0
FIBRA;49.951;b1;I;2;;199;SAO PAULO;SP;09/2013;5.487.876;62.534;665.928;983.382;428.546;17.152;132;0;2.157.675;5.119;20.292;40.210;40.833;1.680;0;0;108.134;1.164;63.942;16.935;0;0;0;0;82.041;2.478;105.998;34.985;0;0;0;0;143.460;4.072;152.198;233.922;489;0;0;0;390.681;24.030;143.514;263.948;33.223;4.608;1.304;0;470.627;964;15.274;25.506;30.611;3.556;0;0;75.911;85;19.757;90.726;24.260;0;0;0;134.828;0;0;0;0;0;0;0;0;1.924.520
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2013;5.436.342;7.989;46.679;147.503;38.152;14.406;20;0;254.748;6.535;17.711;40.176;45.064;4.078;0;0;113.563;0;0;0;0;0;0;0;0;2.827;818.679;2.731.451;210.496;0;0;0;3.763.453;0;0;0;0;0;0;0;0;422;116.136;0;0;0;0;0;116.558;21.098;108.746;300.983;559.465;197.642;85;0;1.188.020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
