Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2009;10.991.147;7.444.669;6.414.520;1.132.391;214.444;143.704;26.340.874;-9.656.756;-964.335;-5.708.356;0;-3.895.889;-20.225.335;6.115.539;1.961.323;813.982;-2.101.473;-2.971.767;-656.174;401.319;3.370.930;-4.181.725;-3.363.585;2.751.953;1.366.687;4.118.640;-1.503.615;-620.109;1.994.917;-2.019.074
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2009;7.757.229;3.780.696;4.545.905;647.795;463.216;147.269;17.342.110;-7.008.457;-512.068;-2.893.635;0;-2.925.474;-13.339.634;4.002.476;1.226.472;545.820;-1.515.246;-1.938.623;-430.693;973.804;700.593;-1.610.351;-2.048.223;1.954.253;-102.917;1.851.336;-120.237;0;1.731.099;-523.150
BB;49906;b1;;C;1;BRASILIA;DF;03/2009;8.503.899;478.386;5.702.072;-62.314;0;175.535;14.797.578;-7.745.764;-716.239;-340.186;-115.836;-2.653.809;-11.571.834;3.225.744;1.946.534;688.486;-3.094.073;-2.227.021;-568.697;199.229;1.551.625;-1.180.196;-2.684.114;541.631;16.015;557.645;1.323.402;-215.568;1.665.479;-447.717
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2009;6.766.877;1.931.211;3.372.486;1.182.814;0;77.852;13.331.241;-5.814.386;-429.174;-1.530.388;-498.641;-2.343.172;-10.615.761;2.715.480;1.088.360;476.048;-1.191.115;-1.660.299;-535.391;311.856;1.962.165;-2.662.088;-2.210.464;505.016;147.133;652.149;-15.030;-203.811;433.309;0
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2009;3.335.194;0;5.236.121;-378.767;1.076;813.739;9.007.364;-4.665.946;-698.035;0;0;-724.652;-6.088.632;2.918.732;1.756.117;169.815;-2.126.975;-1.112.575;-275.242;54.200;705.783;-1.663.823;-2.492.699;426.033;-29.042;396.991;118.381;-63.511;451.861;-190.109
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2009;3.679.297;0;723.289;117.606;0;0;4.520.192;-723.841;-2.503.076;0;-5.285;-341.293;-3.573.495;946.697;21.694;0;-140.548;-47.565;-66.895;38.923;270.816;-104.395;-27.969;918.728;-2.124;916.603;-480.533;-19.168;416.903;0
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2009;2.214.405;614.453;1.135.372;204.647;89.470;9.158;4.267.505;-1.808.102;-119.123;-461.584;0;-723.008;-3.111.817;1.155.688;332.170;177.644;-446.716;-844.363;-140.630;88.816;356.111;-233.084;-710.052;445.636;14.021;459.657;-97.244;-96.638;265.776;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2009;2.175.442;369.313;1.104.890;-761.908;37.726;0;2.925.462;-1.460.427;-140.754;-232.824;0;-316.681;-2.150.685;774.777;69.605;85.678;-134.386;8.524;-68.423;0;216.319;-734.748;-557.431;217.346;-25.610;191.736;-18.134;-2.723;170.879;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2009;531.677;1.174.925;860.045;-261.077;79.832;3.127;2.388.528;-928.788;-196.042;-905.116;0;-62.707;-2.092.653;295.875;71.123;19.071;-176.451;-156.539;-11.948;18.033;204.198;-107.830;-140.342;155.533;-1.900;153.633;30.389;0;184.022;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2009;812.471;10.692;465.033;183.920;72.317;1.336;1.545.769;-295.295;-56.206;-7.278;0;-561.457;-920.236;625.532;320.287;31.653;-337.510;-441.307;-96.161;48.734;218.009;-136.453;-392.747;232.785;2.554.688;2.787.474;-1.160.924;-10.565;1.615.985;0
