Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2014;62.049.999;22.226.306;84.276.305;33.766.564;118.042.870;782.472.612;10.299.558;8.203;2.226.729;0;12.534.491;36.578.814;831.585.917;NA;7,46%;10,13%;14,19%;NA%;22,55%
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2014;86.465.406;12.553;86.477.959;33.555.912;120.033.872;687.125.835;7.059.127;1.396.809;16.205.509;1.056.427;25.717.873;36.565.736;749.409.444;NA;11,54%;11,54%;16,02%;NA%;48,41%
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2014;71.892.296;0;71.892.296;22.197.834;94.090.130;548.599.472;3.819.317;409.804;11.601.622;2.173.605;18.004.347;29.852.953;596.456.772;NA;12,05%;12,05%;15,77%;NA%;46,75%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2014;73.928.742;0;73.928.742;36.964.371;110.893.113;554.631.848;10.697.611;0;17.763.982;0;28.461.593;10.846.431;593.939.873;NA;12,45%;12,45%;18,67%;NA%;36,31%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2014;34.186.596;22.294.366;56.480.962;11.722.605;68.203.567;491.997.698;335.130;0;1.631.057;0;1.966.187;20.376.041;514.339.925;NA;6,65%;10,98%;13,26%;NA%;14,41%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2014;56.013.944;2.788.489;58.802.433;5.576.936;64.379.369;311.858.775;2.396.127;0;29.481.145;504.536;32.381.809;15.520.251;359.760.834;NA;15,57%;16,34%;17,90%;NA%;26,67%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2014;12.741.745;0;12.741.745;4.545.445;17.287.190;58.254.425;1.001.294;15.105.292;23.009.651;4.594.002;43.710.239;6.315.045;108.279.709;NA;11,77%;11,77%;15,97%;NA%;49,49%
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2014;9.791.204;0;9.791.204;3.961.808;13.753.011;87.622.155;262.693;0;6.886.123;542.321;7.691.137;10.144.260;105.457.552;NA;9,28%;9,28%;13,04%;NA%;24,46%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2014;8.094.514;0;8.094.514;1.968.742;10.063.256;73.003.026;548.785;25.086;2.398.464;156.612;3.128.948;4.076.692;80.208.665;NA;10,09%;10,09%;12,55%;NA%;22,50%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2014;7.256.196;0;7.256.196;3.796.249;11.052.446;66.708.807;232.742;8.036;1.903.736;103.364;2.247.878;4.161.967;73.118.652;NA;9,92%;9,92%;15,12%;NA%;3,44%
