Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2021;124.964.336;16.710.028;141.674.364;14.887.030;156.561.395;941.020.567;4.587.240;1.190.192;12.748.050;7.055.156;25.580.638;82.026.127;1.048.627.332;1.883.387.854;11,92%;13,51%;14,93%;7,52%;17,95%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2021;115.591.995;9.420.217;125.012.212;16.095.702;141.107.914;799.070.311;9.866.480;31.557;7.858.233;904.231;18.660.501;66.907.975;884.638.786;1.493.789.650;13,07%;14,13%;15,95%;8,37%;29,62%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2021;112.036.523;26.906.825;138.943.348;24.209.844;163.153.192;705.828.230;12.729.474;806.418;7.349.045;0;20.884.937;103.777.787;830.490.954;1.870.347.726;13,49%;16,73%;19,65%;7,43%;14,28%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2021;73.061.863;6.318.230;79.380.093;6.308.069;85.688.163;508.910.173;6.587.466;1.104.769;9.430.634;1.709.887;18.832.756;54.851.805;582.594.733;982.446.405;12,54%;13,63%;14,71%;8,08%;15,22%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2021;88.901.176;1.713.241;90.614.417;26.165.775;116.780.192;487.471.534;548.239;0;15.715.352;112.720;16.376.310;77.302.337;581.150.182;1.482.025.068;15,30%;15,59%;20,09%;6,11%;13,32%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2021;143.307.749;0;143.307.749;42.143.187;185.450.936;401.727.627;28.508.583;0;390.072;0;28.898.654;50.877.376;481.503.657;829.810.589;29,76%;29,76%;38,51%;17,27%;5,82%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2021;30.916.033;383.643;31.299.676;3.846.649;35.146.325;168.016.232;1.962.570;6.258.980;12.719.787;4.357.524;25.298.860;16.513.323;209.828.415;440.749.776;14,73%;14,92%;16,75%;7,10%;32,69%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2021;14.309.840;2.591.318;16.901.158;3.176.808;20.077.966;124.338.175;861.860;0;7.396.939;1.129.147;9.387.946;6.040.472;139.766.593;245.232.350;10,24%;12,09%;14,37%;6,89%;33,45%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2021;9.721.820;1.507.699;11.229.519;423.504;11.653.023;66.693.979;549.531;0;2.573.507;41.586;3.164.624;6.578.968;76.437.572;146.495.246;12,72%;14,69%;15,25%;7,67%;17,89%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2021;6.737.763;795.889;7.533.652;1.826.084;9.359.736;56.934.727;83.168;641;4.553;0;88.361;11.822.655;68.845.743;108.366.850;9,79%;10,94%;13,60%;6,95%;2,68%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2021;10.376.755;0;10.376.755;0;10.376.755;42.531.658;926.598;0;8.769.071;4.018;9.699.687;10.972.837;63.204.182;103.366.427;16,42%;16,42%;16,42%;10,04%;2,30%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2021;6.361.036;0;6.361.036;0;6.361.036;14.798.120;862.039;0;24.504.627;2.333.004;27.699.670;3.741.478;46.239.267;72.638.924;13,76%;13,76%;13,76%;8,76%;1,26%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2021;6.697.102;0;6.697.102;0;6.697.102;32.192.914;3.286.127;0;6.993;38.834;3.331.954;9.826.600;45.351.468;99.938.178;14,77%;14,77%;14,77%;6,70%;10,89%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2021;5.140.698;459.595;5.600.293;0;5.600.293;32.920.940;571.925;0;3.920.573;77.376;4.569.874;2.802.574;40.293.388;54.874.601;12,76%;13,90%;13,90%;10,21%;18,43%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2021;4.249.663;0;4.249.663;814.003;5.063.666;28.795.318;341.941;1.418;4.738.948;14.004;5.096.311;4.891.457;38.783.087;46.289.506;10,96%;10,96%;13,06%;9,18%;1,80%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2021;4.472.555;0;4.472.555;1.505.571;5.978.126;31.611.445;232.677;201.355;2.046.179;0;2.480.211;1.895.722;35.987.378;52.351.963;12,43%;12,43%;16,61%;8,54%;0,32%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2021;4.661.491;0;4.661.491;0;4.661.491;23.503.053;1.062.330;0;6.672.459;665.254;8.400.043;2.730.893;34.633.989;52.204.407;13,46%;13,46%;13,46%;8,93%;4,30%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2021;4.362.086;488.082;4.850.168;631.703;5.481.870;30.550.477;163.088;729.313;1.077.575;4.538;1.974.513;1.983.809;34.508.798;58.199.788;12,64%;14,05%;15,89%;8,33%;0,50%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2021;3.247.279;0;3.247.279;0;3.247.279;23.029.293;635;0;616;0;1.250;3.937.559;26.968.103;36.977.799;12,04%;12,04%;12,04%;8,78%;4,12%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2021;8.962.141;0;8.962.141;0;8.962.141;845.421;0;0;210;21.456.847;21.457.057;209.195;22.511.673;13.189.469;39,81%;39,81%;39,81%;67,95%;3,80%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2021;2.542.779;0;2.542.779;667.625;3.210.404;19.975.033;0;0;0;0;0;1.241.799;21.216.832;25.907.276;11,98%;11,98%;15,13%;9,81%;0,24%
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2021;2.898.900;0;2.898.900;0;2.898.900;10.234.152;51.562;21.886;1.854.520;19.229;1.947.196;7.624.135;19.805.483;80.152.185;14,64%;14,64%;14,64%;3,62%;4,29%
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;06/2021;2.583.636;0;2.583.636;0;2.583.636;16.224.467;16.937;0;1.506.365;103.294;1.626.595;1.284.596;19.135.658;23.391.590;13,50%;13,50%;13,50%;11,05%;14,50%
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2021;2.802.041;107.497;2.909.538;19.625;2.929.164;16.635.297;3.147;0;144.462;0;147.609;953.537;17.736.443;29.698.902;15,80%;16,40%;16,51%;9,80%;49,48%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2021;3.483.714;0;3.483.714;0;3.483.714;6.197.178;766.470;0;6.725.996;0;7.492.466;2.665.323;16.354.967;38.649.673;21,30%;21,30%;21,30%;9,01%;1,12%
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;06/2021;4.186.769;0;4.186.769;0;4.186.769;8.550.659;405.801;1.498.491;1.749.010;1.294.071;4.947.373;2.708.550;16.206.581;29.133.745;25,83%;25,83%;25,83%;14,37%;1,31%
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;06/2021;3.214.783;0;3.214.783;0;3.214.783;14.211.815;101.901;0;0;11.309;113.209;1.197.025;15.522.049;17.510.633;20,71%;20,71%;20,71%;18,36%;1,25%
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2021;1.969.439;93.573;2.063.012;207.067;2.270.079;14.479.943;10.021;1.080;0;0;11.102;956.177;15.447.222;28.990.895;12,75%;13,36%;14,70%;7,12%;7,11%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2021;2.108.180;0;2.108.180;0;2.108.180;12.317.601;43.579;0;69.726;0;113.305;2.982.229;15.413.136;73.999.557;13,68%;13,68%;13,68%;2,85%;12,44%
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;06/2021;2.118.108;0;2.118.108;0;2.118.108;13.741.872;0;0;0;0;0;1.108.489;14.850.362;14.338.925;14,26%;14,26%;14,26%;14,77%;0,54%
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2021;2.682.250;0;2.682.250;0;2.682.250;11.657.733;6.216;103;747.103;112.871;866.292;1.140.877;13.664.902;21.435.042;19,63%;19,63%;19,63%;12,51%;6,31%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2021;1.542.699;224.709;1.767.408;0;1.767.408;11.270.330;17.830;0;32.363;0;50.193;2.133.385;13.453.908;74.418.102;11,47%;13,14%;13,14%;2,37%;5,57%
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;06/2021;1.053.754;350.154;1.403.908;406.866;1.810.774;11.144.307;243.849;0;35.149;0;278.998;1.438.738;12.862.043;16.403.334;8,19%;10,92%;14,08%;8,56%;1,08%
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2021;1.248.136;0;1.248.136;0;1.248.136;10.869.214;28.424;0;108.246;81;136.751;1.671.707;12.677.672;21.067.360;9,85%;9,85%;9,85%;5,92%;11,81%
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;06/2021;1.264.454;0;1.264.454;90.022;1.354.476;11.483.822;24.996;0;193.707;0;218.703;611.846;12.314.371;NA;10,27%;10,27%;11,00%;NA%;0,08%
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;06/2021;2.235.786;0;2.235.786;0;2.235.786;10.661.028;7.567;0;0;0;7.567;1.057.692;11.726.287;14.746.662;19,07%;19,07%;19,07%;15,16%;2,89%
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;06/2021;1.560.265;0;1.560.265;0;1.560.265;10.215.080;0;0;0;0;0;753.043;10.968.123;12.596.098;14,23%;14,23%;14,23%;12,39%;0,29%
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;06/2021;2.347.107;0;2.347.107;0;2.347.107;8.812.954;109.038;0;1.248.311;0;1.357.348;479.046;10.649.348;53.651.349;22,04%;22,04%;22,04%;4,37%;0,62%
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;06/2021;1.651.192;0;1.651.192;0;1.651.192;8.887.599;21.421;0;241.457;20.664;283.542;1.474.565;10.645.706;32.974.765;15,51%;15,51%;15,51%;5,01%;11,52%
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;06/2021;2.214.378;0;2.214.378;0;2.214.378;5.491.153;154.849;1.206;2.380.864;220.884;2.757.803;1.518.505;9.767.461;21.663.989;22,67%;22,67%;22,67%;10,22%;0,57%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;06/2021;5.948.586;0;5.948.586;0;5.948.586;3.770.686;1.822;558;8.116;496;10.991;5.888.674;9.670.352;6.575.316;61,51%;61,51%;61,51%;90,47%;0,35%
BANCO C6 - PRUDENCIAL;1000084844;b1;S4;C;2;SAO PAULO;SP;06/2021;707.468;0;707.468;120.635;828.103;8.055.297;6.205;1.222;15.920;0;23.347;354.473;8.433.118;15.721.655;8,39%;8,39%;9,82%;4,50%;31,62%
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;06/2021;1.479.229;0;1.479.229;0;1.479.229;5.808.527;16.846;2.316;2.020.831;0;2.039.993;570.895;8.419.415;12.142.448;17,57%;17,57%;17,57%;12,18%;0,86%
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;06/2021;1.214.068;0;1.214.068;0;1.214.068;4.134.551;84.423;0;3.682.230;0;3.766.653;385.630;8.286.834;10.229.066;14,65%;14,65%;14,65%;11,87%;0,76%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;06/2021;1.854.322;0;1.854.322;0;1.854.322;6.782.728;0;0;0;0;0;1.334.856;8.117.584;10.722.735;22,84%;22,84%;22,84%;17,29%;2,23%
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;06/2021;777.605;202.444;980.049;0;980.049;6.341.780;203.964;0;77.211;0;281.175;819.051;7.442.006;13.892.771;10,45%;13,17%;13,17%;7,05%;1,13%
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;06/2021;2.704.265;0;2.704.265;0;2.704.265;6.710.240;0;0;0;0;0;645.789;7.356.029;10.278.102;36,76%;36,76%;36,76%;26,31%;8,16%
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;06/2021;1.658.959;0;1.658.959;0;1.658.959;6.785.398;3.625;0;0;0;3.625;507.973;7.296.996;8.619.522;22,73%;22,73%;22,73%;19,25%;0,25%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;06/2021;1.448.300;0;1.448.300;0;1.448.300;6.423.381;39.808;0;4.825;1.237;45.871;694.531;7.163.782;12.527.843;20,22%;20,22%;20,22%;11,56%;3,96%
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;06/2021;1.877.908;0;1.877.908;0;1.877.908;6.215.040;261.854;0;141.580;0;403.434;371.647;6.990.121;10.885.426;26,87%;26,87%;26,87%;17,25%;0,20%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;06/2021;1.187.399;0;1.187.399;0;1.187.399;6.631.111;29.940;0;0;0;29.940;323.985;6.985.036;7.867.245;17,00%;17,00%;17,00%;15,09%;1,83%
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;06/2021;835.983;47.361;883.344;236.033;1.119.377;5.925.333;6.268;0;667;0;6.935;880.244;6.812.512;11.756.211;12,27%;12,97%;16,43%;7,51%;29,28%
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;06/2021;1.266.285;0;1.266.285;0;1.266.285;6.148.968;0;0;0;0;0;627.794;6.776.761;7.138.143;18,69%;18,69%;18,69%;17,74%;1,67%
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;06/2021;625.400;0;625.400;107.447;732.847;6.177.202;15.512;2.338;381.925;750;400.525;197.173;6.774.899;14.993.155;9,23%;9,23%;10,82%;4,17%;19,83%
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;06/2021;700.126;0;700.126;115.051;815.177;6.014.639;4.588;0;285.572;0;290.161;432.603;6.737.402;10.921.112;10,39%;10,39%;12,10%;6,41%;1,99%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;06/2021;1.864.351;0;1.864.351;0;1.864.351;5.297.268;0;0;0;0;0;844.989;6.142.257;9.353.566;30,35%;30,35%;30,35%;19,93%;5,58%
