Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2020;769.164.459;198.793.694;147.399.570;24.245.789;26.215.687;7.580.970;4.156.708;4.013.131;5.206.744;12.466.282;339.085.884
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2020;745.628.888;396.737.425;110.704.125;94.488.151;82.506.915;27.069.559;5.672.881;9.349.840;6.403.447;12.696.547;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2020;656.155.226;272.351.278;57.831.242;147.991.623;86.704.183;13.974.335;11.094.939;3.183.043;2.637.643;25.866.839;34.520.100
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2020;532.796.700;141.265.762;97.532.598;106.623.622;53.507.940;17.929.989;6.837.783;3.712.026;4.011.437;19.122.176;82.253.369
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2020;398.007.801;135.147.410;120.904.331;34.085.247;23.880.941;11.227.289;4.598.359;3.960.310;3.312.123;9.078.741;51.813.049
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2020;277.412.272;41.094.252;97.655.986;79.403.591;25.619.407;15.310.349;7.018.808;3.577.130;0;7.732.749;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2020;84.700.100;42.443.793;5.047.834;22.613.428;2.032.767;411.785;295.687;1.073.855;194.216;1.194.142;9.392.594
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2020;56.178.109;2.507.375;24.535.734;9.997.380;9.885.903;1.444.623;2.048.612;349.948;1.934.055;2.155.032;1.319.448
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2020;46.220.072;8.986.230;9.315.311;7.114.312;605.789;1.147.508;475.955;266.694;925.175;354.795;17.028.304
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2020;36.054.730;4.406.753;17.402.594;8.513.306;1.557.061;973.869;478.129;337.886;310.567;1.961.783;112.782
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2020;28.195.740;4.779.997;4.277.178;14.135.475;1.627.724;1.810.359;581.010;515.617;224.327;244.055;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2020;28.033.910;3.021.956;8.072.744;12.827.895;2.117.018;671.267;172.095;117.139;38.094;423.136;572.565
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2020;25.300.163;0;21.710.564;637.725;568.262;360.601;223.248;176.016;207.807;1.415.939;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2020;20.466.053;6.834.976;9.145.308;3.413.261;375.507;323.204;14;89.738;0;284.046;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2020;20.346.566;9.188.127;8.684.001;1.600.205;179.157;72.800;43.338;63.862;70.481;444.594;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2020;19.231.244;2.213.612;6.019.115;5.922.562;1.905.464;417.096;126.174;54.331;97.598;200.570;2.274.722
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2020;17.671.000;2.771.008;10.037.217;2.297.838;1.427.882;374.793;128.691;73.795;40.184;519.592;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2020;13.855.864;8.083.461;3.048.666;1.223.986;883.214;193.759;89.560;57.367;44.066;231.784;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2020;13.698.986;12.029.562;1.652.754;14.287;240;69;68;56;65;1.885;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2020;13.444.815;6.229.174;5.343.670;970.391;318.989;233.536;28.089;22.573;71.220;227.171;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2020;12.630.619;659.908;7.246.049;3.507.640;408.127;295.679;195.348;11.666;255.066;51.137;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2020;12.507.970;0;10.434.486;177.085;283.680;62.657;78.119;76.213;52.943;480.029;862.760
