Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2021;809.272.256;375.585.371;102.027.867;135.135.387;34.400.546;161.674.130;448.956;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2021;799.641.194;305.695.947;37.322.376;58.423.560;14.816.422;70.613.229;397.967;312.371.694
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2021;692.777.387;279.587.939;115.159.526;97.438.689;43.420.193;126.678.961;274.308;30.217.771
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2021;588.277.104;265.433.957;46.315.866;77.688.861;26.064.767;85.737.389;290.757;86.745.507
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2021;438.639.284;231.961.251;28.043.697;43.767.651;15.211.202;57.765.113;197.735;61.692.636
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2021;267.063.554;156.600.849;33.029.050;36.315.515;4.915.484;28.950.217;7.252.440;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2021;94.321.895;47.493.470;7.959.346;10.123.254;2.990.345;17.150.239;9.094;8.596.148
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2021;90.581.505;41.726.711;7.255.006;8.549.105;3.070.348;11.073.596;181.215;18.725.525
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2021;60.664.232;32.155.792;5.466.125;7.239.403;2.576.785;12.255.458;10.684;959.984
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2021;36.553.595;4.122.830;493.428;1.186.988;405.743;30.289.020;7.003;48.582
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2021;35.715.741;20.174.117;3.562.966;4.042.824;1.509.837;5.629.832;8.029;788.136
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2021;25.882.496;10.517.043;9.785.063;1.934.858;418.575;3.226.958;0;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2021;24.976.214;18.679.615;935.957;767.716;176.921;4.416.004;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2021;20.726.762;9.225.734;2.439.761;3.273.485;1.804.879;3.980.826;2.077;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2021;20.667.087;11.687.720;2.061.396;799.569;146.421;4.392.521;3;1.579.456
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2021;17.806.648;1.045.246;15.883.446;435.402;284.795;153.050;4.708;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;06/2021;16.627.091;7.814.120;1.448.603;3.531.663;643.445;2.895.788;293.472;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2021;15.176.134;423.738;3.933.477;114.542;251.780;10.442.436;10.161;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;06/2021;15.168.828;10.328.370;834.454;1.256.998;497.536;2.230.972;20.499;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;06/2021;14.149.480;2.252.509;113.654;11.079.313;94.349;606.145;3.511;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;06/2021;13.774.297;7.825.064;902.732;1.577.725;434.954;3.033.820;0;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2021;13.522.886;5.609.929;1.938.909;472.501;1.106.434;4.391.974;3.140;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;06/2021;13.249.727;141.355;287.067;4.144;3.615;12.812.758;788;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;06/2021;12.561.815;7.198.561;1.957.287;791.947;181.444;2.431.512;1.063;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2021;12.337.665;7.735.784;1.366.162;1.618.507;380.705;1.222.673;13.834;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2021;12.268.958;6.177.492;933.524;2.050.458;758.432;1.362.397;6.359;980.295
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;06/2021;11.619.975;7.030.659;1.055.338;1.968.699;491.811;1.062.896;10.572;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2021;11.577.500;4.865.724;1.954.176;1.324.437;386.940;950.742;3.993;2.091.488
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;06/2021;11.513.168;9.727.384;69.455;337.508;33.194;1.102.025;0;243.601
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;06/2021;11.301.989;3.126.401;3.049.263;942.160;491.549;3.689.487;3.129;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;06/2021;11.262.839;8.102.937;694.390;1.320.690;166.193;973.276;5.353;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;06/2021;10.347.978;4.490.252;707.393;514.185;140.613;2.395.399;902;2.099.234
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;06/2021;9.257.592;4.725.837;679.837;1.779.799;528.365;1.490.675;53.079;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;06/2021;7.972.399;5.486.493;401.160;423.843;149.693;1.461.101;50.109;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;06/2021;7.942.905;3.186.562;1.080.054;590.818;39.762;1.000.992;0;2.044.717
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;06/2021;7.621.551;2.449.604;819.307;2.106.399;737.739;1.506.989;1.513;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;06/2021;7.581.497;1.261.669;3.382.272;735.666;506.273;1.692.345;3.273;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;06/2021;7.555.606;2.708.732;1.933.850;373.784;220.503;2.316.583;2.155;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2021;7.512.904;6.584.921;200.099;560.360;62.327;102.649;2.547;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;06/2021;7.380.403;25.534;14.338;43.001;7.280.802;16.594;134;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;06/2021;7.080.743;1.168.836;1.509.235;880.014;3.139.490;383.116;52;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;06/2021;6.684.215;2.468.970;757.911;688.563;314.541;2.454.230;0;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;06/2021;6.292.516;2.262.197;823.353;1.553.015;629.027;1.022.879;2.045;0
