Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2013;567.342.968;273.924.208;63.867.627;62.692.872;24.306.710;105.091.103;2.385.646;35.074.802
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2013;487.574.478;246.141.640;53.690.207;75.953.970;20.748.997;89.632.754;1.406.909;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2013;427.634.980;192.420.373;19.912.682;35.193.231;9.988.710;47.855.953;6.689.418;115.574.615
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2013;350.645.970;156.930.505;23.956.873;38.479.953;14.169.008;45.059.605;7.025.114;65.024.913
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2013;280.645.850;159.387.429;22.796.032;48.943.149;4.966.738;20.851.822;23.700.681;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2013;227.051.699;130.637.224;13.615.727;20.711.927;5.692.354;31.862.607;1.894.675;22.637.184
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2013;63.018.794;29.876.611;5.370.699;4.110.645;2.040.188;12.982.168;1.347.389;7.291.094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2013;58.583.884;30.622.652;4.143.808;8.035.022;2.286.345;11.021.512;409.927;2.064.618
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2013;54.237.776;25.637.757;3.456.944;4.074.596;1.560.954;8.113.912;2.743.102;8.650.511
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2013;25.572.517;3.595.009;278.294;1.056.708;293.714;19.968.235;210.306;170.252
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2013;23.741.852;14.581.484;1.430.097;3.231.500;737.288;3.026.842;734.640;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2013;22.110.574;9.692.154;2.297.258;4.059.510;1.298.321;4.745.771;17.559;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2013;20.136.508;9.221.617;2.240.290;4.024.565;2.140.200;1.946.476;563.359;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2013;15.968.138;7.917.139;1.685.737;652.586;7.414;270.089;0;5.435.173
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;12/2013;14.982.803;7.422.704;2.043.945;2.620.218;872.391;1.830.990;192.556;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2013;11.599.926;2.283.832;502.272;8.619.351;99.421;52.601;42.449;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2013;11.092.989;32.544;3.039.890;4.377;77.657;7.929.460;9.061;0
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;12/2013;10.433.452;4.074.426;1.128.763;2.409.335;431.599;1.873.141;29.122;487.067
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2013;10.357.318;5.837.375;604.449;1.517.104;330.866;2.067.480;44;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2013;10.336.445;4.736.077;945.540;446.677;171.458;1.716.427;18;2.320.250
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2013;10.086.289;4.294.151;1.051.128;2.154.440;636.788;1.944.812;4.969;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2013;9.646.787;335.446;219.853;20.086;2.837;9.066.658;1.907;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2013;9.213.045;5.903.599;533.520;1.714.905;188.472;618.273;254.275;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;12/2013;8.879.443;4.549.400;890.694;1.491.355;585.046;1.315.051;46.687;1.210
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2013;8.598.116;3.165.058;3.374.582;871.712;7.773;844.873;0;334.119
