Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2020;800.399.546;213.224.560;161.670.247;29.520.443;25.484.608;7.987.555;4.507.565;4.222.880;4.661.410;12.136.390;336.983.888
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2020;777.085.147;403.189.539;125.396.903;101.347.714;85.615.222;27.794.547;5.773.386;8.796.996;5.886.853;13.283.986;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2020;671.280.462;277.409.492;60.183.412;151.737.021;94.097.293;14.764.937;8.702.543;3.137.907;1.553.889;29.489.445;30.204.522
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2020;551.867.136;141.182.720;105.386.500;111.871.049;60.757.481;16.627.362;6.993.449;4.379.535;3.759.574;19.221.241;81.688.225
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2020;411.601.619;141.020.350;128.114.574;37.314.475;25.987.172;11.022.449;4.267.617;3.541.738;3.133.907;9.336.353;47.862.984
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2020;274.598.667;40.963.429;96.338.803;85.712.248;15.501.117;14.725.910;6.947.983;3.654.150;0;10.755.028;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2020;91.491.202;47.840.420;4.834.969;24.043.760;2.904.985;478.912;237.959;1.032.348;81.009;1.128.289;8.908.550
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2020;58.807.893;2.896.155;25.895.251;10.726.216;10.565.947;1.248.401;2.244.102;359.585;2.033.575;1.816.910;1.021.752
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2020;50.099.740;10.368.292;10.772.330;8.504.964;850.982;1.016.956;544.697;216.497;972.582;389.568;16.462.872
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2020;37.453.275;4.895.617;18.944.357;7.903.637;1.795.265;870.801;334.985;237.287;480.021;1.892.736;98.569
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2020;33.163.390;3.854.879;9.431.466;16.197.719;2.055.092;541.971;247.297;118.298;50.475;453.279;212.913
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2020;28.907.116;0;25.384.085;668.521;544.566;285.851;239.121;185.905;147.013;1.452.055;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2020;25.913.501;4.467.700;3.911.066;12.700.143;1.456.757;1.659.928;513.034;656.966;166.364;381.542;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2020;23.013.802;8.765.127;10.016.779;3.168.532;548.975;356.791;271;25;227;157.075;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2020;20.775.440;3.160.249;6.889.446;6.603.734;1.594.671;187.300;250.027;136.262;108.497;150.274;1.694.980
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2020;19.734.149;8.412.771;9.491.151;692.205;120.421;413.184;21.801;47.105;29.871;505.641;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2020;18.802.235;3.024.620;11.555.510;1.953.708;1.209.821;435.688;82.865;173.203;39.873;326.948;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2020;15.385.662;9.036.737;3.144.060;1.589.444;975.626;180.101;94.554;62.465;47.750;254.925;0
