Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2021;14.501.046;25.250;430.273;1.095.380;2.413.044;1.844.409;2.671.023;0;8.479.379;32.900;367.108;624.677;890.041;467.638;382.455;0;2.764.818;409;5.517;13.528;20.561;3.934;0;0;43.949;371;38.817;89.168;237.182;229.978;997.062;878.579;2.471.157;0;0;0;0;0;0;0;0;2.555;91.336;87.392;46.605;29.911;46.599;0;304.397;9.417;48.587;107.771;46.382;37.313;98.120;89.757;437.346;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;03/2021;13.899.867;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.506.495;2.939.710;1.193;0;0;0;13.447.398;0;0;0;0;0;0;0;0;332.720;72.139;44.601;3.008;0;0;0;452.469;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2021;12.372.314;0;53.455;140.476;238.123;104.523;49.692;0;586.269;0;66;140;355;184;79;0;825;0;2.073;5.645;10.647;1.337;866;0;20.568;0;9.971;23.920;62.381;61.514;276.240;263.601;697.626;0;0;0;0;0;0;0;0;0;544.196;1.583.542;3.557.320;2.640.497;2.660.891;0;10.986.447;151;7.725;20.396;42.030;10.277;1;0;80.580;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;03/2021;11.039.236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.232.945;6.380.979;2.873.870;551.354;88;0;0;11.039.236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2021;10.120.737;18.792;140.105;382.990;740.654;442.117;265.230;24;1.989.913;241.016;341.020;294.235;21.083;308;141;0;897.803;43;15;27;26;1;0;0;111;0;0;0;0;0;0;0;0;313.931;2.170.280;1.226.016;1.714.774;531.643;92.269;0;6.048.912;0;0;0;0;0;0;0;0;463;13.471;16.713;23.483;3.272;3.509;0;60.911;1.123.086
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;03/2021;9.952.884;4.290;11.461;31.871;37.008;6.722;29;0;91.381;1.740;8.901;20.544;11.449;759;6;0;43.399;23.301;213.991;551.197;850.583;161.537;336;86;1.801.030;0;0;0;0;0;0;0;0;432.109;4.894.757;2.479.395;137.577;27.183;0;0;7.971.021;0;0;0;0;0;0;0;0;792;7.445;17.581;18.572;1.661;1;0;46.053;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2021;9.285.577;3.725;98.137;255.081;548.991;327.110;138.763;0;1.371.808;908;23.753;63.083;122.892;57.298;29.316;0;297.250;0;0;2;4;0;0;0;6;63;3.303;7.500;19.957;19.444;92.611;102.223;245.100;34.310;786.589;3.720.153;32.659;271;0;0;4.573.981;0;128.868;363.079;849.630;678.862;733.943;0;2.754.382;60;2.014;3.610;9.777;8.875;18.713;0;43.050;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2021;9.200.598;96.266;522.897;1.425.401;2.626.171;1.443.492;766.630;0;6.880.857;3.656;12.489;130.591;37.835;10.997;302;0;195.869;34.841;165.411;386.838;487.886;45.287;692;0;1.120.956;53;57;102;284;304;2.099;994;3.893;35.763;500.301;14.224;3.664;1.352;209;0;555.513;0;279;503;0;0;0;0;782;687;43.845;135.935;175.512;38.035;42.051;6.665;442.730;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2021;7.962.355;845;5.454;14.006;14.690;1.699;5;0;36.700;1.281;10.321;30.730;83.190;21.236;4;0;146.762;63.590;982.984;2.553.179;3.600.739;577.275;1.126;0;7.778.893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2021;7.842.071;14.232;106.909;322.766;661.262;477.294;442.061;0;2.024.525;22;29;74;110;2;0;0;238;0;0;0;0;0;0;0;0;8.320;56.880;121.235;309.115;286.711;1.052.748;689.852;2.524.861;181.679;1.665.287;547.062;22.310;557;0;44;2.416.939;0;1.858;65.918;41.175;1.036;0;0;109.986;27.824;40.866;113.382;193.096;144.980;234.183;11.189;765.521;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2021;7.313.679;56.856;342.906;954.730;1.600.881;950.397;477.490;742;4.384.003;9.919;26.639;37.421;6.357;754;344;0;81.434;184;404;1.068;1.695;84;0;0;3.436;0;0;0;0;0;0;0;0;66.864;1.701.504;703.220;159.449;17.430;0;0;2.648.468;0;0;7.242;0;0;0;0;7.242;11.783;28.970;53.119;63.664;23.803;7.758;0;189.096;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2021;7.304.762;403;6.403;36.995;57.975;21.285;427;0;123.487;1.902;4.934;11.779;9.256;77;1;0;27.948;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.439;26.126;8.944;363;0;0;0;37.873;20.340;126.750;556.354;639.310;2.204;3.529;0;1.348.487;85.554;2.880.497;2.542.835;255.150;1.829;1.032;70;5.766.966;0
