Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;06/2023;28.180.818;21;10.083;26.121;40.376;18.917;13.091;0;108.608;1.332.579;5.717.141;6.336.085;1.212.796;9.581;22;0;14.608.204;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.205.124;7.557.682;1.576.578;103.430;45;2;0;13.442.861;0;0;0;0;0;0;0;0;750;3.967;8.405;7.986;38;0;0;21.145;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2023;26.133.037;26.317;729.364;688.905;985.190;5.593.890;3.070.837;0;11.094.503;88.365;1.736.804;1.029.525;1.430.982;513.735;173.095;391.394;5.363.901;388;4.450;11.035;15.066;3.730;13;0;34.683;2.046;102.832;220.243;588.931;570.817;2.517.861;2.394.152;6.396.882;274.851;243.546;72.205;57.709;17.560;4.794;0;670.665;456;61.107;207.918;105.331;88.937;93.918;0;557.668;46.015;108.326;281.324;339.965;314.915;860.636;63.556;2.014.737;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2023;19.135.035;34.982;301.076;818.747;1.763.974;1.170.748;587.439;33;4.676.999;84.619;238.076;492.413;548.059;170.361;86.878;0;1.620.406;0;0;0;0;0;0;0;0;9.833;79.480;175.209;455.032;429.473;1.725.225;1.373.956;4.248.208;1.070.479;4.896.271;1.162.974;83.174;2.127;0;0;7.215.026;1.003;28.889;116.395;34.391;76;0;0;180.754;19.380;69.869;112.988;215.815;159.353;558.386;57.850;1.193.641;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2023;19.012.284;0;109.780;286.752;481.070;215.646;63.338;0;1.156.586;0;29;56;66;54;9;0;214;0;997;1.388;1.413;894;1.127;0;5.820;0;25.353;56.244;151.026;145.850;660.098;637.355;1.675.927;0;0;0;0;0;0;0;0;0;1.703.189;1.475.686;5.144.791;4.136.539;3.609.714;0;16.069.919;754;13.514;29.783;46.511;11.022;2.232;0;103.817;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;06/2023;18.276.564;0;0;0;0;0;0;0;0;4.915;897.786;1.223.901;2.484.919;6.910.553;280.118;0;11.802.193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.586;4.554.442;1.657.316;22.200;0;410;0;6.312.954;0;0;0;0;0;0;0;0;436;5.870;17.175;37.269;32.517;68.148;3;161.417;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2023;17.886.384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.829;364.855;660.971;864.336;477.620;364.706;323;2.769.639;94.489;1.411.266;4.245.334;5.860.532;2.584.828;919.403;893;15.116.745;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2023;17.124.483;49.781;298.448;804.684;1.561.560;903.888;339.637;12;3.958.010;285.029;533.982;876.632;881.215;328.460;201.078;0;3.106.396;20;8;17;18;0;0;0;63;0;0;0;0;0;0;0;0;785.145;3.780.079;1.081.658;1.390.484;641.998;103.344;0;7.782.708;0;0;0;0;0;0;0;0;953;339;14.839;46.448;1.027;639;0;64.245;2.213.060
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;06/2023;16.947.387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.021.544;8.658.173;4.193.817;1.073.642;209;0;0;16.947.387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2023;16.486.504;7.990;178.305;459.749;1.033.484;671.829;366.913;0;2.718.270;2.525;35.441;88.378;159.692;72.474;23.370;0;381.880;0;0;2;0;0;0;0;2;1.680;12.899;27.263;73.705;73.575;340.529;348.656;878.307;88.606;1.314.826;6.595.356;226.518;35.770;0;0;8.261.076;0;251.502;494.627;1.281.702;1.119.810;1.072.892;0;4.220.533;97;992;4.176;6.665;5.910;8.595;0;26.435;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2023;15.387.679;85.939;763.865;2.094.315;4.034.790;2.432.105;1.171.551;0;10.582.564;7.440;43.034;32.425;31.932;7.339;3.830;0;126.001;79.124;307.834;717.458;977.916;102.893;0;0;2.185.225;16;458;1.260;2.715;1.989;4.001;412;10.850;73.064;1.009.855;49.631;79.817;112.967;199.192;0;1.524.526;0;186;387;1.027;277;0;0;1.877;2.688;345.822;228.021;241.699;70.359;63.408;4.637;956.634;0
