Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2021;824.151.924;225.029.118;156.090.142;29.443.235;25.558.917;9.282.896;4.724.743;4.075.606;4.862.033;11.007.987;354.077.248
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2021;791.839.360;413.324.390;125.335.236;100.401.127;88.762.992;28.658.122;6.573.097;9.360.741;5.927.658;13.495.997;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2021;686.937.830;290.654.053;66.791.386;153.749.137;89.336.462;13.251.500;8.070.541;2.141.907;3.597.067;28.472.045;30.873.733
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2021;575.848.452;147.566.843;110.547.311;110.117.373;64.248.180;16.228.052;7.386.507;4.602.412;4.045.587;18.361.683;92.744.505
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2021;423.718.494;142.525.182;127.542.141;38.690.726;26.470.921;11.593.529;4.048.999;3.576.851;3.131.393;10.117.980;56.020.773
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2021;274.622.038;40.561.768;97.772.722;84.403.640;15.102.765;15.899.893;6.336.296;3.579.817;111.151;10.853.987;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2021;92.291.498;49.292.299;4.664.247;23.554.517;3.020.635;554.794;234.981;1.030.212;101.087;961.688;8.877.039
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2021;61.041.760;3.387.562;25.942.998;11.508.855;11.397.019;1.391.489;2.183.585;346.880;2.149.353;1.652.135;1.081.884
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2021;53.501.654;8.078.541;13.620.871;10.504.327;807.308;829.856;611.089;220.740;250.564;301.151;18.277.207
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2021;36.742.735;4.713.554;18.540.877;7.996.165;1.694.982;864.564;334.564;214.887;370.116;1.923.493;89.533
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2021;33.301.111;3.095.411;10.384.048;15.718.620;1.984.670;522.770;185.265;138.346;129.909;445.164;696.908
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2021;30.159.237;0;26.220.062;944.718;708.306;340.190;241.883;188.460;180.463;1.335.155;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2021;28.497.639;4.480.490;5.692.738;13.337.583;1.490.767;1.722.663;535.782;683.280;166.364;387.971;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2021;25.336.404;10.089.241;10.287.782;3.583.996;876.319;341.736;25;88.960;0;68.345;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2021;21.229.182;3.090.516;7.512.719;6.476.742;1.478.291;179.340;249.555;120.248;97.631;138.558;1.885.581
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2021;19.626.230;3.342.020;12.153.290;1.971.998;1.193.065;387.526;85.915;170.172;62.852;259.393;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2021;16.425.932;9.471.641;3.207.024;2.032.158;1.071.360;212.501;95.487;59.664;51.019;225.078;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2021;15.224.272;5.552.086;8.257.765;357.017;150.984;444.751;20.601;50.887;26.454;363.727;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2021;15.110.728;14.340.937;659.525;107.999;288;274;111;121;72;1.401;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;03/2021;13.899.867;0;13.467.330;18.791;14.656;35.019;30.236;28.281;34.470;271.084;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2021;13.547.871;6.193.616;5.552.618;979.097;323.685;215.583;23.558;29.733;39.511;190.470;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;03/2021;13.537.627;3.730.036;7.052.874;1.116.539;748.899;246.793;61.799;168.259;48.618;363.810;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2021;13.101.628;808.124;8.413.065;2.250.669;1.132.455;360.614;93.868;12.551;9.077;21.205;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2021;13.013.026;497.191;7.313.595;3.728.341;824.427;149.338;172.109;87.940;210.463;29.622;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;03/2021;12.240.097;6.680.435;5.193.230;0;0;0;0;0;54.878;32.308;279.246
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2021;12.096.809;197.700;9.525.331;271.732;216.165;79.306;72.197;83.856;47.996;479.440;1.123.086
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2021;11.832.645;2.193.643;8.184.014;953.044;450.596;10.076;5.237;6.169;6.542;23.324;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2021;11.637.190;1.272.426;4.393.959;3.135.671;1.685.472;817.168;169.592;25.884;42.980;94.037;0
