Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2014;2.764.783;0;2.764.783;77.075;2.841.858;13.545.567;22.950;8.970;3.492.646;81.512;3.606.078;1.952.319;19.103.964;NA;14,47%;14,47%;14,88%;NA%;2,86%
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2014;2.126.718;0;2.126.718;662.360;2.789.078;17.435.786;224.855;56.309;515.545;236;796.945;765.723;18.998.455;NA;11,19%;11,19%;14,68%;NA%;3,61%
BIC;32119;b1;;C;3;SAO PAULO;SP;09/2014;1.398.356;0;1.398.356;764.734;2.163.091;12.449.109;1.005.240;0;57.722;12.629;1.075.591;1.546.689;15.071.389;NA;9,28%;9,28%;14,35%;NA%;8,70%
BMG;30290;b1;;C;2;SAO PAULO;SP;09/2014;2.262.587;0;2.262.587;947.906;3.210.493;12.344.185;103.495;0;0;0;103.495;840.590;13.288.271;NA;17,03%;17,03%;24,16%;NA%;41,40%
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2014;2.480.695;0;2.480.695;0;2.480.695;10.518.204;302.286;0;1.702.072;45.329;2.049.687;614.062;13.181.953;NA;18,82%;18,82%;18,82%;NA%;8,84%
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2014;1.599.036;0;1.599.036;0;1.599.036;11.478.343;807;0;582;0;1.389;739.722;12.219.453;NA;13,09%;13,09%;13,09%;NA%;15,01%
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2014;1.285.596;0;1.285.596;650.667;1.936.263;10.464.714;27.945;87.982;906.591;0;1.022.518;698.506;12.185.739;NA;10,55%;10,55%;15,89%;NA%;1,74%
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2014;1.425.683;0;1.425.683;0;1.425.683;10.795.867;524;0;0;0;524;792.779;11.589.170;NA;12,30%;12,30%;12,30%;NA%;8,96%
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2014;2.052.862;0;2.052.862;0;2.052.862;10.455.479;1.580;0;0;14.376;15.957;552.468;11.023.903;NA;18,62%;18,62%;18,62%;NA%;1,22%
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2014;1.409.751;0;1.409.751;145.595;1.555.346;10.315.564;0;0;0;0;0;696.877;11.012.442;NA;12,80%;12,80%;14,12%;NA%;0,30%
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2014;2.052.045;0;2.052.045;0;2.052.045;9.351.584;13.376;0;258.996;8.012;280.385;771.273;10.403.242;NA;19,73%;19,73%;19,73%;NA%;11,55%
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2014;1.272.741;0;1.272.741;140.447;1.413.188;9.527.718;100.465;94.173;350.164;55;544.856;149.289;10.221.863;NA;12,45%;12,45%;13,83%;NA%;2,17%
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2014;1.670.166;0;1.670.166;0;1.670.166;5.699.777;275.622;3.210;2.811.017;0;3.089.848;826.392;9.616.017;NA;17,37%;17,37%;17,37%;NA%;2,07%
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2014;706.474;688;707.162;453.674;1.160.836;7.795.939;26.442;0;834;2.125;29.401;635.181;8.460.521;NA;8,35%;8,36%;13,72%;NA%;22,16%
BRB;31976;b1;;C;1;BRASILIA;DF;09/2014;1.087.708;0;1.087.708;193.313;1.281.021;7.523.312;39.540;169;21.013;4.807;65.528;654.770;8.243.610;NA;13,19%;13,19%;15,54%;NA%;19,88%
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2014;1.880.830;0;1.880.830;0;1.880.830;5.589.423;329.509;17.482;864.945;229.873;1.441.809;712.357;7.743.589;NA;24,29%;24,29%;24,29%;NA%;0,96%
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2014;5.107.375;0;5.107.375;0;5.107.375;98.981;0;0;17.564;7.347.265;7.364.829;199.907;7.663.717;NA;66,64%;66,64%;66,64%;NA%;0,00%
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;09/2014;2.024.725;0;2.024.725;0;2.024.725;2.998.197;41.675;8.297;3.689.024;73.529;3.812.525;649.852;7.460.574;NA;27,14%;27,14%;27,14%;NA%;5,45%
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2014;1.058.904;125.492;1.184.396;0;1.184.396;6.704.600;21.272;0;148.650;170;170.092;455.335;7.330.026;NA;14,45%;16,16%;16,16%;NA%;10,32%
