Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;09/2013;1.132.232.010;561.541.926;1.067.759.435;886.384.859;64.472.574;2.741.241;118.377.268;15,31%;21,75%;5.420;1.564
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2013;1.011.197.822;386.944.543;924.730.924;704.187.349;86.466.898;3.580.390;122.937.961;18,04%;49,82%;3.971;865
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2013;858.538.302;463.350.850;831.964.507;723.894.349;26.573.795;1.865.359;73.462.946;17,03%;11,05%;3.173;690
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2013;778.670.753;311.222.556;711.441.648;592.642.855;67.229.105;3.070.481;92.733.723;16,42%;45,09%;4.725;1.417
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2013;724.950.032;267.946.626;679.618.870;457.890.210;45.331.163;1.624.097;102.882.514;18,14%;41,94%;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2013;475.021.713;221.936.681;410.576.120;305.204.986;64.445.593;843.946;67.278.237;20,69%;32,10%;2.729;1.284
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2013;163.089.322;61.055.446;153.118.243;96.308.940;9.971.078;-196.388;12.328.455;12,82%;35,02%;868;402
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2013;131.057.913;50.109.586;123.919.370;106.594.747;7.138.543;301.000;9.419.245;13,91%;23,91%;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2013;119.583.327;13.811.458;107.987.055;78.919.349;11.596.272;614.791;16.608.586;18,81%;37,95%;13;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2013;112.445.954;54.903.448;105.348.410;75.224.911;7.097.545;-159.115;10.728.322;13,91%;3,48%;117;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2013;66.918.679;22.918.372;59.169.400;30.557.907;7.749.279;48.467;7.682.699;14,51%;15,44%;135;17
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2013;53.753.617;26.023.228;48.744.218;40.514.998;5.009.399;182.969;6.654.722;19,61%;8,63%;503;217
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2013;37.503.247;4.411.341;34.331.863;25.713.975;3.171.384;65.404;4.256.314;19,54%;27,05%;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2013;35.038.269;1.262.591;31.567.936;16.092.302;3.470.333;-54.318;3.470.333;18,39%;2,09%;8;1
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2013;33.863.244;11.590.719;31.350.333;16.885.548;2.512.912;103.695;5.044.842;16,63%;4,65%;223;5
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2013;29.112.398;2.622.770;27.485.176;6.903.776;1.627.222;98.975;1.627.222;15,81%;2,35%;3;0
BMG;30290;b1;;C;2;SAO PAULO;SP;09/2013;28.193.273;20.286.240;24.740.353;10.125.241;3.452.920;70.847;4.074.869;13,62%;4,99%;23;0
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2013;25.480.091;22.668.978;23.297.207;18.532.792;2.182.884;34.935;3.147.711;13,72%;5,19%;1;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2013;24.404.647;10.175.316;23.610.947;23.132.395;793.700;11.906;925.756;16,54%;10,97%;5;0
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2013;21.447.454;13.541.777;18.693.764;14.862.533;2.753.691;-42.149;2.624.047;15,17%;45,98%;4;0
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2013;20.588.677;6.706.063;17.841.991;9.934.168;2.746.686;49.670;2.878.962;16,97%;3,16%;12;2
BANCOOB;51750;b1;;C;2;BRASILIA;DF;09/2013;19.117.017;6.941.213;18.543.049;16.917.765;573.968;10.056;594.053;12,80%;11,85%;5;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2013;17.201.596;8.966.624;15.336.871;11.243.169;1.864.725;67.329;2.767.863;17,32%;3,08%;7;0
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2013;15.574.560;10.926.997;13.646.758;11.477.301;1.927.802;5.242;2.853.451;18,87%;5,55%;37;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2013;14.893.096;7.770.746;13.769.298;9.938.387;1.123.799;27.714;1.687.166;13,98%;0,91%;16;0
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2013;14.519.006;8.014.765;12.153.730;10.644.662;2.365.276;41.248;2.365.276;17,24%;8,05%;36;0
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2013;14.111.004;4.060.236;13.209.085;12.417.561;901.919;27.834;899.178;15,12%;22,48%;136;27
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2013;13.931.535;9.018.503;13.061.795;10.216.733;869.740;-47.248;1.251.050;12,03%;17,05%;189;4
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2013;13.809.679;2.863.914;12.880.087;5.157.352;929.592;-34.655;928.230;18,93%;6,04%;5;0
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2013;13.723.862;7.589.979;11.726.230;10.799.484;1.997.632;24.900;1.967.460;20,63%;11,76%;54;1
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;09/2013;12.530.530;302.425;11.177.747;1.744.209;1.352.783;35.596;1.403.958;18,06%;2,49%;2;0
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;09/2013;11.584.131;8.857.206;10.228.365;4.291.049;1.355.766;13.747;1.266.442;12,83%;13,40%;1;0
BRB;31976;b1;;C;1;BRASILIA;DF;09/2013;11.274.351;7.434.025;10.271.603;8.723.583;1.002.748;30.384;1.296.586;14,22%;15,53%;112;7
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2013;11.264.438;2.197.449;9.714.319;3.688.957;1.550.119;10.513;1.550.119;13,41%;9,08%;123;4
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2013;10.806.228;8.977.722;9.208.114;8.808.138;1.598.115;37.951;1.598.115;17,73%;1,49%;3;0
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2013;10.673.844;5.781.116;9.409.402;8.190.856;1.264.442;40.243;1.475.665;15,85%;11,30%;13;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2013;10.439.843;10.040.099;9.298.287;8.317.715;1.141.556;10.521;1.265.394;12,25%;0,28%;2;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;09/2013;9.938.888;0;8.199.697;5.439.110;1.739.191;35.905;1.610.355;23,50%;0,90%;2;0
BES;51482;b2;;C;3;SAO PAULO;SP;09/2013;9.901.558;1.928.233;9.242.200;6.462.632;659.358;10.071;665.575;15,85%;23,90%;6;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;09/2013;9.187.183;151.425;8.407.060;4.243.206;780.123;47.054;780.123;41,93%;7,33%;1;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;09/2013;7.683.442;1.212.199;6.553.848;3.692.718;1.129.595;17.906;1.129.518;45,32%;3,31%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;09/2013;6.749.751;227.532;6.443.182;6.997;306.569;-1;154.574;17,79%;3,43%;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;09/2013;6.032.928;5.408.900;5.324.400;4.915.286;708.529;17.406;706.749;14,59%;0,58%;2;0
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2013;6.027.999;0;1.369.137;2;4.658.863;81.038;4.577.760;41,95%;0,00%;1;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;09/2013;5.935.754;5.612.890;5.414.291;5.304.995;521.463;9.038;520.627;12,90%;1,24%;2;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;09/2013;5.643.466;4.915.465;4.521.409;4.032.879;1.122.058;35.957;1.119.357;21,76%;0,48%;1;0
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;09/2013;4.967.371;2.567.990;4.688.471;4.478.731;278.900;-24.493;164.495;15,44%;0,00%;2;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;09/2013;4.941.266;1.057.105;628.047;530.626;4.313.218;19.114;4.313.218;276,42%;0,69%;53;0
