Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;03/2014;63.520.399;17.050.964;80.571.363;31.721.919;112.293.282;763.068.276;9.492.795;3.968;2.230.370;0;11.727.133;36.578.814;811.374.223;NA;7,83%;9,93%;13,84%;NA%;25,60%
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2014;83.012.799;21.256;83.034.055;33.559.155;116.593.210;686.511.522;5.641.625;939.355;14.421.018;1.051.827;22.053.825;36.565.736;745.131.083;NA;11,14%;11,14%;15,65%;NA%;49,21%
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2014;69.934.147;0;69.934.147;22.300.588;92.234.735;534.964.844;4.523.081;442.810;15.542.460;744.891;21.253.243;29.852.953;586.071.040;NA;11,93%;11,93%;15,74%;NA%;47,10%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2014;54.165.296;10.691.604;64.856.901;32.428.450;97.285.351;541.413.881;9.858.998;0;1.350.753;0;11.209.751;10.846.431;563.470.063;NA;9,61%;11,51%;17,27%;NA%;39,68%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2014;32.560.194;22.446.397;55.006.591;11.824.715;66.831.306;464.921.403;373.413;0;1.573.562;0;1.946.975;20.376.041;487.244.418;NA;6,68%;11,29%;13,72%;NA%;14,21%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2014;54.982.498;2.865.766;57.848.264;5.630.477;63.478.741;304.505.430;4.489.960;0;21.915.262;741.727;27.146.949;15.520.251;347.172.629;NA;15,84%;16,66%;18,28%;NA%;28,52%
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2014;9.744.500;0;9.744.500;4.016.739;13.761.240;86.657.784;161.457;0;6.826.493;828.847;7.816.797;10.144.260;104.618.842;NA;9,31%;9,31%;13,15%;NA%;27,53%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2014;12.339.010;0;12.339.010;4.545.445;16.884.454;57.357.068;1.393.722;14.247.194;15.533.511;4.014.575;35.189.002;6.315.045;98.861.114;NA;12,48%;12,48%;17,08%;NA%;39,91%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2014;7.822.535;0;7.822.535;1.894.400;9.716.935;70.210.382;423.033;161.120;1.232.869;53.630;1.870.652;4.076.692;76.157.726;NA;10,27%;10,27%;12,76%;NA%;22,83%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2014;7.028.966;0;7.028.966;3.740.895;10.769.861;68.623.646;265.945;14.618;1.111.573;120.900;1.513.036;4.161.967;74.298.649;NA;9,46%;9,46%;14,50%;NA%;3,19%
