Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2021;21.382.473;70.479;1.524.767;3.333.335;3.504.277;527.348;22.407;0;8.982.613;11.785;324.879;383.126;659.497;56.284;0;0;1.435.571;3.264;111.642;80.442;0;0;0;0;195.349;1.011;716.467;439.976;0;0;0;0;1.157.454;0;1.229.694;1.864.101;1.215.656;167.797;11.861;0;4.489.110;135.644;258.520;348.745;278.743;99.415;69.349;0;1.190.416;0;39.696;108.928;193.259;83.036;13.091;0;438.010;0;118.465;663.203;436.766;99.910;117.397;0;1.435.741;0;0;0;0;0;0;0;0;2.058.211
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2021;14.130.498;10.728;525.122;1.357.054;1.417.459;160.855;38.099;0;3.509.317;14.333;190.063;491.265;727.042;174.910;16.871;0;1.614.483;285;7.455;0;0;0;0;0;7.740;2.933;874.612;439.907;88.942;0;0;0;1.406.394;0;709.876;2.021.551;941.058;185.566;7.764;0;3.865.816;115.241;54.622;379.118;160.658;153.320;381.952;620.316;1.865.227;0;43.974;120.280;194.989;28.732;1.193;0;389.168;0;50.987;187.382;80.220;14.502;14.110;0;347.201;0;0;0;0;0;0;0;0;1.125.153
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2021;13.796.932;883;45.604;226.783;68.418;4.411;0;0;346.099;23.022;893.806;2.676.303;4.891.746;1.684.462;5.891;0;10.175.231;0;0;0;0;0;0;0;0;1.183;450.591;1.727.274;1.349;394;0;0;2.180.790;0;0;0;0;0;0;0;0;0;45.839;0;0;0;0;0;45.839;11.267;154.944;380.504;399.993;101.787;477;0;1.048.973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2021;13.688.609;3.479;61.447;179.838;258.601;43.573;0;0;546.938;14.920;694.897;1.992.289;4.352.714;1.545.110;21.508;0;8.621.437;0;0;0;0;0;0;0;0;0;1.257.271;886.602;0;0;0;0;2.143.873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.269;282.518;682.192;1.017.112;366.436;15.833;0;2.376.360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2021;12.101.531;13.002;133.592;290.319;447.267;38.217;18.462;0;940.860;0;0;0;0;0;0;0;0;0;0;16.014;0;0;0;0;16.014;1.387;79.804;154.323;0;0;0;0;235.514;204.302;3.113.785;3.811.553;1.997.782;721.609;31.957;0;9.880.987;120.644;138.639;33.137;154.284;32.249;7.379;0;486.332;0;1.481;5.952;20.330;9.742;1.508;0;39.013;35.786;98.152;164.633;112.473;49.100;42.667;0;502.811;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2021;10.456.028;561;10.133;34.092;88.947;27.870;965;0;162.567;583;23.650;81.260;247.062;159.092;180.127;1.675;693.449;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.627;10.665;25.488;21.483;21.958;0;81.222;13.999;275.783;773.516;1.685.058;1.082.621;1.525.307;113.685;5.469.969;936;151.982;739.875;1.318.159;920.986;916.738;146;4.048.822;0;0;0;0;0;0;0;0;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;09/2021;9.505.713;10.969;309.132;1.046.059;1.958.223;590.512;1.007;0;3.915.902;0;12.263;4.907;995;64;0;0;18.230;0;0;0;0;0;0;0;0;0;2.432;7.063;13.123;0;0;0;22.619;30.158;298.185;443.270;589.524;33.909;0;0;1.395.046;1.718;30.270;191.508;215.399;51.613;1.500;0;492.009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.661.908
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2021;9.312.692;28.312;452.699;1.284.200;2.416.393;644.778;200.448;10.800;5.037.629;348;19.602;54.925;111.177;62.589;39.038;0;287.679;18.400;177.702;122.902;0;0;0;0;319.004;2.467;40.481;8.174;0;0;0;0;51.122;2.516;129.739;651.005;1.305;0;0;0;784.566;55.117;177.798;190.563;245.751;152.271;231.188;103.734;1.156.422;3.563;36.009;125.812;162.113;57.840;48.279;417;434.033;2.369;182.274;621.109;35.612;17.981;15.658;0;875.004;9.119;12.671;48.387;124.783;34.282;0;0;229.242;137.991
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2021;8.400.071;0;547.732;595.227;552.236;41.203;0;0;1.736.397;0;9.371;34.559;32.715;7.621;13;0;84.280;0;646;0;0;0;0;0;646;120;942;1.808;2.433;536;0;0;5.840;0;1.185.432;1.475.204;1.121.947;142.455;556;0;3.925.594;44.445;133.840;149.314;58.138;1.631;34.874;0;422.243;0;0;0;0;0;0;0;0;0;2.682;138.287;339;0;0;0;141.308;0;0;0;0;0;0;0;0;2.083.763
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2021;7.463.584;64;485.614;1.045.603;695.399;74.100;0;0;2.300.780;498;148.722;361.498;479.559;118.269;20.205;0;1.128.752;0;53.091;129.200;0;0;0;0;182.291;0;1.194.212;935.506;0;0;0;0;2.129.717;0;274.682;615.465;82.662;0;0;0;972.808;0;30;60;0;0;0;0;90;0;54.387;121.937;487.268;68.167;16.707;0;748.467;0;85;248;345;0;0;0;679;0;0;0;0;0;0;0;0;0
