Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2023;493.173.183;544.536;12.465.615;26.737.116;32.761.861;6.058.835;1.538.485;99.056;80.205.505;102.819;2.537.567;6.520.868;9.361.763;1.791.020;8.869;0;20.322.906;925.711;12.279.409;174.446;0;0;0;0;13.379.566;137.437;23.085.480;6.009.686;487.024;51.483;3;0;29.771.112;18.038;7.102.463;10.849.210;7.525.418;5.518.392;4.578.854;0;35.592.375;940.841;5.524.841;6.938.934;5.180.343;1.041.736;225.532;24.063;19.876.291;45.412;1.396.143;3.187.468;5.212.861;2.152.267;2.288.031;47.370;14.329.552;1.222;824.405;4.791.588;657.626;270.211;114.459;0;6.659.511;31.351;894.976;2.015.918;1.729.658;74.468;116.729;0;4.863.099;268.173.265
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2023;21.792.521;74;37.538;111.165;84.797;15.105;0;0;248.679;72.934;1.627.710;4.592.998;7.908.979;2.340.605;13.441;0;16.556.667;0;0;0;0;0;0;0;0;2.706;1.368.458;2.752.500;682;0;0;0;4.124.347;0;0;0;0;0;0;0;0;0;47.653;0;0;0;0;0;47.653;4.187;95.180;215.381;338.760;154.784;6.882;0;815.174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO BERNARDO DO CAMPO;SP;03/2023;17.646.898;3.207;49.971;118.667;150.330;3.590;0;0;325.766;51.601;842.601;2.259.223;4.323.404;1.582.017;13.671;0;9.072.516;0;0;0;0;0;0;0;0;0;1.394.247;1.064.525;0;0;0;0;2.458.772;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.111;448.425;1.318.263;2.604.999;1.273.699;135.348;0;5.789.844;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2023;16.025.741;14.303;595.015;1.134.738;1.162.736;187.300;1.895;0;3.095.988;23.530;313.469;704.489;981.608;232.227;12.637;0;2.267.960;0;599;9.670;0;0;0;0;10.269;27.868;2.050.343;465.206;0;0;0;0;2.543.417;0;1.027.396;1.921.648;1.379.299;234.807;0;0;4.563.149;73.092;92.393;401.357;423.070;157.693;81.295;537.090;1.765.989;0;76.763;294.991;279.047;66.141;0;0;716.942;0;56.640;199.677;95.121;22.259;7.245;0;380.942;0;0;0;0;0;0;0;0;681.084
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2023;13.177.242;1.314;42.890;106.645;183.487;33.573;20.615;0;388.525;7.738;61.431;185.874;398.430;279.869;330.130;40.788;1.304.261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3.565;10.059;22.106;15.579;17.783;0;69.095;8.081;313.266;888.480;2.062.540;1.241.017;2.076.959;111.871;6.702.214;0;197.874;638.206;1.451.053;1.142.782;1.283.233;0;4.713.148;0;0;0;0;0;0;0;0;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;03/2023;13.146.407;13.630;260.913;1.308.522;2.010.736;178.483;702;0;3.772.988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149.804;13.434;252;0;0;0;163.490;0;594.703;1.093.004;1.276.254;124.292;0;0;3.088.253;0;238.047;1.242.198;1.340.801;134.291;5.787;0;2.961.124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.160.551
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2023;12.094.007;1.625;1.746.626;1.105;0;0;0;0;1.749.355;48.565;453.502;1.239.843;2.208.115;722.254;1.707;0;4.673.987;0;0;0;0;0;0;0;0;0;4.006.328;92.731;131;0;0;0;4.099.191;0;0;0;0;0;0;0;0;421;59.211;42.128;179.579;109.755;5.392;0;396.488;9.845;69.274;184.316;331.401;171.475;1.272;0;767.583;109;50.307;35.372;148.639;105.952;67.025;0;407.404;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2023;11.984.471;0;70.252;314.608;59.144;36.908;18.454;0;499.366;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;536;0;0;0;0;0;0;536;148.276;3.845.780;2.943.668;3.118.056;464.047;134.051;0;10.653.878;0;61.512;163.883;98.498;40.315;75.744;0;439.951;0;1.264;1.902;2.798;478;0;0;6.442;33.791;24.307;146.162;94.290;50.260;35.488;0;384.298;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2023;11.618.356;0;2.125;5.727;11.420;6.911;14.445;0;40.628;20.138;740.059;1.958.105;3.199.862;835.438;1.944;0;6.755.546;0;0;0;0;0;0;0;0;0;22.090;631;0;0;0;0;22.722;0;0;0;0;0;0;0;0;888;12.486;26.914;25.228;560;0;0;66.076;11.842;363.265;1.047.206;2.251.765;1.045.290;14.016;0;4.733.385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2023;11.512.605;49.653;739.755;1.980.664;3.222.629;761.197;157.583;0;6.911.482;2.463;34.530;99.109;212.758;128.819;58.741;0;536.420;31.956;229.250;145.099;0;0;0;0;406.305;2.462;58.774;8.438;0;0;0;0;69.674;46.920;542.799;710.577;26.121;0;0;0;1.326.418;34.960;180.835;175.056;229.674;99.762;233.600;97.116;1.051.003;2.994;26.732;56.846;97.103;71.368;51.207;784;307.033;7.462;111.041;422.678;22.337;11.307;14.311;0;589.135;257;3.633;11.337;162.294;32.323;7.736;3.409;220.988;94.148
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2023;9.626.728;921;164.133;334.144;828.906;185.753;0;0;1.513.857;0;11.244;36.209;66.425;61.627;0;0;175.505;0;136;0;0;0;0;0;136;42;67.504;856;1.215;0;0;0;69.617;50.487;1.119.965;2.632.775;1.026.024;267.392;0;0;5.096.643;0;63.604;305.705;242.038;25.766;43.624;0;680.737;0;0;0;0;0;0;0;0;0;54.847;104.015;8.379;0;0;0;167.240;0;0;0;0;0;0;0;0;1.922.993
