Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;03/2006;5.095.441;115.065;3.519.803;-138.685;451.784;426.588;9.469.996;-3.941.217;-501.868;-77.211;0;-2.070.820;-6.591.116;2.878.880;2.102.463;0;-1.875.557;-1.321.266;-411.548;-159.974;1.382.963;-1.631.433;-1.914.353;964.528;26.303;990.831;1.541.550;-189.711;2.342.669;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2006;4.787.312;433.173;1.725.593;1.077.055;175.478;349.623;8.548.234;-3.196.734;-373.385;-300.808;0;-937.543;-4.808.470;3.739.764;1.479.141;0;-1.199.767;-1.227.698;-371.555;97.078;326.568;-676.562;-1.572.795;2.166.969;9.502;2.176.472;-643.469;0;1.533.003;-539.000
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2006;3.960.133;1.443.484;1.431.298;865.749;0;236.380;7.937.045;-2.169.754;-186.707;-1.223.386;-74.592;-1.444.390;-5.098.829;2.838.216;1.896.449;0;-868.786;-1.313.785;-380.821;223.469;1.179.271;-1.641.770;-905.974;1.932.242;181.884;2.114.126;116.439;-212.466;2.018.099;-555.988
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2006;2.083.626;0;4.228.962;-120.213;5.108;925.608;7.123.091;-3.647.940;-353.135;0;0;14.221;-3.986.853;3.136.238;1.398.018;0;-1.519.959;-933.889;-207.661;-7.893;470.237;-1.509.268;-2.310.414;825.823;-44.168;781.656;-39.960;-42.116;699.579;-168.465
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;03/2006;2.773.767;145.387;1.000.651;263.773;0;134.212;4.317.790;-1.704.380;-180.208;-105.728;-58.627;-689.898;-2.738.840;1.578.951;590.200;0;-424.109;-854.459;-148.779;86.182;738.500;-792.573;-805.038;773.913;-8.033;765.880;-105.578;-127.445;532.857;-202.922
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;03/2006;2.634.586;192.785;795.279;385.143;5.097;168.333;4.181.224;-1.856.652;-72.478;-132.148;0;-599.460;-2.660.737;1.520.487;651.397;0;-574.820;-783.054;-194.807;-248.402;508.551;-369.663;-1.010.798;509.689;-12.707;496.983;-163.380;-79.859;253.744;-20.000
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;03/2006;1.779.856;70.181;1.750.229;425.428;0;98.910;4.124.604;-1.999.125;-172.618;-46.068;-56.069;-322.040;-2.595.920;1.528.684;672.126;0;-453.484;-648.029;-187.588;18.895;605.805;-989.235;-981.509;547.175;-7.176;539.999;20.522;-98.861;461.660;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2006;2.497.853;0;502.877;28.933;0;0;3.029.663;-449.813;-1.922.293;0;-745;-157.976;-2.530.828;498.836;9.093;0;-93.432;-28.990;-52.137;802.395;2.802.061;-2.169.308;1.269.682;1.768.518;-9.810;1.758.708;-362.326;0;1.396.382;0
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2006;1.659.725;97.315;703.469;14.374;101.231;96.330;2.672.444;-1.219.081;-32.839;-69.376;0;-461.981;-1.783.277;889.167;563.506;0;-364.577;-635.422;-109.390;39.514;108.386;-205.655;-603.637;285.530;-8.672;276.859;-70.541;-39.101;167.216;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2006;1.007.531;5.101;877.543;380.264;0;45.344;2.315.783;-1.390.452;-90.009;-3.845;-42.028;-80.010;-1.606.345;709.438;20.423;0;-64.986;-95.921;-24.498;0;101.471;-240.197;-303.707;405.731;-1.641;404.090;-172.492;1;231.597;0
