Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2023;491.388.925;561.755;11.709.841;26.524.132;31.759.902;5.861.443;1.259.227;88.629;77.764.929;110.167;2.708.459;6.730.346;9.443.521;1.697.306;10.502;0;20.700.301;916.649;12.005.496;117.475;0;0;0;0;13.039.620;122.634;25.096.427;4.703.805;458.009;99.364;34.638;0;30.514.878;22.646;8.026.801;9.890.439;6.776.944;5.156.458;4.148.656;0;34.021.944;1.297.040;5.898.402;7.310.589;7.654.647;1.071.396;236.662;24.199;23.492.936;34.690;1.725.606;3.915.493;5.730.322;2.206.870;2.220.981;57.048;15.891.011;3.179;2.211.140;2.161.092;2.148.769;274.954;120.483;0;6.919.618;2.409;1.407.173;2.687.706;2.266.560;80.834;103.386;0;6.548.068;262.495.619
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2023;331.396.266;1.492.044;11.728.569;29.635.299;48.236.493;9.174.216;428.475;627.297;101.322.393;164.055;2.359.880;6.110.544;16.722.852;13.269.260;26.484.991;515.932;65.627.514;309.275;2.708.075;478.852;7.571;0;0;15.436;3.519.209;731.967;8.001.397;3.312.071;243.619;0;0;2;12.289.056;370.775;10.010.738;20.083.684;10.241.152;4.200.757;4.041.657;37.229;48.985.992;1.567.955;10.260.435;4.251.140;5.397.907;3.066.014;4.270.043;867.788;29.681.282;155.776;1.280.572;2.792.768;5.562.390;3.810.424;14.251.623;3.586.800;31.440.354;21.599;390.724;1.264.177;1.273.911;990.967;1.160.471;41.416;5.143.265;0;17.490;245.612;1.338.545;198.663;0;0;1.800.311;31.586.890
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2023;294.902.303;1.993.627;11.773.855;26.371.838;31.833.623;6.700.614;1.573.525;24.563;80.271.645;249.455;4.795.987;10.687.099;13.620.326;2.829.076;151.187;0;32.333.130;769.727;4.932.376;438.122;0;0;0;0;6.140.225;3.054.396;22.947.551;4.256.403;630.241;200.391;3.494;0;31.092.476;19.071;9.570.933;11.005.454;5.694.825;1.425.624;1.276.067;0;28.991.975;1.750.291;6.338.565;9.769.690;4.392.366;231.629;24.036;0;22.506.577;113.674;1.741.265;4.464.001;7.573.774;3.292.280;4.908.981;85.331;22.179.305;5.068;696.243;1.260.074;424.132;218.165;82.192;0;2.685.875;43.691;145.807;1.779.211;4.738.278;233.257;112.779;1.279;7.054.302;61.646.793
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;C;1;S2;4;RIO DE JANEIRO;RJ;09/2023;274.731.782;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.051;6.565.414;17.989.661;43.172.347;45.953.474;121.055.937;35.007.523;269.788.408;0;73.386;328.205;848.173;945.235;2.746.782;1.593;4.943.375;0;0;0;0;0;0;0;0;0
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2023;220.377.911;1.745.055;7.275.484;21.452.272;37.122.903;6.250.388;1.594.169;62;75.440.333;24.411;230.823;558.757;1.139.858;395.703;106.197;0;2.455.751;444.215;2.403.618;0;0;0;0;0;2.847.833;8.678;34.959;2.241;0;0;0;0;45.877;70.465;1.035.937;2.323.990;1.407.409;93.426;0;0;4.931.228;442.591;2.247.925;3.693.102;2.220.632;514.127;491.539;480;9.610.395;3.627.971;3.305.066;9.623.243;23.440.232;19.078.760;40.746.383;4.560.636;104.382.291;28.927;218.860;2.534.035;569.870;580.621;699.399;0;4.631.711;80.103;2.255.757;5.964.148;5.683.593;796.967;1.251.667;258;16.032.493;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2023;212.572.652;506.085;5.888.975;11.017.264;13.774.162;2.411.338;856.722;11.625;34.466.171;210.411;2.122.383;5.176.247;7.839.227;1.917.776;1.963.026;847.416;20.076.486;381.939;4.403.080;1.334.670;314.444;117.024;99.257;9.605;6.660.020;168.009;18.149.089;11.233.448;197.698;68.762;72.375;5.926;29.895.308;21.951;4.825.165;7.036.604;4.002.530;407.637;73;2.660;16.296.621;1.061.654;3.566.209;6.208.761;4.142.658;1.877.109;3.030.066;23.414;19.909.871;53.635;1.097.817;2.714.883;1.614.911;456.497;154.942;142;6.092.826;5.669;315.378;4.168.970;1.911.098;516.412;130.073;1.111;7.048.710;205;5.345;2.231;4.551;1.142;2.149;0;15.623;72.111.017
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2023;73.989.625;169.175;3.891.006;8.259.882;8.441.182;1.568.786;442.946;0;22.772.977;30.321;739.777;1.702.811;2.463.539;577.596;106.100;0;5.620.144;72.341;661.148;65.300;0;0;0;0;798.790;1.454.817;7.292.903;2.346.726;16.930;0;0;0;11.111.376;1.188;1.897.066;4.618.009;2.930.901;1.548.631;578.701;0;11.574.496;451.848;776.060;1.874.057;1.329.404;375.528;2.039.002;0;6.845.898;93.451;415.864;1.533.015;1.538.049;783.333;477.616;0;4.841.328;1.675;185.541;573.912;345.292;216.374;150.308;0;1.473.102;0;20.311;188.029;553.473;13.573;0;0;775.386;8.176.129
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2023;64.404.183;11.383;697.516;3.283.565;3.583.008;589.044;426.932;0;8.591.447;40.117;5.328;9.617;8.936;747;3;0;64.749;193.409;97.986;99.981;823.258;151.325;191.939;0;1.557.898;1.908.966;9.412.586;3.944.276;367.891;15.174;6.343;0;15.655.236;0;1.060.184;3.342.296;2.445.897;138.682;0;0;6.987.059;145.833;207.941;909.033;1.119.819;128.421;27.519;255;2.538.821;0;81.066;183.839;381.734;399.843;2.498.246;1.250.171;4.794.898;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.214.075
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2023;30.380.900;798;501.446;998.624;771.423;95.078;0;0;2.367.369;0;1.254;2.301;555;0;0;0;4.109;0;14.712;149.718;0;0;0;0;164.430;16.538;7.779.973;2.028.007;171;37;0;0;9.824.726;0;3.792.725;7.626.682;2.158.822;1.986.890;751.050;0;16.316.169;26.496;737.011;306.988;0;0;0;0;1.070.495;0;0;0;0;0;0;0;0;0;376.772;221.819;35.010;0;0;0;633.601;0;0;0;0;0;0;0;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2023;28.036.203;195.451;1.544.476;3.401.142;3.180.170;392.819;10.564;14;8.724.636;7.084;323.436;838.845;1.259.604;312.437;19.034;50.388;2.810.828;61.126;860.531;885.353;1.395;0;0;0;1.808.406;570.298;7.477.024;1.408.476;24.497;146;0;0;9.480.441;19.122;1.035.071;917.710;371.007;32.181;0;0;2.375.091;8.634;16.484;19.014;17.056;1.199;0;0;62.387;824;35.467;111.716;244.660;97.281;594;0;490.543;0;56.891;84.941;42.131;1.345;0;0;185.308;0;0;0;0;0;0;0;0;2.098.565
