Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2022;142.780.197;19.092.143;161.872.340;18.431.419;180.303.758;1.104.177.095;4.113.913;626.648;15.579.044;3.782.657;24.102.264;96.590.018;1.224.869.377;2.243.645.417;11,66%;13,22%;14,72%;7,21%;19,36%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2022;122.355.487;30.868.415;153.223.902;20.535.828;173.759.731;881.751.597;18.978.017;1.872.010;7.956.719;0;28.806.746;128.827.382;1.039.385.725;2.175.065.967;11,77%;14,74%;16,72%;7,04%;16,49%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2022;119.903.004;14.367.507;134.270.511;22.051.723;156.322.234;900.057.013;3.890.056;260.515;3.847.207;1.018.364;9.016.141;79.338.983;988.412.137;1.774.994.359;12,13%;13,58%;15,82%;7,56%;24,84%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2022;105.271.742;1.713.241;106.984.983;22.761.843;129.746.827;625.314.501;212.608;0;3.317.459;46.133;3.576.200;75.730.604;704.621.305;1.620.506.824;14,94%;15,18%;18,41%;6,60%;9,34%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2022;71.910.917;7.064.279;78.975.197;13.208.010;92.183.207;553.993.851;6.031.703;804.013;12.844.394;3.603.675;23.283.786;60.073.224;637.350.862;1.058.623.272;11,28%;12,39%;14,46%;7,46%;17,55%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2022;145.482.152;0;145.482.152;36.875.288;182.357.441;414.841.590;18.444.807;0;2.101.856;0;20.546.663;71.744.859;507.133.112;805.236.583;28,69%;28,69%;35,96%;18,07%;1,12%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2022;38.680.630;387.468;39.068.099;6.643.105;45.711.204;224.504.929;1.026.641;11.127.036;36.689.349;3.870.297;52.713.324;23.527.597;300.745.850;539.905.012;12,86%;12,99%;15,20%;7,24%;27,33%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2022;15.907.169;2.977.490;18.884.658;3.382.023;22.266.681;163.910.537;513.989;0;4.186.802;722.542;5.423.333;10.874.311;180.208.181;280.447.832;8,83%;10,48%;12,36%;6,73%;35,55%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2022;11.939.899;0;11.939.899;0;11.939.899;54.502.845;1.112.504;0;11.535.364;59.614;12.707.482;12.187.536;79.397.864;131.856.060;15,04%;15,04%;15,04%;9,06%;2,59%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;09/2022;8.488.888;790.489;9.279.377;1.597.823;10.877.200;64.358.979;309.215;7.718;0;123.250;440.184;13.981.902;78.781.065;115.096.094;10,78%;11,78%;13,81%;8,06%;2,55%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;09/2022;9.968.923;2.185.896;12.154.820;924.033;13.078.853;68.461.244;128.415;0;767.072;0;895.487;7.295.298;76.652.029;151.779.943;13,01%;15,86%;17,06%;8,01%;10,31%
