Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2008;5.632.972;54.260.251;70.326.892;176.330.305;-10.772.618;165.557.687;48.531;2.271.058;497.639;-35.772;2.781.456;57.107.142;42.481.271;5.818.360;403.966.031;497.639;403.468.392
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2008;4.928.334;73.668.884;42.428.398;125.361.636;-8.103.937;117.257.699;95.667;20.689.882;5.881.418;-424.838;26.242.129;36.317.255;32.129.993;21.258.937;354.231.628;5.881.418;348.350.211
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2008;5.583.465;67.187.356;43.964.549;88.119.146;-6.618.024;81.501.122;1.691.672;57.762.516;23.604.522;-1.177.866;81.880.845;46.609.744;25.728.763;10.743.051;363.198.895;23.604.522;339.594.373
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2008;2.107.823;16.942.596;116.319.337;63.578.791;-5.454.244;58.124.547;0;0;0;0;0;13.895.790;54.359.652;2.643.151;264.392.895;0;264.392.895
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2008;1.155;32.674;11.932.616;82.443.018;-1.687.949;80.755.069;0;0;0;0;0;5.313.366;102.413.485;18.149.910;218.598.275;0;218.598.275
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2008;1.554.234;39.501.487;26.544.878;54.739.813;-3.162.965;51.576.848;843.912;12.717.550;5.048.305;-291.443;18.318.323;19.939.167;9.835.465;7.490.443;174.760.845;5.048.305;169.712.541
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2008;1.928.227;15.797.304;23.419.718;59.864.046;-3.288.703;56.575.342;178.797;13.145.490;4.431.513;-190.073;17.565.727;37.374.942;14.018.059;1.963.524;168.642.844;4.431.513;164.211.331
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2008;1.588.187;24.923.063;22.095.980;41.920.918;-1.785.028;40.135.890;6.266;858.936;216.320;-7.213;1.074.309;25.797.821;9.130.185;2.759.262;127.504.697;216.320;127.288.377
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2008;1.232.320;12.987.618;15.381.108;30.317.702;-1.626.527;28.691.175;34.526;4.644.085;1.397.660;-91.464;5.984.807;23.600.107;8.730.949;2.278.987;98.887.071;1.397.660;97.489.411
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2008;119.238;12.958.590;22.177.323;32.510.722;-646.658;31.864.063;8.207;624.527;187.989;-10.032;810.690;3.710.202;2.084.808;94.618;73.819.534;187.989;73.631.545
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2008;255.682;6.301.831;17.576.862;20.520.415;-556.333;19.964.082;87.887;10.971.076;4.648.000;-254.157;15.452.807;4.085.202;1.876.701;829.352;66.342.518;4.648.000;61.694.518
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2008;369.087;1.886.072;30.213.002;10.469.309;-737.790;9.731.520;0;0;0;0;0;2.727.942;8.635.144;448.082;54.010.850;0;54.010.850
