Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2023;1.086.471.027;492.395.814;144.276.259;184.530.676;48.759.374;215.997.407;511.497;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2023;985.633.732;396.414.807;49.546.580;79.519.741;21.463.691;96.290.040;552.560;341.846.313
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2023;925.189.502;338.305.668;167.340.936;143.509.126;68.552.575;170.373.118;381.936;36.726.143
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2023;651.203.671;299.619.050;57.729.220;95.109.733;33.508.095;96.932.298;331.514;67.973.762
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2023;502.937.192;252.349.465;37.026.924;56.460.357;17.965.866;62.993.400;214.033;75.927.147
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;C;1;S2;4;RIO DE JANEIRO;RJ;09/2023;274.734.480;162.455.430;29.936.378;41.318.645;5.673.708;30.892.120;4.458.199;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2023;109.503.336;54.910.430;10.389.384;12.556.090;3.975.540;19.395.293;60.609;8.215.990
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2023;105.693.919;45.236.999;9.560.025;10.397.521;4.450.588;11.149.725;390.796;24.508.264
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2023;69.185.669;32.578.387;7.237.272;10.537.388;3.558.630;14.481.218;14.157;778.615
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2023;52.452.484;4.865.083;685.387;1.597.275;514.368;44.708.316;6.874;75.181
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2023;44.737.048;24.047.746;4.345.871;5.605.968;2.346.736;6.288.303;3.861;2.098.565
