Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;03/2013;5.017.131;1.427.936;2.254.998;995.725;181.743;54.852;13.351;8.688;10.190;69.648;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2013;4.986.415;917.388;1.473.858;1.576.515;458.378;77.787;3.038;25.508;54.328;93.464;306.150
BANCO CNH CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2013;4.285.216;223.086;1.438.249;1.161.424;936.369;251.166;18.857;44.173;14.819;197.074;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;03/2013;3.642.041;1.900.138;963.720;312.863;201.753;120.052;25.155;14.382;24.756;79.223;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;03/2013;3.453.717;79.023;2.245.277;733.666;293.986;46.785;17.375;7.436;17.035;13.136;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;03/2013;3.340.506;502.113;1.028.263;1.167.909;486.555;53.614;34.328;14.890;14.550;38.284;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;03/2013;3.190.303;651.226;1.134.089;716.187;543.959;57.614;17.384;19.694;5.462;44.689;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;03/2013;3.187.777;485.965;1.986.112;250.212;96.680;62.366;38.325;30.849;28.079;209.189;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2013;2.988.286;1.268.409;504.973;485.229;498.945;132.186;27.874;20.322;3.372;46.976;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;03/2013;2.772.474;0;2.150.348;90.029;75.181;84.079;57.536;47.588;39.717;227.997;0
TOYOTA;51.334;b2;C;3;;198;SAO PAULO;SP;03/2013;2.688.425;283.506;1.765.983;318.797;215.445;66.210;9.164;5.376;5.748;18.196;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;03/2013;2.659.120;1.531.840;109.742;308.426;44.963;97.723;0;0;0;0;566.426
BONSUCESSO;50.706;b1;C;2;;199;BELO HORIZONTE;MG;03/2013;2.625.067;33;2.157.533;120.960;102.711;77.020;25.066;42.383;11.788;87.573;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;03/2013;2.575.930;563.234;1.082.292;687.311;125.454;53.917;16.543;10.099;9.031;28.048;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;03/2013;2.517.792;43.892;984.300;850.730;307.164;49.044;108.240;42.840;4.498;23.660;103.425
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;03/2013;2.509.693;1.344.034;571.653;229.652;112.454;211.721;16.693;6.448;489;16.549;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;03/2013;2.506.530;0;1.935.474;404.087;65.591;19.319;14.893;14.145;8.801;44.220;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;03/2013;2.410.100;14.016;2.115.434;80.342;44.929;26.652;20.887;18.889;16.597;72.353;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;;8;BELEM;PA;03/2013;2.314.904;0;2.043.714;26.488;75.587;118.825;5.216;11.409;4.287;29.378;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;03/2013;2.165.315;40.770;887.199;412.369;612.392;71.044;34.770;22.067;16.132;68.572;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;03/2013;2.145.594;431.223;1.405.441;125.106;27.545;67.785;16.467;3.622;8.619;59.787;0
