Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;06/2013;1.091.518.716;551.385.573;1.028.335.815;850.549.794;63.182.901;10.120.867;116.351.017;15,92%;22,79%;5.406;1.578
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2013;990.297.225;379.017.029;906.052.895;687.928.543;84.244.330;6.166.891;121.819.213;18,31%;47,35%;3.966;872
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2013;814.487.216;431.298.316;788.874.665;684.540.444;25.612.551;3.140.602;58.173.320;14,70%;13,03%;3.085;677
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2013;770.792.629;305.220.427;704.575.890;588.795.753;66.216.739;5.878.731;92.333.301;15,35%;44,29%;4.719;1.402
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2013;710.025.612;264.989.435;669.853.664;449.884.843;40.171.948;3.261.494;96.035.243;16,18%;44,47%;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;06/2013;478.124.605;217.920.300;413.515.186;301.449.420;64.609.419;1.170.839;68.481.850;21,52%;32,32%;2.717;1.326
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2013;143.804.238;59.991.830;133.666.413;90.907.511;10.137.826;454.641;12.552.051;13,53%;33,44%;870;404
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2013;131.084.907;50.133.203;124.008.053;98.881.739;7.076.854;598.484;9.351.764;14,52%;23,27%;105;7
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2013;124.940.744;13.356.453;113.962.918;85.934.144;10.977.826;1.224.796;15.674.102;18,58%;33,35%;10;0
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2013;113.863.414;55.748.013;106.733.027;77.864.524;7.130.386;-474.151;10.793.059;13,90%;2,88%;114;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2013;61.466.156;22.601.688;53.747.468;27.121.914;7.718.688;438.944;7.648.147;15,19%;15,01%;135;17
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2013;52.770.327;25.182.422;47.881.789;40.379.513;4.888.538;419.689;6.548.754;17,87%;8,44%;491;224
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2013;43.637.685;982.233;40.113.034;22.643.603;3.524.651;24.855;3.524.651;24,54%;2,11%;8;1
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2013;39.227.176;3.843.350;36.109.669;29.215.138;3.117.507;211.280;4.211.286;15,79%;28,47%;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2013;33.794.233;11.624.632;31.275.919;16.997.537;2.518.314;200.028;4.984.394;16,47%;4,58%;213;5
