Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2013;544.295.298;281.006.626;71.263.811;99.534.696;17.882.267;3.610.141;6.481.149;2.276.457;2.030.087;11.955.708;48.254.355
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2013;455.497.343;50.875.257;244.304.316;55.471.415;72.300.597;10.494.207;4.183.434;2.193.400;1.579.086;14.095.630;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2013;403.608.352;149.072.909;89.947.836;25.156.194;15.207.873;6.593.887;3.277.290;2.613.491;3.097.798;12.770.485;95.870.590
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2013;339.584.329;34.664.047;118.292.837;52.784.256;47.505.989;8.164.078;2.632.417;2.075.337;1.642.709;10.601.390;61.221.270
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2013;267.946.626;104.465.396;103.545.099;49.389.565;9.144.299;410.608;768.823;0;0;222.835;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2013;221.693.806;39.125.350;104.743.812;19.870.846;13.537.785;5.194.619;2.135.694;3.661.710;1.393.407;8.550.273;23.480.310
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2013;61.679.687;21.332.330;21.071.194;5.070.482;2.236.254;981.652;445.616;389.904;444.466;2.406.476;7.301.314
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2013;59.221.244;4.696.924;28.682.758;9.904.147;8.121.149;1.329.805;1.209.865;489.009;521.764;2.164.051;2.101.773
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2013;49.954.582;29.861.743;8.500.726;1.932.088;786.445;253.716;225.870;181.622;141.800;845.518;7.225.053
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2013;24.712.537;3.478.880;9.412.746;4.915.826;4.044.291;1.181.741;477.319;126.459;316.382;606.942;151.951
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2013;22.906.845;4.919.349;9.546.181;3.534.930;1.491.824;1.215.515;409.235;295.657;249.293;1.244.861;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2013;22.244.323;458.840;15.643.690;2.975.182;1.754.005;334.367;318.863;99.254;93.923;566.199;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2013;21.349.450;0;19.156.613;774.885;315.889;221.812;138.323;110.705;115.747;515.476;0
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;09/2013;14.104.588;512.961;9.090.231;1.886.287;949.835;386.448;201.424;151.237;149.823;776.342;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2013;13.845.184;1.305.426;4.655.699;1.624.356;1.116.874;212.874;118.232;18.106;25.965;197;4.767.454
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2013;11.497.848;3.889.787;3.879.415;2.142.278;421.888;150.772;186.720;142.166;140.668;544.155;0
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;09/2013;10.758.149;4.419.940;3.329.839;1.080.673;609.562;234.523;181.557;115.652;46.039;234.004;506.360
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2013;10.175.316;9.703.767;357.245;16.326;58.544;7.409;13.010;0;0;19.015;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;09/2013;10.040.100;73.090;3.605.819;5.537.114;390.590;196.246;79.025;29.795;32.721;95.698;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2013;9.401.148;5.194;8.307.974;394.319;520.261;45.445;32.494;24.959;21.857;48.646;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;09/2013;9.313.932;404.729;2.352.709;3.461.283;1.001.279;111.317;27.918;6.379;9.670;51.818;1.886.829
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2013;9.305.973;1.716.437;5.128.366;986.349;259.326;488.763;153.306;125.001;114.119;334.307;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;09/2013;8.977.722;3.468.657;4.330.966;632.690;213.067;51.403;61.529;26.226;122.971;70.212;0
FIBRA;49.951;b1;I;2;;199;SAO PAULO;SP;09/2013;8.133.696;184.336;3.513.714;1.630.787;345.317;128.441;71.087;51.613;70.012;213.869;1.924.520
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2013;8.093.626;854.750;2.387.834;4.181.204;195.139;60.752;2.773;37.431;17.411;33.451;322.880
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2013;7.964.413;115.716;3.554.830;3.392.528;263.290;146.940;107.864;60.863;49.859;271.372;1.150
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;09/2013;7.629.729;761.861;5.033.570;1.589.734;169.949;35.903;5.728;5.785;4.387;22.814;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2013;7.434.025;4.301.982;1.492.136;627.892;364.234;251.216;117.988;46.032;47.099;185.446;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;09/2013;6.941.213;4.341.955;2.283.269;223.582;52.100;9.559;4.184;2.561;1.802;22.203;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2013;6.273.639;1.160.987;4.404.935;229.510;99.452;63.088;43.456;47.019;40.777;184.414;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;09/2013;5.612.890;1.525.414;2.487.802;1.237.590;160.913;65.313;18.606;11.109;15.621;90.522;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;09/2013;5.592.985;753.681;1.553.136;2.048.762;360.874;198.114;40.209;65.873;49.295;34.804;488.237
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2013;5.408.900;0;3.975.804;508.617;462.352;185.524;27.786;33.963;29.042;185.812;0
