Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;06/2022;18.940.535;19.912;594.000;1.628.239;3.220.728;1.984.679;973.225;0;8.420.782;30.758;389.341;805.169;1.145.604;432.521;167.075;0;2.970.468;832;51.684;143.149;261.000;80.141;332;0;537.138;0;0;0;0;0;0;0;0;1.090.095;4.064.288;1.669.439;23.050;3;0;0;6.846.876;0;0;0;0;0;0;0;0;22.869;17.020;68.598;50.445;1.542;4.048;749;165.272;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2022;16.980.129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.663;410.377;938.757;1.005.355;541.803;359.508;404;3.272.868;83.059;1.309.494;4.310.860;4.865.922;2.244.144;892.665;1.116;13.707.261;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;06/2022;15.938.193;0;0;0;0;0;0;0;0;670.219;3.761.432;5.184.086;1.344.742;11.233;33;0;10.971.745;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.917.804;2.507.495;519.712;21.421;17;0;0;4.966.448;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;06/2022;15.365.901;14.682;341.975;938.382;1.807.382;1.076.442;594.990;14;4.773.868;328.741;435.164;596.969;478.433;185.016;119.537;3;2.143.863;18;13;26;37;1;0;0;95;0;0;0;0;0;0;0;0;362.480;3.065.654;1.127.742;1.426.557;685.325;67.588;0;6.735.346;0;0;0;0;0;0;0;0;354;773;18.865;10.087;2.116;1.917;0;34.111;1.678.619
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;06/2022;15.296.638;0;82.828;218.826;379.827;177.006;73.121;0;931.608;0;30;114;122;54;36;0;355;0;1.798;3.790;3.237;843;1.157;0;10.825;0;21.665;50.078;130.902;128.345;581.628;583.330;1.495.948;0;0;0;0;0;0;0;0;0;1.161.616;1.336.926;3.960.957;3.265.578;3.047.874;0;12.772.951;303;11.096;24.783;42.124;6.466;179;0;84.951;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;06/2022;14.856.858;19.285;229.195;662.777;1.379.777;986.671;759.046;40;4.036.790;19.328;74.627;102.097;87.518;30.423;15.121;0;329.114;0;0;0;0;0;0;0;0;9.184;69.681;157.239;401.736;373.745;1.474.392;1.082.507;3.568.483;726.998;3.850.152;1.117.678;53.863;3.933;0;19;5.752.643;1.089;41.589;122.430;42.195;0;0;0;207.303;14.102;69.815;130.249;228.140;149.233;340.770;30.215;962.526;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;06/2022;13.977.424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.389.580;7.438.760;3.460.723;688.166;195;0;0;13.977.424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;06/2022;13.104.136;3.027;12.269;35.483;42.998;8.104;62;0;101.942;10.549;38.769;82.102;39.660;1.647;3;0;172.729;58.014;241.465;609.839;871.092;125.518;207;0;1.906.134;0;0;0;0;0;0;0;0;901.648;6.423.599;3.241.023;209.113;47.666;5;0;10.823.053;0;0;0;0;0;0;0;0;1.159;13.370;35.061;45.555;5.130;2;0;100.277;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;06/2022;12.926.627;4.211;131.549;346.733;762.756;473.979;223.033;0;1.942.261;1.325;30.955;82.200;149.955;73.704;24.783;0;362.922;0;0;2;2;0;0;0;4;467;12.733;27.248;72.127;72.802;344.112;392.951;922.440;80.198;1.091.425;5.284.935;126.957;315;0;0;6.583.830;0;167.929;401.133;956.982;796.992;761.097;0;3.084.133;71;1.384;3.947;7.529;6.724;11.380;0;31.037;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;06/2022;12.873.588;0;0;0;0;0;0;0;0;6.175;621.135;1.157.881;1.529.418;5.646.019;382.040;0;9.342.667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.748;2.566.360;906.488;8.474;0;0;0;3.496.070;0;0;0;0;0;0;0;0;274;194;161;4.604;18.557;11.059;0;34.850;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2022;12.332.444;95.570;632.081;1.728.139;3.293.538;1.962.642;1.006.859;0;8.718.829;10.611;34.475;217.024;36.111;4.764;782;0;303.767;55.475;241.217;569.607;778.876;105.777;0;0;1.750.953;0;409;1.287;2.768;2.012;4.008;445;10.929;54.854;661.965;24.374;3.814;1.093;350;0;746.451;0;0;0;0;0;0;0;0;1.108;254.840;226.563;231.276;45.427;39.458;2.845;801.515;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;06/2022;11.179.895;0;0;0;0;0;0;0;0;225.985;472.551;827.234;949.494;312.089;38.882;0;2.826.235;0;0;0;0;0;0;0;0;2;19;48;75;81;180;23;428;795.002;2.149.057;701.451;17.468;2.207;833;0;3.666.019;0;73.345;43.189;93.939;0;0;0;210.473;414.638;572.353;1.442.706;1.448.932;538.648;2.853;56.611;4.476.741;0
