Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2022;133.651.916;17.593.343;151.245.259;17.711.597;168.956.856;1.085.016.608;4.208.327;570.090;15.489.804;2.936.470;23.204.691;93.398.968;1.201.620.267;2.102.762.323;11,12%;12,59%;14,06%;7,19%;18,96%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2022;115.824.783;13.810.816;129.635.599;22.868.396;152.503.995;890.743.480;4.028.905;200.875;3.241.259;1.169.545;8.640.583;75.255.092;974.639.156;1.591.967.226;11,88%;13,30%;15,65%;8,14%;26,03%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2022;120.266.421;28.174.250;148.440.671;20.535.828;168.976.500;827.806.205;9.699.054;2.219.464;8.408.131;0;20.326.648;115.153.100;963.285.953;2.105.490.916;12,49%;15,41%;17,54%;7,05%;15,03%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2022;99.669.975;1.713.241;101.383.216;22.872.379;124.255.595;585.604.343;471.383;0;3.669.520;43.406;4.184.308;76.516.569;666.305.220;1.551.131.363;14,96%;15,22%;18,65%;6,54%;9,09%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2022;69.626.553;6.723.711;76.350.265;12.659.084;89.009.349;547.026.002;5.972.648;559.002;11.603.558;2.764.589;20.899.796;59.663.311;627.589.109;1.017.354.950;11,09%;12,17%;14,18%;7,50%;17,46%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2022;137.740.775;0;137.740.775;36.875.288;174.616.064;404.941.072;54.049.685;0;2.430.853;0;56.480.538;61.134.468;522.556.078;834.379.181;26,36%;26,36%;33,42%;16,51%;1,19%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2022;37.208.618;399.561;37.608.179;5.113.275;42.721.454;217.914.974;1.067.507;14.425.797;19.198.250;5.241.744;39.933.298;23.555.297;281.403.569;526.279.561;13,22%;13,36%;15,18%;7,15%;29,98%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2022;15.189.724;2.946.459;18.136.183;3.422.352;21.558.535;148.832.840;233.026;0;6.528.716;844.484;7.606.226;10.151.253;166.590.319;268.778.209;9,12%;10,89%;12,94%;6,75%;35,53%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2022;11.301.439;0;11.301.439;0;11.301.439;53.525.243;1.816.459;0;9.855.523;304.253;11.976.235;12.069.662;77.571.140;133.630.678;14,57%;14,57%;14,57%;8,46%;2,63%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;06/2022;8.037.138;790.489;8.827.627;1.597.823;10.425.450;62.222.178;186.606;5.655;0;132.179;324.440;13.231.115;75.777.733;114.855.627;10,61%;11,65%;13,76%;7,69%;2,64%
