Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2006;1.823.291;10.291;1.643.235;640.504;0;90.675;4.207.996;-2.585.645;-181.944;-7.609;-35.090;-191.835;-3.002.123;1.205.873;196.903;0;-129.060;-205.712;-59.402;0;160.827;-422.760;-459.202;746.672;-4.143;742.529;-191.000;-74.763;476.766;-174.953
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2006;1.295.301;0;1.723.207;-12.005;0;186.618;3.193.121;-1.329.916;-49.118;0;-3.232;-343.011;-1.725.277;1.467.843;296.798;0;-568.038;-491.316;-118.196;716;115.010;-193.212;-958.238;509.606;-22.468;487.138;-171.729;-25.510;289.899;-91.563
BANKBOSTON;30300;b1;;C;3;SAO PAULO;SP;06/2006;1.070.538;169.585;464.098;-105.973;375.655;30.905;2.004.807;-552.225;-293.012;-132.256;0;-166.191;-1.143.684;861.123;288.704;0;-360.028;-323.283;-48.275;61.954;404.146;-788.718;-765.500;95.623;22.070;117.693;-130.922;-18.028;-31.258;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2006;809.112;14.712;413.986;-1.993;400.528;266.484;1.902.828;-570.636;-96.888;-10.977;0;-75.347;-753.848;1.148.980;241.235;0;-350.814;-247.948;-64.532;936;115.786;-546.667;-852.005;296.976;880;297.856;-108.881;-30;188.945;-100.000
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2006;1.103.559;23.060;541.643;-107.375;216.450;21.725;1.799.062;-402.824;-57.230;-18.740;0;-244.481;-723.276;1.075.787;476.653;0;-340.845;-678.418;-109.240;30.306;212.958;-377.437;-786.022;289.764;-1.760;288.005;-530.039;-12.004;-254.038;0
PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;06/2006;14.085;0;1.386.678;128.985;17.699;110;1.547.557;-997.022;-28.629;0;0;549;-1.025.102;522.455;242.722;0;-18.236;-36.595;-34.481;46.922;41.336;-61.570;180.099;702.554;8.315;710.868;-204.703;-68.126;438.040;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2006;172.060;1.238;663.849;66.866;60.466;0;964.479;-790.899;-125.315;-529;0;-16.734;-933.477;31.002;7.935;0;-23.029;-28.833;-3.317;4.735;104.832;-57.541;4.783;35.785;-4.589;31.196;-3.775;0;27.422;-17.329
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2006;745.608;7.207;123.192;-220.346;254.660;0;910.320;-295.753;-9.002;-5.226;0;-119.179;-429.160;481.160;10.686;0;-23.603;-226.317;-27.970;11;10.852;-44.628;-300.969;180.191;630;180.821;-46.390;-9.959;124.471;-34.400
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2006;20.746;0;721.824;126.224;18.620;200;887.614;-478.962;-3.309;0;0;-2.255;-484.526;403.088;400.644;0;-27.284;-33.093;-40.694;-8.641;81.961;-73.372;299.520;702.608;0;702.608;-245.166;-1.384;456.059;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2006;295.767;0;568.763;847;10.345;2.843;878.566;-145.390;-385.448;0;0;-55.515;-586.352;292.214;333.137;0;-288.395;-193.727;-39.157;0;261.444;-236.231;-162.930;129.284;4.131;133.414;-53.598;-3.385;76.431;0
SS;31323;b1;;C;2;SAO PAULO;SP;06/2006;644.230;140.283;37.907;64;0;150;822.633;-160.676;-24;-75.582;-4;-175.572;-411.857;410.776;17.121;0;-13.364;-361.526;-28.632;6.296;59.429;-8.053;-328.729;82.047;-31.354;50.693;-13.223;0;37.470;-5.085
BBM;30207;b1;;C;2;SALVADOR;BA;06/2006;124.696;0;632.170;-19.346;33.351;778;771.650;-644.942;-49.184;0;0;-3.027;-697.152;74.497;11.932;0;-16.460;-30.298;-7.048;24.195;77.677;-21.796;38.202;112.699;-2;112.697;-25.717;-28.812;58.168;-19.951
