Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;670.228.054;115.092.692;313.295.586;74.099.673;28.305.537;76.923.640;2.128.699;60.382.228
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;642.012.132;118.209.033;319.183.787;100.292.441;26.540.409;76.037.955;1.748.507;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;526.086.863;48.070.090;211.534.101;41.714.478;12.062.578;20.872.852;7.494.302;184.338.463
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;405.537.565;46.268.955;168.673.786;42.388.401;14.293.357;24.896.648;6.705.500;102.310.918
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2015;356.973.376;25.930.574;218.532.082;40.910.959;6.102.949;34.401.971;31.094.842;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;253.734.657;32.442.679;145.961.990;21.084.386;5.238.404;13.898.567;1.882.832;33.225.798
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;68.522.506;14.567.151;31.835.558;4.348.434;2.029.180;5.441.634;1.213.384;9.087.164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;54.724.712;7.188.903;25.887.446;4.283.499;1.224.691;3.310.564;1.081.515;11.748.094
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;52.681.205;10.073.359;25.720.443;7.808.593;1.957.221;3.894.279;585.212;2.642.099
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;30.019.808;23.173.496;4.456.224;1.182.264;368.008;418.366;225.382;196.069
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;20.313.832;4.305.040;8.944.319;3.871.468;1.227.432;1.950.961;14.611;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;18.719.461;395.218;7.765.783;860.642;675;2.680.911;22.757;6.993.474
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;18.171.447;2.383.696;8.914.572;3.079.112;1.140.580;2.411.597;241.890;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;06/2015;17.449.790;2.940.279;12.092.879;939.402;406.302;959.981;110.948;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;06/2015;13.854.279;147.720;2.511.507;10.437.495;152.220;560.496;44.840;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;06/2015;13.557.562;1.094.022;5.370.605;1.372.642;22.449;5.697.844;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;06/2015;12.935.240;1.815.714;5.323.870;570.697;191.426;831.916;4.307;4.197.310
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;06/2015;12.820.941;9.180.592;44.089;4.343;44.661;3.539.029;8.227;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;06/2015;11.920.776;11.043.444;569.207;21.897;3.230;281.602;1.396;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;06/2015;11.764.347;1.748.891;5.788.379;2.173.872;579.222;1.297.943;92.073;83.967
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;06/2015;10.721.894;2.144.748;5.943.461;1.521.464;340.332;771.647;242;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;10.715.424;2.074.495;4.314.927;2.298.375;822.839;1.197.137;7.651;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;06/2015;10.596.351;1.457.366;6.448.065;1.057.599;408.411;816.064;408.847;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;06/2015;9.912.735;2.287.402;6.112.971;133.610;538.276;740.388;100.089;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;06/2015;9.386.922;27.785;466.546;78.726;30.164;8.771.817;11.885;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;06/2015;8.591.845;1.570.423;3.421.940;1.503.846;163.516;1.100.707;28.003;803.411
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;06/2015;8.575.498;515.552;6.067.796;1.226.646;137.302;404.688;223.514;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;06/2015;7.815.525;863.781;4.270.442;775.998;573.461;1.155.097;176.747;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;06/2015;7.767.219;1.409.466;4.305.824;774.087;312.374;924.113;41.355;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;06/2015;6.569.911;288.440;2.520.297;100.782;6.163;244.256;0;3.409.973
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;06/2015;6.253.240;2.382.965;1.460.799;524.956;253.672;1.629.865;982;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;06/2015;5.483.675;19.436;5.380.494;43.544;1.711;38.482;9;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;06/2015;5.399.371;647.157;3.047.010;387.985;59.709;361.557;181;895.771
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;06/2015;5.355.244;1.254.938;702.928;537.738;252.757;2.602.025;4.858;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;06/2015;4.777.068;1.783.682;1.430.503;445.863;148.257;966.814;1.949;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;06/2015;4.379.773;340.598;2.488.219;408.805;121.397;324.682;696.074;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;06/2015;4.334.077;858.702;1.903.574;803.873;225.951;541.943;34;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;06/2015;4.198.548;247.891;3.254.332;302.801;50.015;188.270;155.239;0
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;06/2015;4.186.768;7.591;4.034.543;42.701;61.993;10.279;29.660;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;06/2015;4.008.086;1.338.537;1.454.984;511.857;243.852;458.854;2;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;;8;SAO PAULO;SP;06/2015;3.947.890;671.486;1.545.243;831.178;350.810;547.682;1.490;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;06/2015;3.840.662;155.593;2.424.303;60.137;4.543;143.589;0;1.052.497
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;06/2015;3.838.842;474.649;1.863.763;466.967;56.213;423.121;14.802;539.327
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;06/2015;3.809.694;197.838;3.389.284;120.637;52.985;48.950;1;0
J.MALUCELLI;30.881;b1;C;2;;199;CURITIBA;PR;06/2015;3.797.791;2.437.313;978.683;126.405;25.899;136.367;93.124;0
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;06/2015;3.785.770;279.656;3.320.454;104.787;11.619;46.579;22.677;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;;2;BELEM;PA;06/2015;3.762.511;71.295;1.265.938;488.045;1.136.798;797.091;3.344;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;;30;PORTO ALEGRE;RS;06/2015;3.625.600;3.471.842;142.410;212;913;10.217;7;0
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;06/2015;3.515.358;970.321;1.332.691;483.667;375.173;353.498;7;0
HONDA;51.396;b2;C;3;;198;SAO PAULO;SP;06/2015;3.325.163;265.787;1.214.276;941.123;360.358;526.523;17.094;0
