Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;06/2007;54.049;1.982.828;6.131.537;3.796.204;-273.050;3.523.154;0;0;0;0;0;752.684;241.929;192.561;12.878.742;0;12.878.742
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2007;9.219;4.457.331;3.595.079;2.966.629;-75.845;2.890.784;0;17.558;17.251;-2;34.807;970.624;108.445;102.456;12.168.745;17.251;12.151.494
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2007;7.197;43.344;5.665.348;4.423.281;-74.501;4.348.780;6.192;536.300;134.975;-6.592;670.874;783.573;239.967;208.374;11.967.455;134.975;11.832.481
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2007;6.624;2.393.171;6.630.944;245.183;-195;244.988;0;-106;0;0;-106;1.108.451;50.652;92.900;10.527.624;0;10.527.624
ING;51073;b1;;C;3;SAO PAULO;SP;06/2007;4.266;2.546.601;986.587;241.558;0;241.558;0;0;0;0;0;6.498.395;1.013;34.110;10.312.530;0;10.312.530
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2007;4.912;150.056;4.806.768;270.987;0;270.987;0;0;0;0;0;3.923.182;94.036;97.005;9.346.946;0;9.346.946
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2007;71.880;127.374;2.289.990;4.836.414;-108.177;4.728.238;141;26.318;2.243;-1.599;27.103;1.248.589;330.352;42.909;8.866.434;2.243;8.864.191
VOLKSWAGEN;30764;b2;;C;3;SAO PAULO;SP;06/2007;4.514;35.225;0;5.892.764;-300.734;5.592.030;13.521;473.760;130.307;-19.763;597.825;377.167;9.635;304.809;6.921.205;130.307;6.790.898
BANESTES;30159;b1;;C;1;VITORIA;ES;06/2007;63.773;2.380.615;1.141.937;1.467.540;-120.960;1.346.580;626;132.714;48.393;-5.581;176.152;525.078;893.171;122.625;6.649.931;48.393;6.601.539
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;06/2007;58.253;1.563.304;297.124;2.941.102;-184.689;2.756.412;175;35.774;7.347;-300;42.996;658.776;379.722;223.286;5.979.872;7.347;5.972.525
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;06/2007;46.735;433.556;3.020.165;1.027.988;-47.576;980.411;0;0;0;0;0;738.207;177.763;282.235;5.679.073;0;5.679.073
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;06/2007;5.140;3.303.155;477.573;1.546.834;-1.398;1.545.436;0;0;0;0;0;44.295;69.561;63.164;5.508.324;0;5.508.324
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;06/2007;72.693;760.598;530.064;3.503.133;-224.402;3.278.731;540;32.095;5.645;-389;37.891;356.024;232.791;85.224;5.354.017;5.645;5.348.372
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;06/2007;33.557;2.019.234;732.469;2.003.384;-44.121;1.959.263;0;0;0;0;0;217.611;74.224;51.499;5.087.858;0;5.087.858
BESC;30245;b1;;C;1;FLORIANOPOLIS;SC;06/2007;51.073;446.584;3.061.168;622.822;-28.104;594.718;0;0;0;0;0;180.152;682.233;37.910;5.053.838;0;5.053.838
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;06/2007;780;121.710;0;2.751.050;-54.610;2.696.440;2.116;1.258.560;443.959;-15.785;1.688.851;574.773;170.801;138.938;5.392.292;443.959;4.948.332
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;06/2007;6.179;731.895;2.431.751;1.238.813;-65.539;1.173.274;0;0;0;0;0;427.139;673;13.459;4.784.372;0;4.784.372
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;06/2007;238;0;1.005.801;3.573.937;-158.548;3.415.389;0;0;0;0;0;204.785;2.039;20.306;4.648.558;0;4.648.558
