Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2014;591.625.606;315.787.452;79.542.794;100.117.115;19.394.762;3.486.584;7.572.232;2.897.066;1.868.183;12.688.911;48.270.507
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2014;505.793.304;145.467.468;217.069.395;54.233.763;50.618.896;13.994.402;5.128.310;2.090.812;1.696.982;15.493.276;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2014;443.780.405;147.064.779;103.395.282;24.756.070;13.432.029;5.786.567;3.041.711;2.536.592;2.826.641;11.265.461;129.675.273
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2014;363.048.286;36.938.667;121.016.842;59.996.331;45.727.093;6.514.084;3.320.921;2.205.828;1.722.935;9.917.839;75.687.746
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2014;285.197.016;108.450.623;107.485.387;58.900.209;8.959.135;334.088;709.784;26.511;0;331.278;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2014;223.691.721;39.724.920;107.939.236;18.906.574;13.878.860;5.180.998;2.663.873;4.360.329;1.468.003;7.714.646;21.854.283
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2014;62.914.831;27.082.877;16.946.333;5.661.306;1.825.470;747.370;296.327;395.724;424.926;2.368.672;7.165.826
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2014;56.648.667;3.298.340;29.190.918;8.633.545;7.227.656;1.538.003;737.422;683.594;1.329.233;2.012.792;1.997.164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2014;54.702.243;33.752.671;8.006.568;1.768.580;993.157;331.183;203.534;130.872;98.701;741.274;8.675.703
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2014;26.376.144;3.713.013;10.646.101;5.554.313;3.861.698;919.338;353.339;338.735;101.785;728.950;158.872
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2014;23.869.627;5.614.211;10.026.011;3.275.316;1.209.329;1.408.615;443.072;321.042;243.928;1.328.101;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2014;21.339.235;353.742;15.274.921;2.717.197;1.671.075;394.454;273.100;140.003;65.805;448.939;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2014;16.556.952;0;14.417.093;779.487;342.385;193.523;113.736;106.596;111.409;492.722;0
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;03/2014;16.137.838;0;11.241.564;2.205.516;1.045.552;485.125;205.719;163.992;131.408;658.962;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2014;14.539.755;1.049.177;3.661.214;2.261.501;2.631.371;286.840;100.684;39.666;46.903;21.766;4.440.632
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2014;11.724.627;4.229.391;3.941.201;2.211.508;193.898;137.997;127.666;75.332;201.953;605.681;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2014;11.582.204;11.186.117;337.317;7.882;18.847;5.000;13.282;0;0;13.758;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2014;10.489.719;284.776;2.995.781;3.868.423;867.518;78.029;26.428;14.174;21.873;43.120;2.289.598
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2014;10.410.952;13.864;9.179.178;436.004;590.225;51.908;33.441;21.625;18.970;65.738;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2014;10.336.732;4.014.944;5.193.262;603.714;197.334;56.301;29.232;20.874;133.057;88.014;0
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;03/2014;10.336.646;4.066.513;3.050.725;1.031.509;944.989;248.696;287.234;109.736;59.187;152.399;385.657
