Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2021;471.365.839;225.405;13.702.301;26.790.958;38.201.844;8.980.894;1.436.008;140.764;89.478.174;25.340;1.553.864;4.201.190;6.640.131;1.602.847;13.865;0;14.037.236;456.818;6.877.969;28.847;0;0;0;0;7.363.633;62.523;16.796.156;5.500.235;776.732;117.246;13.181;0;23.266.074;103.219;4.830.141;7.166.237;4.691.983;5.379.120;4.095.009;0;26.265.708;938.094;5.382.826;6.863.145;5.318.082;1.308.698;632.741;23.793;20.467.380;79.406;1.262.382;2.922.839;4.720.549;1.020.579;1.731.243;255.429;11.992.426;2.538;1.202.725;3.787.472;607.926;230.838;185.893;0;6.017.391;69.844;501.559;899.679;714.885;88.449;22.274;0;2.296.690;270.181.127
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2021;14.265.819;10;583.267;1.328.581;2.157.239;253.100;3.654;0;4.325.852;16.594;179.929;453.998;620.559;117.302;5.703;0;1.394.086;0;0;6.441;0;0;0;0;6.441;1.393;1.461.918;476.328;100.011;9.152;0;0;2.048.801;0;640.168;1.608.748;774.150;164.986;22.915;0;3.210.966;997;3.492;227.489;168.830;66.362;410.507;620.316;1.497.992;0;47.703;123.219;226.254;50.879;1.524;0;449.580;0;9.433;112.808;50.546;38.633;38.796;0;250.216;0;0;0;0;0;0;0;0;1.081.884
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;03/2021;12.520.584;5.301;50.309;137.384;223.962;56.051;0;0;473.006;13.728;584.573;1.752.247;3.903.941;1.457.492;28.450;0;7.740.431;0;0;0;0;0;0;0;0;0;1.246.639;687.463;0;0;0;0;1.934.102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.291;279.629;765.065;988.793;297.218;25.048;0;2.373.045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2021;11.663.875;1.764;42.812;237.302;104.658;5.871;0;0;392.407;19.906;702.664;2.060.089;3.706.123;1.325.795;4.994;0;7.819.572;0;0;0;0;0;0;0;0;10.976;820.652;1.330.940;11.097;525;0;0;2.174.189;0;0;0;0;0;0;0;0;0;52.151;0;0;0;0;0;52.151;14.517;195.288;455.728;509.995;48.546;1.481;0;1.225.556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2021;11.445.065;9.349;76.707;288.653;635.969;43.856;19.159;0;1.073.693;0;0;0;0;0;0;0;0;0;0;2.019;0;0;0;0;2.019;671;42.371;338.452;74.641;0;0;0;456.136;129.496;2.598.995;3.514.210;2.114.254;501.145;80.813;0;8.938.913;120.644;28.105;218.575;148.148;34.387;10.906;0;560.765;0;1.717;3.467;17.497;11.033;478;0;34.192;35.786;21.969;141.429;90.714;49.182;40.268;0;379.346;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;03/2021;10.618.382;594;6.469;28.784;89.051;38.233;896;0;164.027;833;14.782;58.758;234.406;165.790;192.006;2.136;668.710;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.349;6.248;27.586;20.827;26.362;0;82.372;15.789;271.165;780.525;1.705.480;981.815;1.648.783;91.859;5.495.416;2.005;188.341;651.132;1.441.374;927.229;997.774;0;4.207.855;0;0;0;0;0;0;0;0;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;03/2021;8.987.639;1.840;301.171;938.325;461.530;210.542;0;0;1.913.407;52;12.851;36.091;61.406;5.664;0;0;116.064;0;40;0;0;0;0;0;40;404;977;1.836;2.904;755;0;0;6.876;16.537;575.322;1.865.667;1.229.712;115.675;22.406;0;3.825.319;5.831;179.032;223.786;91.823;2.200;34.953;0;537.626;0;0;0;0;0;0;0;0;0;332;105.312;1.943;0;0;0;107.587;0;0;0;0;0;0;0;0;2.480.720
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2021;8.579.204;88.488;495.387;1.179.099;1.951.437;552.397;229.579;16.282;4.512.669;577;17.402;47.984;96.301;53.320;40.080;0;255.665;27.349;212.138;110.062;0;0;0;0;349.550;4.863;56.125;11.039;0;0;0;0;72.027;20.142;224.738;362.871;3.994;0;0;0;611.745;66.829;173.265;191.825;347.753;195.377;163.794;99.887;1.238.728;11.178;52.940;127.799;206.273;63.352;52.554;463;514.558;2.364;100.948;445.855;33.317;17.475;12.182;0;612.140;5.517;14.197;55.588;190.637;56.650;0;0;322.589;89.533
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;03/2021;8.569.366;1.363;217.261;812.238;2.218.542;667.867;3.285;0;3.920.556;0;4.378;4.035;1.802;251;0;0;10.466;0;0;0;0;0;0;0;0;0;2.222;6.451;15.729;0;0;0;24.402;0;76.975;511.319;490.251;25.108;0;0;1.103.652;0;92.610;235.945;244.944;24.028;1.000;0;598.527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.911.763
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2021;7.910.593;0;430.248;1.669.756;49.346;342.333;0;0;2.491.682;0;0;0;0;0;0;0;0;0;48.356;119.130;0;0;0;0;167.486;0;1.184.393;221.340;4.174;0;0;0;1.409.908;0;1.155.608;2.300.130;221.579;55.264;0;0;3.732.581;0;10.153;36.271;0;0;0;0;46.424;0;0;0;0;0;0;0;0;0;0;52.511;10.000;0;0;0;62.511;0;0;0;0;0;0;0;0;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;03/2021;7.136.654;195;620.911;1.133.098;833.827;121.407;63;0;2.709.500;371;136.511;343.418;420.121;115.688;17.650;0;1.033.759;2.433;47.601;107.772;0;0;0;0;157.807;0;1.035.993;909.401;49.094;0;0;0;1.994.488;0;79.269;394.196;5.089;0;0;0;478.553;0;9;0;0;0;0;0;9;2.234;44.059;154.983;508.118;51.569;728;0;761.691;0;86;248;503;8;0;0;846;0;0;0;0;0;0;0;0;0
