Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2022;689.087.032;760.040;4.027.156;9.718.022;23.286.480;19.292.520;28.596.942;1;85.681.162;185.683;1.983.946;4.810.844;5.479.722;411.761;23.089;0;12.895.045;20.469;14.075;32.314;46.690;7.328;38;0;120.915;1.204.373;15.123.381;41.451.093;96.910.561;79.963.900;229.505.169;93.815.749;557.974.227;1.358.642;6.858.518;2.299.170;160.561;27.426;27.063;0;10.731.379;102.931;2.282.011;3.194.539;2.486.389;1.836.989;1.897.409;0;11.800.268;1.130.459;3.180.380;2.147.387;1.540.974;871.626;999.677;13.534;9.884.038;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2022;488.279.317;275.149;5.680.013;16.471.595;36.387.640;27.219.082;21.367.745;822.908;108.224.132;869.159;3.373.831;10.186.205;14.233.283;7.230.270;3.649.023;376.333;39.918.103;32.706;478.081;1.268.601;1.934.450;463.164;11;105.430;4.282.443;56.649;446.017;1.303.284;3.497.241;3.484.843;17.891.607;19.140.136;45.819.778;4.166.457;35.524.870;8.839.644;740.408;102;0;252.496;49.523.977;1.057.547;27.844.419;79.439.276;54.936.126;33.703.793;28.341.155;241.137;225.563.453;630.796;1.031.761;3.499.640;2.163.667;1.458.540;2.184.242;137.924;11.106.571;3.840.860
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2022;429.233.475;644.196;5.494.369;14.563.076;25.390.876;12.362.727;5.503.073;0;63.958.316;518.705;3.482.520;7.021.876;7.095.406;1.580.790;45.126;0;19.744.424;455.015;3.764.867;9.627.640;14.320.621;2.805.573;5.114;2;30.978.832;53.481;2.664.862;7.535.622;17.340.298;13.889.056;36.509.093;12.005.252;89.997.665;8.560.921;71.356.186;34.338.639;2.677.756;101.397;133;0;117.035.032;1.215;875.430;1.383.767;397.455;93.802;41.030;0;2.792.698;2.319.128;9.939.553;6.325.974;6.810.921;1.997.896;601.724;162;27.995.358;76.731.151
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2022;325.311.378;413.059;6.481.481;17.826.451;32.597.034;17.477.652;9.758.892;1.237;84.555.807;1.221.982;6.693.180;11.612.688;11.398.147;2.265.851;381.986;1.240;33.575.074;370.206;4.265.294;10.746.243;15.571.421;2.987.944;16.519;26;33.957.653;74.066;2.115.788;6.283.777;14.412.749;11.417.337;30.287.048;11.184.965;75.775.729;5.476.161;34.465.624;13.240.335;2.229.488;185.413;36.402;0;55.633.423;76.383;2.334.000;5.568.991;6.871.222;1.634.134;703.831;0;17.188.560;1.685.894;6.722.464;4.234.082;5.502.295;2.021.452;535.487;516;20.702.190;3.922.943
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2022;268.265.135;1.031.466;4.001.247;10.690.272;19.355.159;10.417.212;7.369.427;619;52.865.402;1.179.807;2.319.906;4.647.632;5.670.471;2.170.997;752.721;18.209;16.759.743;862.935;6.980.925;17.775.670;26.165.537;4.972.762;38.950;4.718;56.801.497;61.362;1.562.602;4.548.301;10.401.241;8.269.359;21.357.185;7.321.885;53.521.936;2.583.803;28.543.711;12.296.853;1.388.635;308.213;269.105;47;45.390.367;22.311;1.754.793;2.714.508;2.672.486;1.303.401;932.053;0;9.399.553;2.441.113;6.462.022;6.375.182;7.321.537;3.973.539;3.581.018;143.209;30.297.620;3.229.018
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2022;49.887.215;40.349;95.203;208.730;165.778;8.761;10;0;518.831;81.181;549.585;1.380.301;1.829.134;495.194;48.023;0;4.383.419;703.187;5.066.295;12.649.886;18.474.856;2.949.980;8.116;0;39.852.319;0;0;0;0;0;0;0;0;907.471;2.594.732;1.270.687;163.586;318;0;0;4.936.795;0;173;1.847;3.202;0;0;0;5.223;537;115.800;49.353;12.750;6.740;5.388;60;190.628;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2022;38.628.305;76.083;620.272;1.702.484;3.097.247;1.596.013;776.617;0;7.868.718;268.229;1.293.943;2.274.537;2.618.578;853.799;141.138;0;7.450.223;503.358;2.035.967;4.889.731;6.801.652;888.039;853;0;15.119.599;460;2.816;7.265;15.634;11.012;22.225;2.906;62.320;1.389.323;4.161.387;1.284.165;47.405;850;5;0;6.883.136;39;86.692;38.763;259.941;2.103;29.203;0;416.742;31.330;82.346;77.325;104.104;57.036;48.609;576;401.325;426.243
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2022;34.221.276;45.261;583.797;1.618.686;3.095.694;1.787.539;832.582;0;7.963.559;45.394;1.189.352;2.441.425;3.030.230;1.007.806;137.300;0;7.851.507;132.866;1.996.476;5.148.390;7.438.673;1.206.902;1.708;0;15.925.014;127;6.949;19.976;52.255;49.458;201.209;185.050;515.024;113.715;889.324;358.060;15.598;2.408;6;0;1.379.112;153;48.908;68.560;73.078;47.390;18.854;0;256.943;17.606;147.215;156.732;5.799;575;822;0;328.750;1.367
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2022;32.146.494;64.393;1.131.160;3.231.805;6.707.067;4.304.083;3.530.321;100;18.968.928;106.662;309.281;503.066;313.292;95.205;35.876;0;1.363.383;57;1.103;3.247;4.416;949;5;0;9.777;3.296;77.403;177.768;461.485;437.192;1.756.264;1.422.315;4.335.723;98.758;1.210.749;375.625;7.094;0;0;0;1.692.225;20.394;1.043.700;1.398.092;883.433;411.744;395.382;29.062;4.181.806;83.053;969.895;189.152;194.277;81.482;76.735;57;1.594.652;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;03/2022;26.387.473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20.098.002;6.153.585;2.309;0;0;0;26.253.897;0;0;0;0;0;0;0;0;65.231;44.334;22.746;1.263;2;0;0;133.576;0
