Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2009;8.062.682;145.609.209;103.099.370;246.251.218;-17.464.798;228.786.420;51.241;5.335.323;2.107.885;-197.372;7.297.078;84.053.538;32.905.859;20.871.985;630.686.141;2.107.885;628.578.256
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2009;8.690.597;132.012.820;77.266.445;168.850.259;-20.683.824;148.166.435;2.759.016;85.197.913;39.741.095;-2.770.060;124.927.965;95.916.858;21.673.397;23.931.972;632.586.490;39.741.095;592.845.394
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2009;8.323.693;97.437.748;61.758.749;141.513.907;-12.762.402;128.751.505;194.481;35.704.878;13.769.768;-1.609.650;48.059.477;51.206.079;21.683.753;25.459.987;442.680.992;13.769.768;428.911.224
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2009;10.382;1.627.136;54.255.329;143.044.904;-3.069.721;139.975.183;0;0;0;0;0;2.531.597;132.023.132;30.050.808;360.473.568;0;360.473.568
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2009;2.951.898;54.840.094;108.516.987;111.958.070;-8.525.292;103.432.778;0;0;0;0;0;17.240.376;50.997.086;3.984.603;341.963.822;0;341.963.822
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2009;4.042.812;30.823.822;57.864.854;112.329.136;-8.658.040;103.671.096;302.541;23.266.694;9.716.315;-598.995;32.686.556;66.270.018;10.358.207;31.768.909;337.486.274;9.716.315;327.769.959
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2009;1.729.681;24.353.760;17.199.013;31.547.789;-2.522.608;29.025.181;26.052;6.414.902;2.501.859;-177.593;8.765.220;21.755.739;4.377.129;3.282.159;110.487.881;2.501.859;107.986.023
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2009;313.565;23.851.088;19.608.620;36.817.039;-1.305.521;35.511.519;18.957;4.847.348;1.775.347;-54.418;6.587.233;5.051.000;581.855;166.377;91.671.258;1.775.347;89.895.911
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2009;287.503;17.245.157;11.782.069;17.640.889;-528.924;17.111.966;1.029.809;11.558.673;6.359.389;-340.326;18.607.544;4.113.456;918.452;1.548.420;71.614.567;6.359.389;65.255.178
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;09/2009;132.956;5.946.492;11.331.594;9.425.795;-1.553.734;7.872.061;-987;93.939;18.921;-10.908;100.964;15.811.122;2.026.256;1.039.772;44.261.217;18.921;44.242.297
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;09/2009;356.730;5.742.915;7.328.006;11.912.750;-990.427;10.922.323;317;139.258;42.758;-8.903;173.431;1.747.186;1.950.869;577.016;28.798.476;42.758;28.755.719
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;09/2009;264.990;10.917.920;2.385.625;3.792.586;-261.694;3.530.892;0;0;0;0;0;6.437.987;67.690;529.749;24.134.852;0;24.134.852
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;09/2009;15.258;5.272.927;3.531.234;5.121.660;-272.412;4.849.248;6.006;162.611;163;0;168.779;5.736.881;160.524;38.321;19.773.173;163;19.773.010
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;09/2009;13.154;8.095.986;5.344.633;1.187.372;-104.759;1.082.613;0;0;0;0;0;3.156.109;82.962;328.034;18.103.490;0;18.103.490
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;09/2009;67.320;1.644.449;5.320.649;8.743.089;-446.175;8.296.915;0;0;0;0;0;1.046.934;328.873;199.538;16.904.678;0;16.904.678
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;09/2009;3.285;340.897;0;10.608.495;-505.544;10.102.951;14.697;3.840.880;1.672.322;-149.584;5.378.316;885.956;124.937;135.888;16.972.230;1.672.322;15.299.908
ALFA;51293;b1;;C;2;SAO PAULO;SP;09/2009;6.847;176.186;5.989.508;5.061.947;-135.587;4.926.360;16.306;1.632.044;733.319;-17.666;2.364.003;453.446;33.335;227.489;14.177.174;733.319;13.443.856
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;09/2009;33.584;2.236.661;2.666.498;841.426;-31.112;810.314;0;0;0;0;0;6.859.072;87.160;90.049;12.783.337;0;12.783.337
FIBRA;49951;b1;;C;2;SAO PAULO;SP;09/2009;34.729;5.589.565;1.413.880;3.579.760;-132.849;3.446.911;0;0;0;0;0;1.409.147;92.636;524.121;12.510.989;0;12.510.989
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;09/2009;2.968;81.256;7.410.996;150.417;-60;150.357;0;-88;0;0;-88;4.261.509;2.937;53.612;11.963.547;0;11.963.547
BBM;30207;b1;;C;2;SALVADOR;BA;09/2009;7.960;744.866;7.427.049;1.035.191;-110.991;924.200;10.646;64.506;0;-33;75.119;1.117.542;25.838;207.940;10.530.515;0;10.530.515
BIC;32119;b1;;C;2;SAO PAULO;SP;09/2009;129.333;961.205;474.581;6.523.859;-361.047;6.162.812;2.327;195.401;27.467;-3.981;221.214;1.458.595;182.861;86.939;9.677.540;27.467;9.650.073
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;09/2009;2.698;662.633;1.235.881;4.799.857;-327.140;4.472.718;15.240;1.716.917;664.214;-43.375;2.352.997;936.439;392.613;134.282;10.190.262;664.214;9.526.048
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;09/2009;56.992;952.643;775.997;6.102.560;-478.240;5.624.320;3.512;297.686;92.402;-29.068;364.531;1.084.252;467.899;76.424;9.403.058;92.402;9.310.656
BANESTES;30159;b1;;C;1;VITORIA;ES;09/2009;133.918;3.185.370;1.669.893;2.909.221;-162.252;2.746.968;630;216.925;83.294;-6.747;294.102;649.834;542.628;137.591;9.360.304;83.294;9.277.010
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;09/2009;15.948;2.900.162;2.726.713;3.221.978;-5.747;3.216.231;0;0;0;0;0;44.556;189.705;70.563;9.163.878;0;9.163.878
BANCO GMAC S/A;59274605;b2;;I;3;SAO PAULO;SP;09/2009;1.005;443.733;0;2.565.121;-45.837;2.519.284;6.877;4.045.441;2.315.698;-33.815;6.334.202;1.361.869;99.637;201.923;10.961.653;2.315.698;8.645.955
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;09/2009;2.482;920.137;2.155.209;3.096.628;-276.475;2.820.153;0;60.651;2.062;0;62.713;1.737.160;49.654;554.726;8.302.234;2.062;8.300.172
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;09/2009;65.456;867.356;3.736.655;1.687.854;-138.767;1.549.087;0;0;0;0;0;957.730;201.035;247.846;7.625.166;0;7.625.166
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;09/2009;72.448;2.293.844;320.529;3.875.390;-296.555;3.578.835;368;26.651;9.350;-740;35.628;837.682;279.906;117.457;7.536.328;9.350;7.526.978
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;09/2009;13.598;428.143;1.772.157;4.474.890;-110.027;4.364.863;0;0;0;0;0;812.098;57.236;19.251;7.467.346;0;7.467.346
CRUZEIRO DO SUL;50720;b1;;C;2;SAO PAULO;SP;09/2009;96.396;347.550;3.748.869;1.893.192;-35.466;1.857.726;0;0;0;0;0;1.074.028;124.836;93.581;7.342.987;0;7.342.987
PINE;50304;b1;;C;2;SAO PAULO;SP;09/2009;182.581;34.935;3.570.252;2.636.511;-94.291;2.542.219;0;0;0;0;0;811.563;34.121;24.200;7.199.872;0;7.199.872
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;09/2009;9.114;164.115;26.385;4.080.555;-97.136;3.983.419;10.082;2.490.786;1.107.801;-69.754;3.538.914;433.890;6.886;10.876;8.173.598;1.107.801;7.065.798
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;09/2009;13;0;1.444.535;5.515.213;-202.223;5.312.990;0;0;0;0;0;280.356;636;19.964;7.058.494;0;7.058.494
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;09/2009;17.446;2.239.153;2.030.750;2.099.993;-175.461;1.924.532;0;0;0;0;0;656.270;2.049;13.060;6.883.259;0;6.883.259
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;b1;;I;2;BRASILIA;DF;09/2009;19.111;1.076.068;2.548.489;2.258.004;-9.655;2.248.349;0;0;0;0;0;133.543;540.741;68.303;6.634.605;0;6.634.605
BRB;31976;b1;;C;1;BRASILIA;DF;09/2009;89.392;1.017.221;1.243.032;3.047.012;-98.438;2.948.575;0;0;0;0;0;421.291;640.905;135.592;6.496.008;0;6.496.008
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;09/2009;30.082;1.669.362;778.733;3.218.672;-255.621;2.963.050;0;0;0;0;0;435.655;88.190;69.596;6.034.668;0;6.034.668
SOFISA;31873;b1;;C;2;SAO PAULO;SP;09/2009;10.389;442.167;563.458;2.280.248;-88.550;2.191.698;16.754;1.083.892;498.172;-20.143;1.578.676;352.418;673.650;385.743;6.198.197;498.172;5.700.025
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;09/2009;872;752.996;1.571.691;0;0;0;0;0;0;0;0;2.964.138;104;20.770;5.310.572;0;5.310.572
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;09/2009;32.824;20.000;0;1.445.178;-33.280;1.411.897;22.683;3.311.319;2.039.749;-14.054;5.359.697;169.981;46;546;6.994.992;2.039.749;4.955.243
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;09/2009;787;158.480;4.187.786;1.500;0;1.500;0;0;0;0;0;334.147;133;143;4.682.976;0;4.682.976
