Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2013;289.576.563;1.157.860;11.540.073;23.745.591;24.811.151;6.225.786;2.141.153;0;69.621.614;26.300;1.884.245;2.314.364;9.815.512;14.233.856;9.389.029;1.650.455;39.313.761;119.007;2.266.058;958.892;645.869;0;0;0;3.989.825;573.008;13.177.898;3.452.772;1.349.906;9.971;0;481;18.564.036;297.300;5.163.853;6.954.154;347.710;64.215;1.258;0;12.828.491;287.618;2.719.401;735.138;1.133.114;692.333;184.519;2.019;5.754.141;328.510;5.744.178;13.789.553;24.425.073;8.926.851;9.944.835;3.278.693;66.437.693;65.461;6.705.020;10.966.212;14.455.941;1.535.260;1.233.069;36.965;34.997.927;0;25.972;309.437;1.067.714;59.582;6.694;1.125;1.470.524;36.598.551
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2013;251.653.266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.967;8.583.589;22.646.642;56.610.863;46.422.924;103.592.237;13.741.043;251.653.266;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2013;227.527.659;1.032.693;11.597.011;15.954.280;12.979.362;1.670.256;452.131;9.391;43.695.124;169.192;1.487.038;3.991.274;5.692.634;1.398.603;557.626;0;13.296.367;1.133.718;11.184.405;622.033;0;0;0;0;12.940.156;193.368;9.218.361;1.730.587;46.094;1.243;0;0;11.189.652;59.254;3.369.035;3.165.462;2.833.621;468.309;186.069;0;10.081.751;777.677;2.345.954;2.371.691;2.942.152;656.560;127.648;147;9.221.829;118.515;4.309.081;7.534.369;16.360.500;5.399.422;3.748.989;296.596;37.767.472;8.445;1.947.902;3.780.389;613.222;177.952;296.118;0;6.824.027;30.413;627.446;2.425.020;3.711.113;392.747;855.395;1.192;8.043.325;74.467.955
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2013;212.093.379;566.702;9.442.102;14.896.867;15.250.148;3.700.476;1.172.345;0;45.028.640;219.984;2.306.797;4.641.561;5.274.287;801.290;35.251;28;13.279.198;494.600;8.449.125;2.920.452;3.143;0;0;0;11.867.320;321.214;9.344.887;1.091.044;4.291;0;0;0;10.761.436;44.818;3.163.848;5.542.760;5.022.778;1.202.894;383.209;0;15.360.307;717.692;1.931.994;1.989.017;2.191.943;774.461;119.558;76;7.724.741;54.669;4.167.302;6.938.864;12.874.042;4.410.732;2.665.111;438.036;31.548.756;10.753;485.749;1.958.685;266.968;66.053;2.250.849;0;5.039.057;15.231;145.610;1.135.460;6.125.835;3.501.814;2.039.869;42.170;13.005.989;58.477.935
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2013;107.224.610;1.936.232;38.531.723;3.122.017;5.002.701;610.769;227.458;0;49.430.900;591.061;2.181.514;114.924;206.600;70.199;5.121;0;3.169.419;404.012;907.722;3.030.407;48.125;38.634;0;0;4.428.900;54.960;1.285.279;83.808;0;0;0;0;1.424.047;0;3.947;76.121;450.341;3.016.326;3.419.943;0;6.966.677;102.786;455.200;183.944;10.054;8;0;0;751.992;247.539;2.292.635;2.873.664;6.014.541;4.331.492;13.222.993;5.289.193;34.272.057;0;0;0;0;0;0;0;0;14.372;809.851;1.084.053;4.462.215;281.266;118.014;10.847;6.780.618;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2013;97.392.372;1.325.739;7.276.919;10.505.103;10.273.925;2.014.393;668.210;49.160;32.113.449;120.240;2.251.790;2.423.422;2.285.077;432.690;630.447;457.644;8.601.310;869.441;5.646.295;1.439.485;346.736;157.687;53.534;1.941;8.515.120;128.590;3.585.759;486.385;303.303;13.714;5.476;668;4.523.894;82.062;3.054.556;3.260.177;3.369.491;1.094.276;163.284;0;11.023.846;1.068.372;2.151.544;1.860.848;2.621.713;700.147;275.784;2.270;8.680.677;43.651;480.123;1.417.420;2.467.603;728.569;325.608;476;5.463.450;33;493.602;1.620.515;210.239;12.361;6.579;0;2.343.329;22.213;773.760;2.553.094;2.901.364;223.442;1.210.216;0;7.684.089;8.443.208
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2013;41.015.897;298.173;5.077.618;3.930.131;3.558.494;840.946;96.242;0;13.801.603;43.083;1.590.243;1.669.822;1.559.080;653.100;178.199;0;5.693.526;70.737;1.786.927;50.429;187;0;0;0;1.908.279;4.439;1.899.272;434.700;166.207;4.913;64;0;2.509.596;3.276;824.254;617.034;76.868;934;0;0;1.522.365;7.227;83.701;36.643;3.365;0;0;0;130.937;54.836;886.866;2.336.083;3.954.116;899.899;235.292;0;8.367.093;354;337.534;433.693;28.668;927;1.200;0;802.376;118;519;12.670;99.529;0;0;0;112.835;6.167.287
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2013;38.929.509;210.613;3.786.041;4.180.597;2.978.713;600.754;58.265;0;11.814.983;10.036;203.561;463.848;574.217;73.103;221;0;1.324.987;115.466;1.768.673;734.038;11;91;0;0;2.618.279;68.214;2.053.510;291.810;34.079;26;0;0;2.447.637;57.949;1.997.193;2.643.663;1.604.023;415.911;146.859;8.652;6.874.251;40.024;122.096;88.248;92.183;48.823;23.941;562;415.878;6.251;866.487;837.516;1.158.994;266.669;48.593;0;3.184.510;5.059;680.945;1.355.727;138.787;12.180;1.253;0;2.193.952;6.769;276.521;613.255;381.359;654;0;0;1.278.557;6.776.474
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2013;19.874.363;180.176;1.724.592;2.091.533;2.422.976;422.197;187.442;0;7.028.918;52.571;299.176;623.783;967.425;176.584;538;49;2.120.126;4.797;77.139;19.469;0;0;0;0;101.404;3.458;101.703;7.938;0;0;0;0;113.099;51.358;598.416;875.335;694.588;493.052;775.218;0;3.487.967;210;25.849;73.419;8.556;372;0;0;108.407;6.151;743.688;973.108;1.565.075;622.835;579.812;22.139;4.512.807;1.180;78.878;247.348;68.874;6.564;3.473;0;406.316;0;0;0;0;0;0;0;0;1.995.318
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2013;13.209.398;2.683;37.081;106.029;73.944;21.612;43;0;241.392;25.024;491.415;723.499;692.118;80.064;146;0;2.012.266;0;0;0;0;0;0;0;0;8.628;1.835.415;424.074;136;0;0;0;2.268.253;0;0;0;0;0;0;0;0;32;48.896;12.903;3.737;3.593;571;0;69.732;81.116;956.019;2.463.212;3.944.547;1.157.669;15.192;0;8.617.755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
