Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2018;684.564.202;330.993.698;84.484.654;110.129.416;27.567.054;130.721.897;667.485;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2018;630.208.603;277.489.788;90.808.672;78.166.228;32.173.051;113.353.406;346.096;37.871.362
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2018;554.859.269;210.823.826;26.167.152;42.631.981;10.229.878;46.857.864;793.673;217.354.895
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2018;463.031.459;205.309.411;30.582.100;53.464.645;17.934.237;56.440.591;663.804;98.636.671
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2018;304.159.608;175.697.765;20.491.493;30.048.646;9.339.494;44.074.763;349.242;24.158.206
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2018;296.606.737;167.944.536;33.918.337;41.225.775;4.792.226;27.199.748;21.526.115;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2018;69.260.629;36.078.044;4.508.763;6.917.948;1.445.958;11.786.662;9.890;8.513.365
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2018;50.255.587;27.128.890;4.060.725;6.050.407;1.788.460;9.672.150;15.489;1.539.466
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2018;33.342.998;3.665.909;478.451;1.092.522;501.244;27.452.653;24.166;128.053
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2018;21.145.832;9.040.327;8.650.013;1.656.566;312.237;1.486.688;0;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2018;20.277.331;9.403.092;2.159.987;4.152.114;1.387.554;3.156.706;17.878;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2018;19.586.427;5.536.097;3.055.953;816.797;117.395;1.021.889;126.739;8.911.556
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2018;18.216.597;9.754.627;2.022.489;2.545.313;957.084;2.524.068;4.797;408.219
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2018;17.109.347;10.875.003;709.071;2.376.481;593.591;2.531.543;23.658;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2018;14.323.553;6.713.242;1.396.739;2.440.579;859.797;2.910.764;2.431;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2018;13.578.611;589.657;360.794;11.653;4.283;12.610.775;1.450;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2018;12.978.938;6.904.096;1.037.099;865.511;89.996;2.145.633;1;1.936.603
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2018;12.351.494;9.697.601;471.460;382.502;165.181;1.543.321;91.429;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2018;10.579.107;4.405.594;1.117.741;2.008.332;892.057;2.153.126;2.258;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2018;10.543.329;1.946.847;30.523;8.032.960;76.481;454.480;2.037;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2018;10.498.467;129.791;3.230.442;28.032;109.421;6.996.426;4.354;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2018;9.628.891;5.618.680;516.390;1.183.693;174.112;2.135.703;314;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2018;9.033.615;2.947.063;353.884;589.055;177.911;911.320;531;4.053.852
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2018;8.953.216;2.215.175;2.499.135;622.954;281.639;3.321.059;13.253;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2018;8.794.868;4.491.957;770.768;1.687.227;633.262;906.334;6.358;298.963
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2018;8.547.534;286.904;8.119.463;78.897;29.847;29.811;2.611;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2018;7.690.216;4.928.784;692.507;1.080.562;256.722;697.067;34.574;0
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2018;7.558.766;1.221.441;3.513.499;561.718;424.032;1.831.897;6.179;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2018;7.463.835;3.129.677;969.907;245.208;582.795;2.525.085;11.163;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2018;7.296.444;4.140.611;1.182.450;464.531;61.873;1.444.951;2.028;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;;41;SAO PAULO;SP;12/2018;7.050.101;3.599.899;533.655;1.406.420;173.518;1.322.465;14.145;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2018;6.656.941;5.141.887;344.515;599.677;83.984;471.125;15.752;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;12/2018;6.169.272;2.313.122;887.861;1.400.331;549.456;1.016.842;1.661;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2018;5.973.309;3.073.616;1.459.602;667.109;174.480;558.993;2.355;37.154
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2018;5.648.144;4.632.728;146.976;495.484;86.508;243.472;8.208;34.769
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;12/2018;5.413.650;2.777.603;525.091;796.045;280.262;1.034.596;52;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2018;5.395.263;1.921.462;1.066.396;263.444;127.981;2.014.354;1.625;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2018;5.193.284;4.939.821;55.299;148.086;6.560;43.519;0;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S4;8;BELEM;PA;12/2018;4.237.605;13.338;8.216;22.926;4.183.381;9.398;345;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2018;4.152.410;1.545.684;385.797;1.280.221;380.328;417.549;142.831;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2018;4.109.360;3.940.861;21.226;80.468;52.529;12.446;1.831;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2018;3.698.667;1.116.345;573.509;1.149.713;516.327;341.470;1.304;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;12/2018;3.584.272;1.873.601;537.955;196.300;22.558;304.202;0;649.656
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;12/2018;3.548.120;3.411.496;72.713;36.486;0;27.424;0;0
