Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2015;663.815.559;114.539.620;306.806.410;72.452.710;28.255.166;75.653.341;2.178.608;63.929.706
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2015;621.151.936;114.250.458;308.373.694;97.918.927;25.720.504;73.184.555;1.703.798;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2015;574.664.447;49.717.859;213.734.258;42.035.736;11.991.639;21.495.439;7.247.606;228.441.911
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2015;405.978.349;47.196.361;165.835.431;42.027.537;14.374.970;25.095.441;6.748.120;104.700.489
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2015;353.057.765;25.967.652;214.126.752;42.327.957;6.141.869;32.527.644;31.965.890;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2015;257.968.170;33.121.078;142.145.476;21.298.630;5.037.015;13.978.238;1.876.324;40.511.408
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2015;67.511.223;14.156.390;30.444.823;3.759.338;1.730.603;5.396.612;1.251.536;10.771.922
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2015;55.983.379;7.348.902;24.872.637;4.302.301;1.348.069;3.431.356;1.920.864;12.759.249
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2015;55.585.696;10.242.382;26.975.574;8.119.403;2.047.240;4.068.986;405.622;3.726.489
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2015;29.820.160;22.996.456;4.237.622;1.374.538;365.886;384.038;227.713;233.906
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2015;21.243.745;4.505.806;9.393.718;4.017.717;1.262.512;2.049.237;14.756;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2015;18.452.767;399.627;7.875.608;785.536;760;2.457.793;21.783;6.911.659
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2015;17.889.473;2.390.914;8.796.728;2.916.528;1.102.805;2.442.816;239.682;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2015;17.457.986;2.682.281;11.988.342;1.041.824;269.300;1.363.107;113.133;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;03/2015;13.765.315;9.930.910;45.474;4.179;52.220;3.723.719;8.813;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2015;13.743.280;98.601;2.700.965;10.232.465;123.182;541.684;46.382;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;03/2015;13.253.473;1.208.386;5.159.025;1.301.878;25.739;5.558.444;1;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2015;12.804.609;1.592.535;5.440.161;467.204;152.314;746.832;4.330;4.401.233
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;03/2015;11.566.643;10.706.269;558.162;22.974;3.399;274.794;1.047;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;03/2015;11.554.411;2.274.337;4.655.349;2.450.919;846.305;1.317.133;10.368;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;03/2015;11.397.208;1.574.350;5.552.022;2.108.796;577.667;1.477.032;93.813;13.529
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2015;10.755.031;2.145.438;5.980.087;1.504.269;357.011;767.962;264;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;03/2015;9.430.148;1.260.091;5.725.023;1.014.927;306.324;730.311;393.472;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;03/2015;9.350.369;2.105.543;5.744.354;131.440;512.951;762.580;93.501;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;03/2015;9.256.382;29.636;441.594;75.858;29.584;8.668.401;11.309;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;03/2015;9.032.218;1.675.848;3.612.412;1.658.832;192.630;1.162.442;28.817;701.237
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;03/2015;8.779.662;539.025;6.013.601;1.432.260;146.005;406.720;242.051;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2015;7.835.063;864.909;4.235.731;859.813;615.220;1.060.899;198.491;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;03/2015;7.654.246;1.445.621;4.271.223;738.776;218.348;939.652;40.625;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;03/2015;6.824.157;235.784;2.326.235;128.480;5.957;236.748;0;3.890.953
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;03/2015;6.704.466;2.589.966;1.613.271;531.357;257.211;1.711.537;1.124;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;03/2015;6.248.433;671.725;3.590.937;298.437;39.963;371.306;287;1.275.778
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;03/2015;5.912.400;1.424.084;739.432;616.889;246.952;2.880.710;4.332;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;03/2015;5.275.499;19.037;5.155.824;58.980;1.967;39.674;17;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;03/2015;4.912.566;1.831.260;1.489.162;468.819;150.918;970.362;2.045;0
BANCO FIBRA S.A.;58.616.418;b1;I;2;;8;SAO PAULO;SP;03/2015;4.377.011;541.215;2.129.204;569.203;73.644;469.119;20.709;573.918
BANESTES;30.159;b1;C;1;;199;VITORIA;ES;03/2015;4.301.120;11.425;4.137.200;49.940;61.243;11.387;29.925;0
