Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;06/2004;773.954;2.909.046;23.495;3.403.732;1.959;7.112.186;1.827.531;0;0;0;0;0;0;556.074;9.495.791;605;1.975.121;11.471.516;215;835.381;12.307.113
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;06/2004;89;0;348.347;2.883.507;0;3.231.943;3.357.376;0;0;0;218.368;0;218.368;147.807;6.955.495;1.234.821;1.575.365;9.765.681;1.030;728.993;10.495.704
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;06/2004;2.323;0;1.600;2.063.129;0;2.067.051;1.594.104;0;0;0;0;0;0;4.950;3.666.106;683.307;2.792.357;7.141.770;404;1.260.546;8.402.720
ALFA;51293;b1;;C;2;SAO PAULO;SP;06/2004;19.531;0;225.947;2.032.638;0;2.278.116;1.414.801;0;0;0;290.518;0;290.518;1.564.408;5.547.843;19.362;872.879;6.440.085;1.028;1.105.132;7.546.245
RURAL;31244;b1;;C;2;RIO DE JANEIRO;RJ;06/2004;395.735;26.996;38.474;3.934.839;0;4.396.045;137.821;0;0;0;156.608;0;156.608;908.769;5.599.242;6.923;895.952;6.502.118;27.839;715.121;7.245.079
FIBRA;49951;b1;;C;2;SAO PAULO;SP;06/2004;33.090;0;76.915;994.042;0;1.104.047;2.024.934;0;0;0;0;0;0;423.788;3.552.768;156.415;2.725.357;6.434.540;2.337;428.260;6.865.137
BANCO BNP PARIBAS BRASIL S.A.;1522368;b1;;I;3;SAO PAULO;SP;06/2004;13.458;0;9.000;223.393;0;245.852;2.238.566;0;0;0;186.471;0;186.471;700.219;3.371.107;258.713;2.635.183;6.265.004;1.239;517.069;6.783.311
SANTOS;50177;b1;;C;2;SAO PAULO;SP;06/2004;46.368;0;126.023;1.932.892;0;2.105.283;1.087.799;0;0;0;78.507;0;78.507;1.615.654;4.887.242;263.109;542.343;5.692.695;0;600.719;6.293.414
BIC;32119;b1;;C;2;SAO PAULO;SP;06/2004;119.194;43.585;21.276;1.933.032;0;2.117.087;1.603.407;0;0;0;139.450;31.356;170.806;1.009.352;4.900.652;12.824;228.376;5.141.852;32.484;403.534;5.577.870
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;06/2004;14.129;0;0;741.713;0;755.843;1.999;0;0;0;3.229.762;0;3.229.762;438.137;4.425.742;441.119;473.907;5.340.768;1.270;174.180;5.516.217
