Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;12/2012;1.030.020.815;497.241.596;963.669.888;801.902.117;66.350.927;6.835.222;109.285.842;15,13%;25,85%;5.367;1.581
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2012;951.222.533;369.526.181;868.397.312;671.603.706;82.825.221;6.948.886;119.945.380;18,12%;43,40%;3.959;901
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2012;755.467.474;290.656.961;685.230.950;569.213.089;70.236.524;5.763.247;97.863.323;16,38%;44,07%;4.715;1.401
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2012;702.939.666;361.239.369;677.882.722;585.932.935;25.056.944;3.219.706;56.328.756;12,99%;12,58%;2.869;662
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2012;693.840.197;252.470.846;641.670.734;447.045.534;52.169.464;5.439.984;89.619.093;16,17%;44,42%;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2012;458.329.044;211.952.398;391.858.689;285.279.126;66.470.355;1.347.324;70.283.114;20,80%;32,53%;2.693;1.384
HSBC;51152;b1;;C;3;CURITIBA;PR;12/2012;127.044.415;58.343.239;117.071.219;88.411.916;9.973.196;622.052;12.355.109;13,15%;32,94%;872;401
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2012;123.408.819;56.954.641;115.198.382;90.829.754;8.210.437;-855.612;12.110.639;14,31%;3,13%;121;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2012;111.752.867;48.715.731;104.506.106;86.094.645;7.246.760;684.223;9.628.920;13,66%;21,95%;108;8
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2012;87.878.773;8.718.866;77.810.277;56.401.280;10.068.496;1.100.552;14.305.079;17,85%;37,42%;10;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;12/2012;61.185.316;22.933.788;53.534.879;26.926.669;7.650.436;266.663;7.579.896;15,60%;14,74%;135;12
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2012;46.834.051;24.327.030;41.939.048;32.253.108;4.895.003;399.006;6.509.321;20,20%;7,99%;467;228
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;12/2012;40.307.993;4.688.445;36.888.492;27.569.980;3.419.501;344.865;4.339.125;15,92%;29,08%;10;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;12/2012;36.551.169;1.452.001;33.051.595;22.489.010;3.499.574;81.630;3.493.498;16,66%;2,07%;8;1
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;12/2012;31.888.888;12.022.878;29.205.137;15.291.696;2.683.751;262.357;5.184.271;16,94%;3,87%;193;5
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;12/2012;31.371.729;2.855.374;29.873.101;9.686.298;1.498.628;67.809;1.498.628;13,13%;2,66%;3;0
