Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2021;900.309.063;345.685.385;41.000.011;69.085.592;17.899.492;83.498.347;440.297;342.699.939
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2021;861.442.936;396.911.451;108.842.636;145.008.053;37.000.960;173.266.462;413.374;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2021;768.436.165;297.322.902;130.586.951;111.580.541;50.708.535;143.624.711;301.488;34.311.037
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2021;653.436.018;296.224.712;51.957.323;86.234.887;29.956.416;93.495.621;304.902;95.262.157
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2021;462.131.603;241.802.435;29.958.792;48.515.245;16.721.926;59.393.256;198.974;65.540.975
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2021;269.374.211;157.558.172;31.876.468;38.189.096;5.316.481;29.074.087;7.359.907;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2021;112.116.782;59.927.836;8.667.435;10.621.999;3.662.697;19.229.524;9.769;9.997.521
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2021;101.348.912;48.391.475;7.835.869;8.815.221;3.719.043;12.088.748;281.487;20.217.069
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2021;64.104.404;32.490.000;6.055.113;8.255.928;2.927.113;13.195.362;13.209;1.167.678
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2021;41.969.162;24.818.015;3.709.898;4.407.355;1.650.153;6.428.022;4.676;951.044
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2021;40.983.065;4.505.940;545.999;1.336.846;450.388;33.988.314;6.433;149.145
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2021;28.961.614;21.973.321;1.095.806;988.615;230.169;4.673.027;675;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2021;27.256.029;9.488.534;12.112.360;2.107.189;586.049;2.961.897;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2021;23.095.465;12.342.985;2.202.208;1.042.790;163.268;4.575.895;6;2.768.315
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;12/2021;22.710.203;10.602.626;1.970.869;4.863.753;929.906;3.897.477;445.571;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2021;22.549.069;10.026.631;2.639.160;3.644.788;1.932.763;4.303.377;2.351;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2021;20.781.532;1.441.041;18.187.608;553.452;399.630;185.991;13.811;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2021;17.513.712;600.726;4.466.009;146.605;308.497;11.981.023;10.853;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2021;16.952.514;10.379.689;1.975.116;2.291.108;580.859;1.713.882;11.859;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2021;16.828.133;11.769.665;743.906;1.419.439;727.755;2.144.230;23.138;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2021;16.488.608;6.880.921;2.682.065;576.489;1.254.422;5.090.538;4.172;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2021;15.555.040;2.554.768;208.848;12.033.457;105.949;648.547;3.472;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;12/2021;14.693.322;10.397.325;721.776;815.215;315.073;2.367.325;76.608;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2021;14.602.031;6.733.594;2.345.699;1.891.569;507.617;1.355.352;6.492;1.761.707
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO BERNARDO DO CAMPO;SP;12/2021;14.416.501;8.219.149;894.811;1.685.844;488.265;3.128.430;0;0
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;12/2021;14.370.357;7.138.012;1.153.758;2.851.824;837.050;2.270.324;119.389;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2021;13.983.367;135.172;297.942;1.259;3.340;13.544.880;775;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2021;13.918.829;3.752.637;3.707.019;1.324.375;653.302;4.478.462;3.034;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2021;13.567.305;6.720.929;922.832;2.223.013;813.658;1.410.184;12.671;1.464.017
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2021;13.194.315;7.844.221;1.191.792;2.346.918;602.622;1.196.670;12.091;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2021;13.096.417;7.505.966;1.973.595;824.265;254.432;2.537.081;1.077;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;12/2021;12.926.633;9.184.897;804.714;1.595.708;203.338;1.131.203;6.773;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2021;11.278.146;2.025.777;1.954.979;1.084.644;5.495.659;717.037;49;0
NUBANK;52.058;n1;C;2;S4;197;SAO PAULO;SP;12/2021;10.599.485;4.679.121;1.080.744;2.388.651;670.563;1.548.503;231.902;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2021;10.546.979;8.626.729;77.484;451.324;34.793;1.112.554;0;244.095
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2021;10.440.370;4.464.890;583.494;381.210;125.458;2.351.046;1.616;2.532.656
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;12/2021;8.968.885;1.459.803;4.160.694;810.786;603.804;1.930.403;3.395;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2021;8.904.473;7.574.193;276.141;808.552;89.334;152.123;4.131;0
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;12/2021;8.659.803;3.325.950;1.172.301;643.121;49.716;1.145.627;0;2.323.087
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;12/2021;8.461.981;3.105.456;971.531;948.614;419.200;3.017.180;0;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2021;8.424.013;53.299;21.745;54.003;8.274.255;20.548;163;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2021;8.225.174;2.766.695;2.260.633;442.823;296.727;2.456.151;2.144;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2021;6.997.654;2.230.920;747.313;1.922.961;659.115;1.435.785;1.559;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;12/2021;6.977.945;2.460.355;975.700;1.714.566;716.383;1.109.121;1.822;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;12/2021;6.528.153;3.147.542;435.684;1.147.334;399.747;1.395.784;2.062;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S4;9;BLUMENAU;SC;12/2021;6.506.573;51.621;9.650;62.270;42.538;6.339.685;809;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;12/2021;6.472.577;2.301.922;790.162;484.790;426.425;2.469.279;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;12/2021;6.421.427;3.812.986;544.443;543.091;217.232;1.075.389;24;228.263
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2021;6.379.600;6.275.939;18.587;24.127;27.899;31.898;1.151;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2021;6.001.325;2.323.681;225.869;506.186;180.846;2.763.017;1.726;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2021;5.827.900;5.575.787;16.814;143.168;20.348;71.783;0;0
