Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2021;855.078.950;324.809.174;40.031.497;62.877.160;16.137.723;75.450.781;405.596;335.367.019
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2021;835.860.012;386.433.648;105.758.458;140.267.215;35.714.713;167.255.466;430.512;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2021;731.579.277;288.569.803;122.194.240;105.178.101;47.052.467;137.157.555;286.193;31.140.919
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2021;626.658.738;281.662.070;49.265.612;82.861.545;28.384.756;91.418.864;305.270;92.760.621
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2021;449.279.468;235.781.776;28.696.204;45.487.446;15.815.569;58.161.878;201.841;65.134.754
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2021;271.051.609;158.372.808;32.927.110;37.910.696;5.373.163;29.276.825;7.191.006;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2021;101.732.583;52.256.504;8.177.863;10.537.515;3.267.946;17.831.720;8.459;9.652.577
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2021;95.122.789;43.881.335;7.722.368;8.774.410;3.311.687;12.490.947;269.912;18.672.129
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2021;62.004.778;31.730.074;5.708.653;7.826.397;2.761.652;12.840.558;12.292;1.125.153
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2021;38.596.796;4.118.782;497.049;1.206.919;412.540;32.216.932;6.582;137.991
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2021;36.367.338;20.761.385;3.805.349;4.013.380;1.474.740;5.791.120;4.646;516.719
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2021;27.522.732;10.642.536;10.870.697;2.040.215;514.652;3.454.631;0;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2021;25.476.695;19.797.036;864.584;682.955;168.277;3.963.783;60;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2021;22.178.346;9.836.153;2.579.856;3.580.283;1.924.606;4.255.417;2.031;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;09/2021;21.746.543;11.684.997;2.103.833;998.660;152.596;4.748.243;2;2.058.211
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2021;19.649.340;1.202.295;17.418.344;484.699;363.101;175.326;5.576;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;09/2021;19.004.400;8.869.317;1.656.443;4.072.087;756.247;3.249.617;400.689;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2021;16.479.867;503.858;4.185.885;124.678;274.203;11.380.559;10.683;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2021;14.828.044;2.500.234;185.069;11.376.413;104.019;658.458;3.850;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2021;14.777.993;9.944.317;674.066;1.286.091;673.416;2.176.613;23.490;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2021;14.700.756;6.085.801;2.170.814;498.337;1.153.889;4.788.246;3.668;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2021;14.531.554;9.059.392;1.647.667;1.906.071;457.928;1.448.145;12.351;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;09/2021;14.185.561;8.027.464;892.145;1.613.565;470.788;3.181.598;0;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;09/2021;13.578.116;10.168.778;554.219;635.777;273.280;1.894.386;51.676;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;09/2021;13.229.456;132.830;279.073;3.799;3.527;12.809.437;789;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.952.718;5.681.930;2.208.162;1.642.592;459.381;1.117.203;5.628;1.837.821
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.869.607;6.463.382;895.449;2.144.481;771.428;1.366.992;7.651;1.220.225
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2021;12.808.461;7.306.804;1.971.421;801.448;206.080;2.521.653;1.055;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;09/2021;12.192.373;8.681.989;762.234;1.492.259;189.584;1.060.698;5.609;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2021;12.131.014;7.255.317;1.097.499;2.121.147;538.095;1.107.826;11.131;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2021;11.988.188;3.094.060;3.237.887;1.113.270;570.447;3.969.542;2.981;0
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;09/2021;11.360.804;5.709.758;848.971;2.270.106;669.329;1.772.946;89.693;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;09/2021;11.235.987;9.324.383;76.889;448.389;33.704;1.111.759;0;240.862
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;09/2021;9.748.950;4.176.231;696.669;501.700;114.695;2.174.728;1.165;2.083.763
BOCOM;52.003;b1;C;3;S3;199;SALVADOR;BA;09/2021;9.648.968;3.198.894;1.130.670;554.768;45.006;1.057.722;0;3.661.908
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2021;9.375.026;1.807.860;1.711.648;1.028.028;4.194.922;632.513;55;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;09/2021;8.472.081;1.353.709;3.930.378;783.791;574.314;1.826.556;3.334;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2021;8.114.074;7.007.368;218.179;701.538;69.810;114.613;2.567;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;09/2021;8.005.843;53.079;15.754;53.277;7.862.352;21.227;154;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2021;7.811.144;2.657.215;2.130.114;419.151;260.364;2.342.135;2.166;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;09/2021;7.460.516;2.725.492;873.689;809.130;354.994;2.697.210;0;0
NUBANK;52.058;n1;C;2;S4;197;SAO PAULO;SP;09/2021;7.166.559;3.224.910;706.797;1.642.676;429.352;1.032.686;130.138;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2021;7.116.793;2.278.757;756.069;1.969.724;685.448;1.425.358;1.437;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;09/2021;6.492.804;2.274.507;897.103;1.622.751;661.113;1.035.366;1.964;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S4;9;BLUMENAU;SC;09/2021;6.211.047;46.958;8.381;55.573;37.370;6.061.950;815;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2021;6.110.839;5.984.982;19.994;28.884;43.444;32.379;1.157;0
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;09/2021;6.080.239;2.157.340;725.396;453.687;390.076;2.353.740;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;09/2021;5.880.909;3.578.155;529.879;559.305;215.168;998.379;23;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;09/2021;5.876.438;5.667.003;16.667;113.966;20.183;58.619;0;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2021;5.813.685;2.228.855;215.819;463.593;165.198;2.738.430;1.789;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;09/2021;5.470.317;2.675.471;368.318;920.844;335.620;1.168.342;1.721;0
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;09/2021;5.020.985;2.799.547;453.836;608.090;231.717;927.707;87;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;09/2021;4.806.294;2.421.782;401.284;684.082;142.571;1.153.109;3.466;0
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;09/2021;4.541.199;2.475.321;810.737;346.777;344.979;518.152;564;44.668
MASTER;50.201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;09/2021;4.483.716;866.624;2.816.271;558.136;169.864;72.052;770;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2021;4.428.122;1.610.467;420.475;1.492.483;441.069;415.980;47.648;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;09/2021;4.203.988;2.632.651;529.382;199.450;58.921;758.079;652;24.852
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;09/2021;4.170.444;2.913.468;7.935;12.601;506.123;730.317;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;09/2021;4.077.782;61.421;3.948.312;13.592;12.920;41.390;148;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;09/2021;4.016.747;3.921.182;77.974;1.971;4.121;11.474;26;0
