Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2014;591.625.606;280.925.359;65.867.613;62.870.455;24.620.172;106.545.194;2.526.307;48.270.507
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2014;505.793.304;254.180.127;55.930.539;78.931.816;21.600.101;93.425.134;1.725.588;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2014;443.780.405;193.532.478;20.359.752;35.551.065;10.235.353;47.347.946;7.078.537;129.675.273
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2014;363.048.286;157.591.819;24.048.398;39.294.213;14.082.506;45.181.873;7.161.731;75.687.746
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2014;285.197.016;175.161.776;23.642.444;37.038.786;5.151.185;21.522.350;22.680.475;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2014;223.691.721;129.276.235;13.755.519;20.118.352;5.518.021;31.045.374;2.123.936;21.854.283
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2014;62.914.831;30.261.033;5.541.975;3.779.438;1.940.438;12.837.481;1.388.639;7.165.826
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2014;56.648.667;29.333.903;4.118.206;7.967.083;2.199.744;10.572.777;459.789;1.997.164
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2014;54.702.243;25.905.727;3.543.040;4.270.426;1.520.021;8.195.475;2.591.849;8.675.703
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2014;26.376.144;3.632.677;302.263;1.066.221;316.899;20.657.147;242.065;158.872
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2014;23.869.627;14.593.541;1.654.919;3.134.051;664.976;3.066.680;755.459;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2014;21.339.235;9.450.634;2.101.843;3.911.803;1.247.526;4.601.912;25.518;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;03/2014;16.556.952;7.675.875;1.817.338;3.205.209;1.665.484;1.712.280;480.765;0
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;03/2014;16.137.838;8.070.894;2.187.091;2.786.905;956.363;1.920.160;216.425;0
