Data;SELIC Mensal;SELIC Fator
05/2014;0,0087;6,681911369571145
06/2014;0,0082;6,736703042801628
07/2014;0,0095;6,800701721708244
08/2014;0,0087;6,859867826687106
09/2014;0,0091;6,922292623909959
10/2014;0,0095;6,988054403837104
11/2014;0,0084;7,046754060829335
12/2014;0,0096;7,114402899813297
01/2015;0,0094;7,181278287071542
02/2015;0,0082;7,240164769025529
03/2015;0,0104;7,315462482623394
04/2015;0,0095;7,384959376208316
05/2015;0,0099;7,458070474032779
06/2015;0,0107;7,537871828104929
07/2015;0,0118;7,626818715676567
08/2015;0,0111;7,711476403420578
09/2015;0,0111;7,797073791498548
10/2015;0,0111;7,883621310584182
11/2015;0,0106;7,967187696476374
12/2015;0,0116;8,059607073755501
01/2016;0,0106;8,145038908737309
02/2016;0,01;8,226489297824681
03/2016;0,0116;8,321916573679449
04/2016;0,0106;8,41012888936045
05/2016;0,0111;8,503481320032352
06/2016;0,0116;8,602121703344727
07/2016;0,0111;8,697605254251854
08/2016;0,0122;8,803716038353727
09/2016;0,0111;8,901437286379455
10/2016;0,0105;8,994902377886438
11/2016;0,0104;9,088449362616457
12/2016;0,0112;9,190239995477762
01/2017;0,0109;9,29041361142847
02/2017;0,0087;9,371240209847898
03/2017;0,0105;9,4696382320513
04/2017;0,0079;9,544448374084507
05/2017;0,0093;9,633211743963493
06/2017;0,0081;9,711240759089597
07/2017;0,008;9,788930685162313
08/2017;0,008;9,867242130643612
09/2017;0,0064;9,930392480279732
10/2017;0,0064;9,993946992153521
11/2017;0,0057;10,050912490008796
12/2017;0,0054;10,105187417454845
01/2018;0,0058;10,163797504476083
02/2018;0,0047;10,21156735274712
03/2018;0,0053;10,26568865971668
04/2018;0,0052;10,319070240747209
05/2018;0,0052;10,372729405999095
06/2018;0,0052;10,426667598910292
07/2018;0,0054;10,482971603944408
08/2018;0,0057;10,542724542086892
09/2018;0,0047;10,5922753474347
10/2018;0,0054;10,649473634310848
11/2018;0,0049;10,70165605511897
12/2018;0,0049;10,754094169789052
01/2019;0,0054;10,812166278305915
02/2019;0,0049;10,865145893069613
03/2019;0,0047;10,916212078767039
04/2019;0,0052;10,972976381576629
05/2019;0,0054;11,032230454037144
06/2019;0,0047;11,084081937171117
07/2019;0,0057;11,147261204212993
08/2019;0,005;11,202997510234058
09/2019;0,0046;11,254531298781133
10/2019;0,0048;11,308553049015282
11/2019;0,0038;11,35152555060154
12/2019;0,0037;11,393526195138767
01/2020;0,0038;11,436821594680294
02/2020;0,0029;11,469988377304865
03/2020;0,0034;11,508986337787702
04/2020;0,0028;11,541211499533507
05/2020;0,0024;11,568910407132387
06/2020;0,0021;11,593205118987365
07/2020;0,0019;11,615232208713442
08/2020;0,0016;11,633816580247384
09/2020;0,0016;11,65243068677578
10/2020;0,0016;11,671074575874622
11/2020;0,0015;11,688581187738434
12/2020;0,0016;11,707282917638816
01/2021;0,0015;11,724843842015275
02/2021;0,0013;11,740086139009897
03/2021;0,002;11,763566311287917
04/2021;0,0021;11,788269800541622
05/2021;0,0027;11,820098129003084
06/2021;0,0031;11,856740433202994
07/2021;0,0036;11,899424698762525
08/2021;0,0043;11,950592224967204
09/2021;0,0044;12,00317483075706
10/2021;0,0049;12,061990387427768
11/2021;0,0059;12,133156130713592
12/2021;0,0077;12,226581432920087
01/2022;0,0073;12,315835477380405
02/2022;0,0076;12,409435827008497
03/2022;0,0093;12,524843580199677
04/2022;0,0083;12,628799781915335
05/2022;0,0103;12,758876419669063
06/2022;0,0102;12,889016959149687
07/2022;0,0103;13,021773833828929
08/2022;0,0117;13,174128587684729
09/2022;0,0107;13,315091763572955
10/2022;0,0102;13,4509056995614
11/2022;0,0102;13,588104937696926
12/2022;0,0112;13,740291712999133
01/2023;0,0112;13,894182980184723
02/2023;0,0092;14,022009463602425
03/2023;0,0117;14,186066974326573
04/2023;0,0092;14,316578790490379
05/2023;0,0112;14,476924472943873
06/2023;0,0107;14,631827564804372
07/2023;0,0107;14,788388119747777
08/2023;0,0114;14,956975744312903
09/2023;0,0097;15,102058409032738
10/2023;0,01;15,253078993123065
11/2023;0,0092;15,393407319859799
12/2023;0,0089;15,530408645006549
01/2024;0,0097;15,681053608863113
02/2024;0,008;15,806502037734019
03/2024;0,0083;15,937696004647211
04/2024;0,0089;16,07954149908857
05/2024;0,0083;16,213001693531005
06/2024;0,0079;16,3410844069099
